Time,stock market crash
2023-04-26,25
2023-04-27,29
2023-04-28,24
2023-04-29,8
2023-04-30,12
2023-05-01,28
2023-05-02,26
2023-05-03,22
2023-05-04,23
2023-05-05,23
2023-05-06,18
2023-05-07,65
2023-05-08,21
2023-05-09,22
2023-05-10,19
2023-05-11,21
2023-05-12,21
2023-05-13,5
2023-05-14,53
2023-05-15,46
2023-05-16,22
2023-05-17,23
2023-05-18,20
2023-05-19,19
2023-05-20,8
2023-05-21,11
2023-05-22,18
2023-05-23,22
2023-05-24,21
2023-05-25,19
2023-05-26,11
2023-05-27,9
2023-05-28,7
2023-05-29,9
2023-05-30,15
2023-05-31,14
2023-06-01,13
2023-06-02,11
2023-06-03,8
2023-06-04,7
2023-06-05,12
2023-06-06,13
2023-06-07,16
2023-06-08,11
2023-06-09,8
2023-06-10,5
2023-06-11,7
2023-06-12,12
2023-06-13,8
2023-06-14,7
2023-06-15,9
2023-06-16,8
2023-06-17,5
2023-06-18,6
2023-06-19,7
2023-06-20,6
2023-06-21,5
2023-06-22,7
2023-06-23,9
2023-06-24,8
2023-06-25,11
2023-06-26,7
2023-06-27,10
2023-06-28,7
2023-06-29,4
2023-06-30,6
2023-07-01,6
2023-07-02,6
2023-07-03,4
2023-07-04,6
2023-07-05,9
2023-07-06,9
2023-07-07,6
2023-07-08,4
2023-07-09,6
2023-07-10,6
2023-07-11,6
2023-07-12,8
2023-07-13,6
2023-07-14,7
2023-07-15,5
2023-07-16,8
2023-07-17,9
2023-07-18,7
2023-07-19,9
2023-07-20,7
2023-07-21,5
2023-07-22,5
2023-07-23,5
2023-07-24,7
2023-07-25,7
2023-07-26,8
2023-07-27,8
2023-07-28,7
2023-07-29,6
2023-07-30,5
2023-07-31,7
2023-08-01,8
2023-08-02,8
2023-08-03,10
2023-08-04,5
2023-08-05,5
2023-08-06,6
2023-08-07,6
2023-08-08,7
2023-08-09,10
2023-08-10,8
2023-08-11,4
2023-08-12,6
2023-08-13,11
2023-08-14,47
2023-08-15,39
2023-08-16,59
2023-08-17,37
2023-08-18,29
2023-08-19,63
2023-08-20,52
2023-08-21,78
2023-08-22,68
2023-08-23,91
2023-08-24,91
2023-08-25,59
2023-08-26,43
2023-08-27,56
2023-08-28,68
2023-08-29,100
2023-08-30,52
2023-08-31,13
2023-09-01,11
2023-09-02,7
2023-09-03,8
2023-09-04,6
2023-09-05,10
2023-09-06,12
2023-09-07,11
2023-09-08,8
2023-09-09,7
2023-09-10,15
2023-09-11,13
2023-09-12,9
2023-09-13,13
2023-09-14,11
2023-09-15,11
2023-09-16,9
2023-09-17,10
2023-09-18,11
2023-09-19,10
2023-09-20,11
2023-09-21,14
2023-09-22,14
2023-09-23,7
2023-09-24,8
2023-09-25,11
2023-09-26,13
2023-09-27,17
2023-09-28,11
2023-09-29,14
2023-09-30,8
2023-10-01,6
2023-10-02,15
2023-10-03,16
2023-10-04,17
2023-10-05,16
2023-10-06,15
2023-10-07,6
2023-10-08,7
2023-10-09,14
2023-10-10,14
2023-10-11,14
2023-10-12,13
2023-10-13,11
2023-10-14,6
2023-10-15,7
2023-10-16,16
2023-10-17,15
2023-10-18,14
2023-10-19,17
2023-10-20,18
2023-10-21,10
2023-10-22,17
2023-10-23,72
2023-10-24,34
2023-10-25,23
2023-10-26,26
2023-10-27,16
2023-10-28,12
2023-10-29,12
2023-10-30,24
2023-10-31,18
2023-11-01,23
2023-11-02,17
2023-11-03,21
2023-11-04,8
2023-11-05,7
2023-11-06,19
2023-11-07,18
2023-11-08,20
2023-11-09,21
2023-11-10,15
2023-11-11,7
2023-11-12,9
2023-11-13,24
2023-11-14,22
2023-11-15,24
2023-11-16,19
2023-11-17,19
2023-11-18,7
2023-11-19,8
2023-11-20,15
2023-11-21,10
2023-11-22,7
2023-11-23,9
2023-11-24,8
2023-11-25,9
2023-11-26,10
2023-11-27,16
2023-11-28,24
2023-11-29,21
2023-11-30,24
2023-12-01,22
2023-12-02,8
2023-12-03,8
2023-12-04,25
2023-12-05,25
2023-12-06,24
2023-12-07,24
2023-12-08,27
2023-12-09,6
2023-12-10,11
2023-12-11,23
2023-12-12,27
2023-12-13,23
2023-12-14,31
2023-12-15,19
2023-12-16,9
2023-12-17,9
2023-12-18,18
2023-12-19,21
2023-12-20,63
2023-12-21,19
2023-12-22,10
2023-12-23,10
2023-12-24,7
2023-12-25,12
2023-12-26,8
2023-12-27,7
2023-12-28,6
2023-12-29,9
2023-12-30,8
2023-12-31,9
2024-01-01,7
2024-01-02,10
2024-01-03,13
2024-01-04,14
2024-01-05,14
2024-01-06,6
2024-01-07,4
2024-01-08,22
2024-01-09,21
2024-01-10,26
2024-01-11,23
2024-01-12,23
2024-01-13,6
2024-01-14,6
2024-01-15,10
2024-01-16,17
2024-01-17,26
2024-01-18,26
2024-01-19,24
2024-01-20,8
