Time,fedex tracking
2023-04-26,84
2023-04-27,79
2023-04-28,71
2023-04-29,41
2023-04-30,26
2023-05-01,75
2023-05-02,84
2023-05-03,84
2023-05-04,82
2023-05-05,69
2023-05-06,38
2023-05-07,27
2023-05-08,80
2023-05-09,87
2023-05-10,87
2023-05-11,85
2023-05-12,75
2023-05-13,45
2023-05-14,28
2023-05-15,85
2023-05-16,86
2023-05-17,84
2023-05-18,82
2023-05-19,73
2023-05-20,39
2023-05-21,25
2023-05-22,72
2023-05-23,84
2023-05-24,81
2023-05-25,85
2023-05-26,72
2023-05-27,38
2023-05-28,23
2023-05-29,29
2023-05-30,86
2023-05-31,93
2023-06-01,85
2023-06-02,79
2023-06-03,46
2023-06-04,33
2023-06-05,83
2023-06-06,89
2023-06-07,90
2023-06-08,88
2023-06-09,75
2023-06-10,39
2023-06-11,26
2023-06-12,82
2023-06-13,87
2023-06-14,85
2023-06-15,80
2023-06-16,73
2023-06-17,40
2023-06-18,27
2023-06-19,68
2023-06-20,85
2023-06-21,85
2023-06-22,79
2023-06-23,73
2023-06-24,37
2023-06-25,28
2023-06-26,81
2023-06-27,94
2023-06-28,86
2023-06-29,84
2023-06-30,75
2023-07-01,37
2023-07-02,27
2023-07-03,61
2023-07-04,29
2023-07-05,80
2023-07-06,93
2023-07-07,81
2023-07-08,43
2023-07-09,28
2023-07-10,73
2023-07-11,80
2023-07-12,80
2023-07-13,78
2023-07-14,72
2023-07-15,40
2023-07-16,28
2023-07-17,70
2023-07-18,80
2023-07-19,82
2023-07-20,79
2023-07-21,72
2023-07-22,35
2023-07-23,24
2023-07-24,74
2023-07-25,79
2023-07-26,72
2023-07-27,74
2023-07-28,68
2023-07-29,35
2023-07-30,23
2023-07-31,67
2023-08-01,77
2023-08-02,78
2023-08-03,76
2023-08-04,76
2023-08-05,36
2023-08-06,26
2023-08-07,74
2023-08-08,74
2023-08-09,75
2023-08-10,75
2023-08-11,72
2023-08-12,33
2023-08-13,23
2023-08-14,71
2023-08-15,79
2023-08-16,79
2023-08-17,73
2023-08-18,70
2023-08-19,35
2023-08-20,24
2023-08-21,68
2023-08-22,78
2023-08-23,73
2023-08-24,76
2023-08-25,65
2023-08-26,34
2023-08-27,23
2023-08-28,68
2023-08-29,69
2023-08-30,71
2023-08-31,69
2023-09-01,63
2023-09-02,32
2023-09-03,20
2023-09-04,24
2023-09-05,75
2023-09-06,82
2023-09-07,72
2023-09-08,67
2023-09-09,37
2023-09-10,25
2023-09-11,72
2023-09-12,76
2023-09-13,71
2023-09-14,68
2023-09-15,63
2023-09-16,31
2023-09-17,20
2023-09-18,63
2023-09-19,70
2023-09-20,64
2023-09-21,72
2023-09-22,65
2023-09-23,30
2023-09-24,20
2023-09-25,66
2023-09-26,67
2023-09-27,61
2023-09-28,67
2023-09-29,62
2023-09-30,31
2023-10-01,20
2023-10-02,62
2023-10-03,61
2023-10-04,58
2023-10-05,63
2023-10-06,73
2023-10-07,32
2023-10-08,20
2023-10-09,55
2023-10-10,64
2023-10-11,64
2023-10-12,64
2023-10-13,60
2023-10-14,30
2023-10-15,22
2023-10-16,64
2023-10-17,73
2023-10-18,71
2023-10-19,71
2023-10-20,61
2023-10-21,30
2023-10-22,21
2023-10-23,57
2023-10-24,64
2023-10-25,66
2023-10-26,67
2023-10-27,60
2023-10-28,31
2023-10-29,19
2023-10-30,61
2023-10-31,63
2023-11-01,66
2023-11-02,64
2023-11-03,56
2023-11-04,29
2023-11-05,19
2023-11-06,59
2023-11-07,66
2023-11-08,65
2023-11-09,62
2023-11-10,60
2023-11-11,34
2023-11-12,22
2023-11-13,61
2023-11-14,68
2023-11-15,67
2023-11-16,63
2023-11-17,63
2023-11-18,35
2023-11-19,23
2023-11-20,62
2023-11-21,72
2023-11-22,66
2023-11-23,26
2023-11-24,49
2023-11-25,37
2023-11-26,30
2023-11-27,67
2023-11-28,81
2023-11-29,88
2023-11-30,86
2023-12-01,77
2023-12-02,53
2023-12-03,35
2023-12-04,79
2023-12-05,86
2023-12-06,79
2023-12-07,81
2023-12-08,76
2023-12-09,43
2023-12-10,33
2023-12-11,72
2023-12-12,82
2023-12-13,86
2023-12-14,75
2023-12-15,74
2023-12-16,47
2023-12-17,34
2023-12-18,74
2023-12-19,94
2023-12-20,100
2023-12-21,97
2023-12-22,83
2023-12-23,52
2023-12-24,29
2023-12-25,18
2023-12-26,55
2023-12-27,71
2023-12-28,68
2023-12-29,63
2023-12-30,36
2023-12-31,23
2024-01-01,21
2024-01-02,67
2024-01-03,71
2024-01-04,64
2024-01-05,63
2024-01-06,38
2024-01-07,24
2024-01-08,61
2024-01-09,69
2024-01-10,73
2024-01-11,65
2024-01-12,61
2024-01-13,33
2024-01-14,21
2024-01-15,52
2024-01-16,65
2024-01-17,80
2024-01-18,89
2024-01-19,91
2024-01-20,50
