Time,fedex tracking
2024-08-18,20
2024-08-19,54
2024-08-20,61
2024-08-21,66
2024-08-22,61
2024-08-23,52
2024-08-24,28
2024-08-25,19
2024-08-26,54
2024-08-27,61
2024-08-28,64
2024-08-29,58
2024-08-30,53
2024-08-31,26
2024-09-01,17
2024-09-02,19
2024-09-03,60
2024-09-04,64
2024-09-05,63
2024-09-06,57
2024-09-07,29
2024-09-08,22
2024-09-09,69
2024-09-10,67
2024-09-11,63
2024-09-12,60
2024-09-13,56
2024-09-14,25
2024-09-15,17
2024-09-16,53
2024-09-17,58
2024-09-18,54
2024-09-19,54
2024-09-20,55
2024-09-21,27
2024-09-22,17
2024-09-23,55
2024-09-24,58
2024-09-25,61
2024-09-26,55
2024-09-27,50
2024-09-28,27
2024-09-29,17
2024-09-30,54
2024-10-01,56
2024-10-02,56
2024-10-03,57
2024-10-04,52
2024-10-05,25
2024-10-06,16
2024-10-07,51
2024-10-08,57
2024-10-09,55
2024-10-10,52
2024-10-11,53
2024-10-12,30
2024-10-13,20
2024-10-14,56
2024-10-15,60
2024-10-16,59
2024-10-17,63
2024-10-18,58
2024-10-19,25
2024-10-20,17
2024-10-21,53
2024-10-22,58
2024-10-23,58
2024-10-24,57
2024-10-25,53
2024-10-26,26
2024-10-27,18
2024-10-28,56
2024-10-29,57
2024-10-30,59
2024-10-31,57
2024-11-01,53
2024-11-02,25
2024-11-03,15
2024-11-04,50
2024-11-05,55
2024-11-06,43
2024-11-07,56
2024-11-08,51
2024-11-09,27
2024-11-10,17
2024-11-11,50
2024-11-12,54
2024-11-13,53
2024-11-14,55
2024-11-15,51
2024-11-16,27
2024-11-17,18
2024-11-18,57
2024-11-19,59
2024-11-20,67
2024-11-21,60
2024-11-22,54
2024-11-23,29
2024-11-24,20
2024-11-25,58
2024-11-26,62
2024-11-27,61
2024-11-28,22
2024-11-29,44
2024-11-30,35
2024-12-01,28
2024-12-02,63
2024-12-03,73
2024-12-04,82
2024-12-05,82
2024-12-06,84
2024-12-07,53
2024-12-08,38
2024-12-09,78
2024-12-10,89
2024-12-11,85
2024-12-12,87
2024-12-13,82
2024-12-14,59
2024-12-15,38
2024-12-16,82
2024-12-17,96
2024-12-18,98
2024-12-19,100
2024-12-20,96
2024-12-21,60
2024-12-22,40
2024-12-23,74
2024-12-24,63
2024-12-25,21
2024-12-26,55
2024-12-27,62
2024-12-28,36
2024-12-29,26
2024-12-30,68
2024-12-31,55
2025-01-01,22
2025-01-02,67
2025-01-03,64
2025-01-04,39
2025-01-05,25
2025-01-06,61
2025-01-07,69
2025-01-08,67
2025-01-09,69
2025-01-10,65
2025-01-11,37
2025-01-12,27
2025-01-13,73
2025-01-14,76
2025-01-15,68
2025-01-16,65
2025-01-17,58
2025-01-18,29
2025-01-19,20
2025-01-20,50
2025-01-21,58
2025-01-22,60
2025-01-23,58
2025-01-24,60
2025-01-25,30
2025-01-26,19
2025-01-27,53
2025-01-28,62
2025-01-29,57
2025-01-30,55
2025-01-31,53
2025-02-01,26
2025-02-02,18
2025-02-03,48
2025-02-04,57
2025-02-05,56
2025-02-06,53
2025-02-07,56
2025-02-08,30
2025-02-09,17
2025-02-10,52
2025-02-11,61
2025-02-12,64
2025-02-13,62
2025-02-14,59
2025-02-15,29
2025-02-16,20
2025-02-17,54
2025-02-18,59
2025-02-19,61
2025-02-20,67
2025-02-21,68
2025-02-22,33
2025-02-23,21
2025-02-24,65
2025-02-25,65
2025-02-26,62
2025-02-27,60
2025-02-28,62
2025-03-01,30
2025-03-02,20
2025-03-03,54
2025-03-04,62
2025-03-05,63
2025-03-06,61
2025-03-07,60
2025-03-08,32
2025-03-09,20
2025-03-10,54
2025-03-11,64
2025-03-12,64
2025-03-13,61
2025-03-14,54
2025-03-15,30
2025-03-16,21
2025-03-17,54
2025-03-18,58
2025-03-19,63
2025-03-20,61
2025-03-21,57
2025-03-22,29
2025-03-23,20
2025-03-24,57
2025-03-25,62
2025-03-26,58
2025-03-27,55
2025-03-28,58
2025-03-29,33
2025-03-30,21
2025-03-31,58
2025-04-01,59
2025-04-02,58
2025-04-03,67
2025-04-04,63
2025-04-05,32
2025-04-06,21
2025-04-07,56
2025-04-08,62
2025-04-09,64
2025-04-10,66
2025-04-11,56
2025-04-12,30
2025-04-13,19
2025-04-14,56
2025-04-15,64
2025-04-16,67
2025-04-17,59
2025-04-18,52
2025-04-19,26
2025-04-20,16
2025-04-21,56
2025-04-22,60
2025-04-23,60
2025-04-24,56
2025-04-25,57
2025-04-26,29
2025-04-27,19
2025-04-28,57
2025-04-29,63
2025-04-30,56
2025-05-01,57
2025-05-02,53
2025-05-03,28
2025-05-04,18
2025-05-05,53
2025-05-06,62
2025-05-07,55
2025-05-08,58
2025-05-09,60
2025-05-10,28
2025-05-11,19
2025-05-12,59
2025-05-13,57
2025-05-14,68
