Time,us bank
2022-08-29,61
2022-08-30,58
2022-08-31,59
2022-09-01,63
2022-09-02,60
2022-09-03,55
2022-09-04,36
2022-09-05,40
2022-09-06,60
2022-09-07,55
2022-09-08,56
2022-09-09,60
2022-09-10,53
2022-09-11,40
2022-09-12,59
2022-09-13,55
2022-09-14,58
2022-09-15,56
2022-09-16,60
2022-09-17,51
2022-09-18,32
2022-09-19,55
2022-09-20,58
2022-09-21,55
2022-09-22,56
2022-09-23,58
2022-09-24,48
2022-09-25,39
2022-09-26,54
2022-09-27,55
2022-09-28,58
2022-09-29,53
2022-09-30,63
2022-10-01,57
2022-10-02,40
2022-10-03,62
2022-10-04,56
2022-10-05,62
2022-10-06,59
2022-10-07,60
2022-10-08,51
2022-10-09,39
2022-10-10,63
2022-10-11,59
2022-10-12,54
2022-10-13,52
2022-10-14,61
2022-10-15,48
2022-10-16,35
2022-10-17,58
2022-10-18,58
2022-10-19,54
2022-10-20,57
2022-10-21,57
2022-10-22,48
2022-10-23,33
2022-10-24,54
2022-10-25,54
2022-10-26,53
2022-10-27,54
2022-10-28,59
2022-10-29,53
2022-10-30,38
2022-10-31,57
2022-11-01,60
2022-11-02,57
2022-11-03,57
2022-11-04,61
2022-11-05,49
2022-11-06,34
2022-11-07,55
2022-11-08,51
2022-11-09,50
2022-11-10,57
2022-11-11,58
2022-11-12,49
2022-11-13,36
2022-11-14,58
2022-11-15,66
2022-11-16,63
2022-11-17,62
2022-11-18,63
2022-11-19,51
2022-11-20,41
2022-11-21,51
2022-11-22,55
2022-11-23,57
2022-11-24,36
2022-11-25,58
2022-11-26,43
2022-11-27,33
2022-11-28,51
2022-11-29,52
2022-11-30,52
2022-12-01,61
2022-12-02,62
2022-12-03,55
2022-12-04,42
2022-12-05,52
2022-12-06,58
2022-12-07,49
2022-12-08,55
2022-12-09,57
2022-12-10,48
2022-12-11,35
2022-12-12,52
2022-12-13,52
2022-12-14,56
2022-12-15,58
2022-12-16,58
2022-12-17,53
2022-12-18,34
2022-12-19,52
2022-12-20,63
2022-12-21,55
2022-12-22,59
2022-12-23,59
2022-12-24,51
2022-12-25,24
2022-12-26,62
2022-12-27,60
2022-12-28,61
2022-12-29,60
2022-12-30,66
2022-12-31,53
2023-01-01,36
2023-01-02,59
2023-01-03,59
2023-01-04,61
2023-01-05,57
2023-01-06,65
2023-01-07,57
2023-01-08,35
2023-01-09,53
2023-01-10,62
2023-01-11,55
2023-01-12,55
2023-01-13,61
2023-01-14,54
2023-01-15,41
2023-01-16,51
2023-01-17,57
2023-01-18,59
2023-01-19,58
2023-01-20,61
2023-01-21,51
2023-01-22,35
2023-01-23,55
2023-01-24,51
2023-01-25,56
2023-01-26,51
2023-01-27,53
2023-01-28,51
2023-01-29,34
2023-01-30,52
2023-01-31,60
2023-02-01,60
2023-02-02,60
2023-02-03,63
2023-02-04,57
2023-02-05,38
2023-02-06,62
2023-02-07,58
2023-02-08,53
2023-02-09,53
2023-02-10,57
2023-02-11,52
2023-02-12,36
2023-02-13,50
2023-02-14,54
2023-02-15,58
2023-02-16,53
2023-02-17,61
2023-02-18,56
2023-02-19,41
2023-02-20,48
2023-02-21,55
2023-02-22,55
2023-02-23,56
2023-02-24,62
2023-02-25,53
2023-02-26,37
2023-02-27,55
2023-02-28,63
2023-03-01,63
2023-03-02,56
2023-03-03,62
2023-03-04,58
2023-03-05,38
2023-03-06,53
2023-03-07,55
2023-03-08,53
2023-03-09,51
2023-03-10,81
2023-03-11,68
2023-03-12,55
2023-03-13,100
2023-03-14,81
2023-03-15,75
2023-03-16,72
2023-03-17,64
2023-03-18,55
2023-03-19,43
2023-03-20,60
2023-03-21,71
2023-03-22,55
2023-03-23,58
2023-03-24,59
2023-03-25,50
2023-03-26,39
2023-03-27,61
2023-03-28,55
2023-03-29,57
2023-03-30,53
2023-03-31,74
2023-04-01,61
2023-04-02,43
2023-04-03,69
2023-04-04,62
2023-04-05,57
2023-04-06,58
2023-04-07,65
2023-04-08,56
2023-04-09,35
2023-04-10,64
2023-04-11,57
2023-04-12,58
2023-04-13,58
2023-04-14,63
2023-04-15,52
2023-04-16,37
2023-04-17,58
2023-04-18,55
2023-04-19,55
2023-04-20,54
2023-04-21,57
2023-04-22,51
2023-04-23,35
2023-04-24,56
2023-04-25,51
2023-04-26,55
2023-04-27,52
2023-04-28,61
2023-04-29,53
2023-04-30,40
2023-05-01,70
2023-05-02,64
2023-05-03,62
2023-05-04,64
2023-05-05,65
2023-05-06,49
2023-05-07,36
2023-05-08,64
2023-05-09,50
2023-05-10,53
2023-05-11,53
2023-05-12,60
2023-05-13,55
2023-05-14,34
2023-05-15,58
2023-05-16,60
2023-05-17,56
2023-05-18,52
2023-05-19,56
2023-05-20,51
2023-05-21,33
2023-05-22,53
2023-05-23,56
2023-05-24,56
2023-05-25,54
