Time,dow jones industrial average
2023-04-26,76
2023-04-27,68
2023-04-28,80
2023-04-29,17
2023-04-30,6
2023-05-01,76
2023-05-02,80
2023-05-03,82
2023-05-04,73
2023-05-05,74
2023-05-06,13
2023-05-07,5
2023-05-08,70
2023-05-09,73
2023-05-10,77
2023-05-11,71
2023-05-12,69
2023-05-13,11
2023-05-14,7
2023-05-15,77
2023-05-16,69
2023-05-17,69
2023-05-18,75
2023-05-19,78
2023-05-20,17
2023-05-21,6
2023-05-22,68
2023-05-23,66
2023-05-24,66
2023-05-25,75
2023-05-26,70
2023-05-27,18
2023-05-28,8
2023-05-29,11
2023-05-30,67
2023-05-31,73
2023-06-01,73
2023-06-02,90
2023-06-03,18
2023-06-04,7
2023-06-05,78
2023-06-06,73
2023-06-07,74
2023-06-08,71
2023-06-09,75
2023-06-10,17
2023-06-11,8
2023-06-12,64
2023-06-13,79
2023-06-14,77
2023-06-15,80
2023-06-16,79
2023-06-17,16
2023-06-18,5
2023-06-19,40
2023-06-20,69
2023-06-21,71
2023-06-22,68
2023-06-23,71
2023-06-24,13
2023-06-25,7
2023-06-26,72
2023-06-27,72
2023-06-28,67
2023-06-29,73
2023-06-30,70
2023-07-01,13
2023-07-02,6
2023-07-03,58
2023-07-04,14
2023-07-05,63
2023-07-06,67
2023-07-07,74
2023-07-08,14
2023-07-09,8
2023-07-10,62
2023-07-11,74
2023-07-12,76
2023-07-13,80
2023-07-14,82
2023-07-15,13
2023-07-16,8
2023-07-17,73
2023-07-18,78
2023-07-19,78
2023-07-20,83
2023-07-21,82
2023-07-22,15
2023-07-23,7
2023-07-24,70
2023-07-25,85
2023-07-26,75
2023-07-27,91
2023-07-28,78
2023-07-29,15
2023-07-30,6
2023-07-31,75
2023-08-01,78
2023-08-02,80
2023-08-03,82
2023-08-04,79
2023-08-05,17
2023-08-06,9
2023-08-07,70
2023-08-08,84
2023-08-09,86
2023-08-10,86
2023-08-11,85
2023-08-12,16
2023-08-13,6
2023-08-14,68
2023-08-15,69
2023-08-16,78
2023-08-17,72
2023-08-18,72
2023-08-19,16
2023-08-20,7
2023-08-21,71
2023-08-22,74
2023-08-23,74
2023-08-24,79
2023-08-25,78
2023-08-26,14
2023-08-27,9
2023-08-28,67
2023-08-29,83
2023-08-30,75
2023-08-31,68
2023-09-01,78
2023-09-02,14
2023-09-03,6
2023-09-04,11
2023-09-05,63
2023-09-06,69
2023-09-07,65
2023-09-08,61
2023-09-09,11
2023-09-10,6
2023-09-11,62
2023-09-12,63
2023-09-13,67
2023-09-14,75
2023-09-15,79
2023-09-16,12
2023-09-17,7
2023-09-18,65
2023-09-19,69
2023-09-20,76
2023-09-21,67
2023-09-22,65
2023-09-23,13
2023-09-24,6
2023-09-25,69
2023-09-26,68
2023-09-27,75
2023-09-28,74
2023-09-29,67
2023-09-30,15
2023-10-01,9
2023-10-02,70
2023-10-03,79
2023-10-04,78
2023-10-05,82
2023-10-06,78
2023-10-07,15
2023-10-08,9
2023-10-09,68
2023-10-10,81
2023-10-11,73
2023-10-12,78
2023-10-13,78
2023-10-14,17
2023-10-15,8
2023-10-16,72
2023-10-17,75
2023-10-18,71
2023-10-19,74
2023-10-20,80
2023-10-21,17
2023-10-22,9
2023-10-23,70
2023-10-24,76
2023-10-25,76
2023-10-26,69
2023-10-27,72
2023-10-28,14
2023-10-29,9
2023-10-30,76
2023-10-31,81
2023-11-01,80
2023-11-02,78
2023-11-03,85
2023-11-04,19
2023-11-05,7
2023-11-06,75
2023-11-07,84
2023-11-08,81
2023-11-09,79
2023-11-10,74
2023-11-11,20
2023-11-12,7
2023-11-13,77
2023-11-14,87
2023-11-15,85
2023-11-16,85
2023-11-17,83
2023-11-18,16
2023-11-19,9
2023-11-20,74
2023-11-21,88
2023-11-22,82
2023-11-23,18
2023-11-24,60
2023-11-25,12
2023-11-26,8
2023-11-27,74
2023-11-28,77
2023-11-29,83
2023-11-30,88
2023-12-01,87
2023-12-02,22
2023-12-03,10
2023-12-04,74
2023-12-05,84
2023-12-06,84
2023-12-07,75
2023-12-08,86
2023-12-09,20
2023-12-10,10
2023-12-11,77
2023-12-12,83
2023-12-13,100
2023-12-14,99
2023-12-15,95
2023-12-16,19
2023-12-17,13
2023-12-18,88
2023-12-19,94
2023-12-20,97
2023-12-21,96
2023-12-22,95
2023-12-23,20
2023-12-24,10
2023-12-25,7
2023-12-26,85
2023-12-27,98
2023-12-28,85
2023-12-29,96
2023-12-30,22
2023-12-31,10
2024-01-01,12
2024-01-02,79
2024-01-03,81
2024-01-04,81
2024-01-05,84
2024-01-06,19
2024-01-07,8
2024-01-08,80
2024-01-09,82
2024-01-10,76
2024-01-11,77
2024-01-12,74
2024-01-13,17
2024-01-14,9
2024-01-15,28
2024-01-16,66
2024-01-17,76
2024-01-18,75
2024-01-19,80
2024-01-20,15
