Time,dow jones industrial average
2022-08-29,72
2022-08-30,83
2022-08-31,85
2022-09-01,76
2022-09-02,81
2022-09-03,15
2022-09-04,11
2022-09-05,15
2022-09-06,68
2022-09-07,74
2022-09-08,71
2022-09-09,72
2022-09-10,13
2022-09-11,10
2022-09-12,72
2022-09-13,99
2022-09-14,99
2022-09-15,79
2022-09-16,74
2022-09-17,15
2022-09-18,5
2022-09-19,72
2022-09-20,80
2022-09-21,84
2022-09-22,88
2022-09-23,100
2022-09-24,18
2022-09-25,8
2022-09-26,81
2022-09-27,83
2022-09-28,78
2022-09-29,81
2022-09-30,85
2022-10-01,15
2022-10-02,9
2022-10-03,76
2022-10-04,90
2022-10-05,89
2022-10-06,76
2022-10-07,84
2022-10-08,14
2022-10-09,4
2022-10-10,74
2022-10-11,80
2022-10-12,79
2022-10-13,89
2022-10-14,84
2022-10-15,17
2022-10-16,9
2022-10-17,77
2022-10-18,80
2022-10-19,76
2022-10-20,75
2022-10-21,80
2022-10-22,16
2022-10-23,7
2022-10-24,76
2022-10-25,78
2022-10-26,78
2022-10-27,81
2022-10-28,84
2022-10-29,20
2022-10-30,8
2022-10-31,80
2022-11-01,72
2022-11-02,79
2022-11-03,73
2022-11-04,80
2022-11-05,15
2022-11-06,7
2022-11-07,64
2022-11-08,74
2022-11-09,71
2022-11-10,93
2022-11-11,82
2022-11-12,18
2022-11-13,7
2022-11-14,65
2022-11-15,73
2022-11-16,71
2022-11-17,72
2022-11-18,69
2022-11-19,15
2022-11-20,6
2022-11-21,66
2022-11-22,72
2022-11-23,74
2022-11-24,15
2022-11-25,50
2022-11-26,14
2022-11-27,7
2022-11-28,52
2022-11-29,59
2022-11-30,67
2022-12-01,72
2022-12-02,63
2022-12-03,16
2022-12-04,8
2022-12-05,57
2022-12-06,68
2022-12-07,66
2022-12-08,70
2022-12-09,63
2022-12-10,15
2022-12-11,6
2022-12-12,63
2022-12-13,74
2022-12-14,75
2022-12-15,77
2022-12-16,71
2022-12-17,17
2022-12-18,6
2022-12-19,64
2022-12-20,69
2022-12-21,71
2022-12-22,68
2022-12-23,69
2022-12-24,20
2022-12-25,5
2022-12-26,27
2022-12-27,64
2022-12-28,65
2022-12-29,65
2022-12-30,62
2022-12-31,15
2023-01-01,7
2023-01-02,26
2023-01-03,54
2023-01-04,62
2023-01-05,64
2023-01-06,66
2023-01-07,15
2023-01-08,6
2023-01-09,66
2023-01-10,65
2023-01-11,63
2023-01-12,66
2023-01-13,65
2023-01-14,10
2023-01-15,7
2023-01-16,25
2023-01-17,61
2023-01-18,62
2023-01-19,67
2023-01-20,66
2023-01-21,14
2023-01-22,6
2023-01-23,61
2023-01-24,65
2023-01-25,60
2023-01-26,63
2023-01-27,64
2023-01-28,15
2023-01-29,7
2023-01-30,58
2023-01-31,69
2023-02-01,71
2023-02-02,72
2023-02-03,66
2023-02-04,14
2023-02-05,6
2023-02-06,62
2023-02-07,60
2023-02-08,62
2023-02-09,65
2023-02-10,59
2023-02-11,11
2023-02-12,8
2023-02-13,53
2023-02-14,73
2023-02-15,67
2023-02-16,63
2023-02-17,67
2023-02-18,11
2023-02-19,6
2023-02-20,28
2023-02-21,65
2023-02-22,65
2023-02-23,69
2023-02-24,63
2023-02-25,16
2023-02-26,7
2023-02-27,59
2023-02-28,57
2023-03-01,61
2023-03-02,57
2023-03-03,58
2023-03-04,13
2023-03-05,5
2023-03-06,58
2023-03-07,67
2023-03-08,68
2023-03-09,64
2023-03-10,80
2023-03-11,15
2023-03-12,10
2023-03-13,80
2023-03-14,80
2023-03-15,95
2023-03-16,78
2023-03-17,73
2023-03-18,11
2023-03-19,4
2023-03-20,73
2023-03-21,62
2023-03-22,73
2023-03-23,73
2023-03-24,72
2023-03-25,14
2023-03-26,5
2023-03-27,65
2023-03-28,68
2023-03-29,67
2023-03-30,66
2023-03-31,64
2023-04-01,15
2023-04-02,5
2023-04-03,62
2023-04-04,62
2023-04-05,62
2023-04-06,66
2023-04-07,42
2023-04-08,9
2023-04-09,3
2023-04-10,58
2023-04-11,64
2023-04-12,66
2023-04-13,63
2023-04-14,61
2023-04-15,13
2023-04-16,6
2023-04-17,58
2023-04-18,59
2023-04-19,63
2023-04-20,65
2023-04-21,57
2023-04-22,10
2023-04-23,5
2023-04-24,55
2023-04-25,61
2023-04-26,60
2023-04-27,53
2023-04-28,63
2023-04-29,13
2023-04-30,5
2023-05-01,60
2023-05-02,63
2023-05-03,64
2023-05-04,57
2023-05-05,58
2023-05-06,10
2023-05-07,4
2023-05-08,55
2023-05-09,57
2023-05-10,60
2023-05-11,56
2023-05-12,54
2023-05-13,9
2023-05-14,5
2023-05-15,61
2023-05-16,54
2023-05-17,55
2023-05-18,59
2023-05-19,61
2023-05-20,13
2023-05-21,4
2023-05-22,53
2023-05-23,52
2023-05-24,52
2023-05-25,59
