Time,ftx
2022-01-01,9
2022-01-02,9
2022-01-03,9
2022-01-04,9
2022-01-05,9
2022-01-06,7
2022-01-07,10
2022-01-08,9
2022-01-09,8
2022-01-10,8
2022-01-11,9
2022-01-12,9
2022-01-13,11
2022-01-14,11
2022-01-15,15
2022-01-16,13
2022-01-17,11
2022-01-18,9
2022-01-19,11
2022-01-20,10
2022-01-21,10
2022-01-22,9
2022-01-23,15
2022-01-24,13
2022-01-25,9
2022-01-26,15
2022-01-27,16
2022-01-28,15
2022-01-29,18
2022-01-30,14
2022-01-31,17
2022-02-01,17
2022-02-02,14
2022-02-03,12
2022-02-04,14
2022-02-05,13
2022-02-06,14
2022-02-07,14
2022-02-08,20
2022-02-09,19
2022-02-10,14
2022-02-11,14
2022-02-12,15
2022-02-13,22
2022-02-14,100
2022-02-15,25
2022-02-16,20
2022-02-17,14
2022-02-18,14
2022-02-19,14
2022-02-20,14
2022-02-21,12
2022-02-22,12
2022-02-23,13
2022-02-24,13
2022-02-25,13
2022-02-26,13
2022-02-27,16
2022-02-28,13
2022-03-01,14
2022-03-02,11
2022-03-03,11
2022-03-04,12
2022-03-05,12
2022-03-06,13
2022-03-07,12
2022-03-08,13
2022-03-09,13
2022-03-10,12
2022-03-11,11
2022-03-12,12
2022-03-13,11
2022-03-14,10
2022-03-15,15
2022-03-16,14
2022-03-17,15
2022-03-18,15
2022-03-19,13
2022-03-20,15
2022-03-21,14
2022-03-22,14
2022-03-23,14
2022-03-24,13
2022-03-25,13
2022-03-26,15
2022-03-27,14
2022-03-28,12
2022-03-29,11
2022-03-30,13
2022-03-31,13
2022-04-01,13
2022-04-02,17
2022-04-03,16
2022-04-04,16
2022-04-05,16
2022-04-06,13
2022-04-07,12
2022-04-08,14
2022-04-09,17
2022-04-10,17
2022-04-11,12
2022-04-12,13
2022-04-13,17
2022-04-14,12
2022-04-15,11
2022-04-16,14
2022-04-17,22
2022-04-18,12
2022-04-19,14
2022-04-20,15
2022-04-21,12
2022-04-22,14
2022-04-23,12
2022-04-24,14
2022-04-25,13
2022-04-26,13
2022-04-27,13
2022-04-28,15
2022-04-29,12
2022-04-30,10
2022-05-01,14
2022-05-02,12
2022-05-03,14
2022-05-04,13
2022-05-05,13
2022-05-06,11
2022-05-07,16
2022-05-08,18
2022-05-09,11
2022-05-10,14
2022-05-11,18
2022-05-12,19
2022-05-13,21
2022-05-14,18
2022-05-15,16
2022-05-16,14
2022-05-17,14
2022-05-18,21
2022-05-19,16
2022-05-20,17
2022-05-21,11
2022-05-22,10
2022-05-23,11
2022-05-24,10
2022-05-25,12
2022-05-26,18
2022-05-27,10
2022-05-28,12
2022-05-29,16
2022-05-30,22
2022-05-31,11
2022-06-01,13
2022-06-02,13
2022-06-03,12
2022-06-04,12
2022-06-05,12
2022-06-06,9
2022-06-07,8
2022-06-08,8
2022-06-09,9
2022-06-10,8
2022-06-11,7
2022-06-12,9
2022-06-13,14
2022-06-14,14
2022-06-15,13
2022-06-16,11
2022-06-17,10
2022-06-18,10
2022-06-19,10
2022-06-20,11
2022-06-21,14
2022-06-22,13
2022-06-23,11
2022-06-24,9
2022-06-25,11
2022-06-26,9
2022-06-27,25
2022-06-28,20
2022-06-29,14
2022-06-30,19
2022-07-01,20
2022-07-02,15
2022-07-03,13
2022-07-04,10
2022-07-05,9
2022-07-06,11
2022-07-07,13
2022-07-08,11
2022-07-09,12
2022-07-10,11
2022-07-11,8
2022-07-12,9
2022-07-13,10
2022-07-14,11
2022-07-15,9
2022-07-16,9
2022-07-17,9
2022-07-18,8
2022-07-19,9
2022-07-20,9
2022-07-21,8
2022-07-22,9
2022-07-23,10
2022-07-24,9
2022-07-25,10
2022-07-26,11
2022-07-27,9
2022-07-28,11
2022-07-29,9
2022-07-30,11
2022-07-31,8
2022-08-01,8
2022-08-02,9
2022-08-03,8
2022-08-04,8
2022-08-05,7
2022-08-06,8
2022-08-07,9
2022-08-08,9
2022-08-09,9
2022-08-10,8
2022-08-11,8
2022-08-12,9
2022-08-13,7
2022-08-14,8
2022-08-15,9
2022-08-16,9
2022-08-17,9
2022-08-18,9
2022-08-19,11
2022-08-20,12
2022-08-21,13
2022-08-22,13
2022-08-23,11
2022-08-24,9
2022-08-25,9
2022-08-26,7
2022-08-27,10
2022-08-28,7
2022-08-29,8
2022-08-30,8
2022-08-31,8
2022-09-01,7
2022-09-02,6
2022-09-03,7
2022-09-04,10
2022-09-05,8
2022-09-06,7
2022-09-07,13
2022-09-08,10
2022-09-09,10
2022-09-10,8
2022-09-11,9
2022-09-12,10
2022-09-13,11
2022-09-14,10
2022-09-15,9
2022-09-16,12
2022-09-17,10
2022-09-18,11
2022-09-19,8
2022-09-20,7
2022-09-21,8
2022-09-22,9
2022-09-23,9
2022-09-24,10
2022-09-25,8
2022-09-26,7
2022-09-27,13
