Time,college basketball
2025-04-15,18
2025-04-16,17
2025-04-17,16
2025-04-18,13
2025-04-19,14
2025-04-20,13
2025-04-21,16
2025-04-22,15
2025-04-23,15
2025-04-24,13
2025-04-25,11
2025-04-26,12
2025-04-27,12
2025-04-28,13
2025-04-29,13
2025-04-30,12
2025-05-01,12
2025-05-02,12
2025-05-03,11
2025-05-04,11
2025-05-05,11
2025-05-06,11
2025-05-07,11
2025-05-08,10
2025-05-09,10
2025-05-10,10
2025-05-11,10
2025-05-12,11
2025-05-13,13
2025-05-14,11
2025-05-15,10
2025-05-16,10
2025-05-17,10
2025-05-18,10
2025-05-19,9
2025-05-20,11
2025-05-21,10
2025-05-22,11
2025-05-23,10
2025-05-24,10
2025-05-25,9
2025-05-26,10
2025-05-27,10
2025-05-28,10
2025-05-29,11
2025-05-30,9
2025-05-31,10
2025-06-01,11
2025-06-02,9
2025-06-03,10
2025-06-04,9
2025-06-05,9
2025-06-06,10
2025-06-07,9
2025-06-08,9
2025-06-09,10
2025-06-10,9
2025-06-11,8
2025-06-12,10
2025-06-13,9
2025-06-14,10
2025-06-15,9
2025-06-16,8
2025-06-17,10
2025-06-18,8
2025-06-19,8
2025-06-20,8
2025-06-21,8
2025-06-22,8
2025-06-23,11
2025-06-24,8
2025-06-25,9
2025-06-26,15
2025-06-27,12
2025-06-28,9
2025-06-29,8
2025-06-30,25
2025-07-01,16
2025-07-02,12
2025-07-03,9
2025-07-04,9
2025-07-05,8
2025-07-06,10
2025-07-07,11
2025-07-08,11
2025-07-09,10
2025-07-10,9
2025-07-11,10
2025-07-12,9
2025-07-13,9
2025-07-14,9
2025-07-15,9
2025-07-16,8
2025-07-17,9
2025-07-18,8
2025-07-19,9
2025-07-20,10
2025-07-21,8
2025-07-22,8
2025-07-23,8
2025-07-24,9
2025-07-25,8
2025-07-26,8
2025-07-27,8
2025-07-28,8
2025-07-29,8
2025-07-30,9
2025-07-31,9
2025-08-01,8
2025-08-02,8
2025-08-03,7
2025-08-04,7
2025-08-05,8
2025-08-06,9
2025-08-07,8
2025-08-08,7
2025-08-09,7
2025-08-10,10
2025-08-11,7
2025-08-12,7
2025-08-13,8
2025-08-14,8
2025-08-15,7
2025-08-16,7
2025-08-17,8
2025-08-18,8
2025-08-19,8
2025-08-20,8
2025-08-21,8
2025-08-22,7
2025-08-23,9
2025-08-24,7
2025-08-25,8
2025-08-26,8
2025-08-27,8
2025-08-28,9
2025-08-29,8
2025-08-30,10
2025-08-31,10
2025-09-01,9
2025-09-02,9
2025-09-03,8
2025-09-04,10
2025-09-05,10
2025-09-06,10
2025-09-07,9
2025-09-08,8
2025-09-09,8
2025-09-10,7
2025-09-11,8
2025-09-12,8
2025-09-13,9
2025-09-14,9
2025-09-15,8
2025-09-16,8
2025-09-17,9
2025-09-18,9
2025-09-19,10
2025-09-20,10
2025-09-21,9
2025-09-22,9
2025-09-23,9
2025-09-24,10
2025-09-25,9
2025-09-26,8
2025-09-27,10
2025-09-28,9
2025-09-29,10
2025-09-30,10
2025-10-01,10
2025-10-02,10
2025-10-03,9
2025-10-04,12
2025-10-05,9
2025-10-06,9
2025-10-07,10
2025-10-08,11
2025-10-09,11
2025-10-10,10
2025-10-11,12
2025-10-12,12
2025-10-13,19
2025-10-14,17
2025-10-15,14
2025-10-16,15
2025-10-17,15
2025-10-18,18
2025-10-19,16
2025-10-20,15
2025-10-21,16
2025-10-22,18
2025-10-23,16
2025-10-24,21
2025-10-25,26
2025-10-26,20
2025-10-27,20
2025-10-28,19
2025-10-29,20
2025-10-30,18
2025-10-31,18
2025-11-01,25
2025-11-02,24
2025-11-03,54
2025-11-04,80
2025-11-05,52
2025-11-06,47
2025-11-07,53
2025-11-08,82
2025-11-09,52
2025-11-10,45
2025-11-11,51
2025-11-12,64
2025-11-13,49
2025-11-14,50
2025-11-15,72
2025-11-16,58
2025-11-17,45
2025-11-18,49
2025-11-19,61
2025-11-20,55
2025-11-21,58
2025-11-22,68
2025-11-23,48
2025-11-24,52
2025-11-25,64
2025-11-26,75
2025-11-27,75
2025-11-28,69
2025-11-29,58
2025-11-30,45
2025-12-01,42
2025-12-02,47
2025-12-03,71
2025-12-04,58
2025-12-05,42
2025-12-06,100
2025-12-07,68
2025-12-08,49
2025-12-09,46
2025-12-10,60
2025-12-11,52
2025-12-12,46
2025-12-13,88
2025-12-14,65
2025-12-15,40
2025-12-16,40
2025-12-17,55
2025-12-18,45
2025-12-19,40
2025-12-20,68
2025-12-21,57
2025-12-22,45
2025-12-23,45
2025-12-24,36
2025-12-25,28
2025-12-26,29
2025-12-27,35
2025-12-28,35
2025-12-29,39
2025-12-30,55
2025-12-31,51
2026-01-01,46
2026-01-02,47
2026-01-03,97
2026-01-04,59
2026-01-05,43
2026-01-06,48
2026-01-07,57
2026-01-08,53
2026-01-09,52
