Time,traductor
2022-01-01,44.0
2022-01-02,50.0
2022-01-03,62.0
2022-01-04,79.0
2022-01-05,76.0
2022-01-06,63.0
2022-01-07,71.0
2022-01-08,54.0
2022-01-09,53.0
2022-01-10,64.0
2022-01-11,71.0
2022-01-12,74.0
2022-01-13,71.0
2022-01-14,61.0
2022-01-15,55.0
2022-01-16,47.0
2022-01-17,56.0
2022-01-18,64.0
2022-01-19,70.0
2022-01-20,71.0
2022-01-21,67.0
2022-01-22,58.0
2022-01-23,50.0
2022-01-24,77.0
2022-01-25,62.0
2022-01-26,68.0
2022-01-27,72.0
2022-01-28,75.0
2022-01-29,65.0
2022-01-30,59.0
2022-01-31,74.0
2022-02-01,74.0
2022-02-02,74.0
2022-02-03,73.0
2022-02-04,78.0
2022-02-05,63.0
2022-02-06,56.0
2022-02-07,72.0
2022-02-08,71.0
2022-02-09,74.0
2022-02-10,70.0
2022-02-11,77.0
2022-02-12,67.0
2022-02-13,55.0
2022-02-14,68.0
2022-02-15,74.0
2022-02-16,73.0
2022-02-17,74.0
2022-02-18,67.0
2022-02-19,63.0
2022-02-20,57.0
2022-02-21,69.0
2022-02-22,74.0
2022-02-23,76.0
2022-02-24,72.0
2022-02-25,70.0
2022-02-26,61.0
2022-02-27,57.0
2022-02-28,73.0
2022-03-01,75.0
2022-03-02,77.0
2022-03-03,75.0
2022-03-04,73.0
2022-03-05,60.0
2022-03-06,58.0
2022-03-07,73.0
2022-03-08,75.0
2022-03-09,72.0
2022-03-10,72.0
2022-03-11,75.0
2022-03-12,61.0
2022-03-13,57.0
2022-03-14,68.0
2022-03-15,72.0
2022-03-16,75.0
2022-03-17,76.0
2022-03-18,72.0
2022-03-19,62.0
2022-03-20,56.0
2022-03-21,73.0
2022-03-22,76.0
2022-03-23,78.0
2022-03-24,76.0
2022-03-25,72.0
2022-03-26,62.0
2022-03-27,57.0
2022-03-28,68.0
2022-03-29,74.0
2022-03-30,73.0
2022-03-31,74.0
2022-04-01,74.0
2022-04-02,61.0
2022-04-03,59.0
2022-04-04,73.0
2022-04-05,77.0
2022-04-06,74.0
2022-04-07,77.0
2022-04-08,78.0
2022-04-09,64.0
2022-04-10,59.0
2022-04-11,80.0
2022-04-12,79.0
2022-04-13,79.0
2022-04-14,78.0
2022-04-15,69.0
2022-04-16,67.0
2022-04-17,60.0
2022-04-18,71.0
2022-04-19,76.0
2022-04-20,74.0
2022-04-21,74.0
2022-04-22,74.0
2022-04-23,62.0
2022-04-24,60.0
2022-04-25,76.0
2022-04-26,77.0
2022-04-27,77.0
2022-04-28,76.0
2022-04-29,74.0
2022-04-30,62.0
2022-05-01,61.0
2022-05-02,72.0
2022-05-03,73.0
2022-05-04,77.0
2022-05-05,78.0
2022-05-06,79.0
2022-05-07,64.0
2022-05-08,61.0
2022-05-09,73.0
2022-05-10,79.0
2022-05-11,73.0
2022-05-12,84.0
2022-05-13,77.0
2022-05-14,70.0
2022-05-15,65.0
2022-05-16,75.0
2022-05-17,86.0
2022-05-18,83.0
2022-05-19,85.0
2022-05-20,85.0
2022-05-21,76.0
2022-05-22,68.0
2022-05-23,80.0
2022-05-24,89.0
2022-05-25,85.0
2022-05-26,81.0
2022-05-27,84.0
2022-05-28,73.0
2022-05-29,66.0
2022-05-30,76.0
2022-05-31,79.0
2022-06-01,80.0
2022-06-02,78.0
2022-06-03,80.0
2022-06-04,73.0
2022-06-05,68.0
2022-06-06,80.0
2022-06-07,81.0
2022-06-08,85.0
2022-06-09,80.0
2022-06-10,81.0
2022-06-11,72.0
2022-06-12,68.0
2022-06-13,79.0
2022-06-14,82.0
2022-06-15,82.0
2022-06-16,82.0
2022-06-17,79.0
2022-06-18,75.0
2022-06-19,68.0
2022-06-20,74.0
2022-06-21,77.0
2022-06-22,84.0
2022-06-23,80.0
2022-06-24,80.0
2022-06-25,68.0
2022-06-26,68.0
2022-06-27,81.0
2022-06-28,79.0
2022-06-29,80.0
2022-06-30,77.0
2022-07-01,80.0
2022-07-02,73.0
2022-07-03,70.0
2022-07-04,72.0
2022-07-05,78.0
2022-07-06,79.0
2022-07-07,78.0
2022-07-08,79.0
2022-07-09,72.0
2022-07-10,69.0
2022-07-11,80.0
2022-07-12,78.0
2022-07-13,79.0
2022-07-14,80.0
2022-07-15,76.0
2022-07-16,74.0
2022-07-17,72.0
2022-07-18,80.0
2022-07-19,83.0
2022-07-20,86.0
2022-07-21,81.0
2022-07-22,79.0
2022-07-23,74.0
2022-07-24,69.0
2022-07-25,82.0
2022-07-26,80.0
2022-07-27,78.0
2022-07-28,82.0
2022-07-29,79.0
2022-07-30,70.0
2022-07-31,69.0
2022-08-01,75.0
2022-08-02,82.0
2022-08-03,82.0
2022-08-04,83.0
2022-08-05,82.0
2022-08-06,74.0
2022-08-07,71.0
2022-08-08,79.0
2022-08-09,85.0
2022-08-10,88.0
2022-08-11,86.0
2022-08-12,82.0
2022-08-13,75.0
2022-08-14,69.0
2022-08-15,87.0
2022-08-16,91.0
2022-08-17,91.0
2022-08-18,94.0
2022-08-19,91.0
2022-08-20,79.0
2022-08-21,72.0
2022-08-22,83.0
2022-08-23,96.0
2022-08-24,93.0
2022-08-25,93.0
2022-08-26,88.0
2022-08-27,79.0
2022-08-28,75.0
2022-08-29,85.5
2022-08-30,85.5
2022-08-31,88.0
2022-09-01,85.5
2022-09-02,88.0
2022-09-03,70.0
2022-09-04,66.5
2022-09-05,67.5
2022-09-06,84.5
2022-09-07,90.5
2022-09-08,83.0
2022-09-09,85.5
2022-09-10,71.0
2022-09-11,65.5
2022-09-12,88.5
2022-09-13,90.5
2022-09-14,88.0
2022-09-15,92.0
2022-09-16,84.0
2022-09-17,72.0
2022-09-18,65.0
