Time,spotify
2025-12-11,70
2025-12-12,72
2025-12-13,54
2025-12-14,45
2025-12-15,77
2025-12-16,65
2025-12-17,68
2025-12-18,68
2025-12-19,61
2025-12-20,44
2025-12-21,44
2025-12-22,50
2025-12-23,49
2025-12-24,49
2025-12-25,48
2025-12-26,47
2025-12-27,45
2025-12-28,43
2025-12-29,43
2025-12-30,46
2025-12-31,45
2026-01-01,42
2026-01-02,43
2026-01-03,44
2026-01-04,40
2026-01-05,51
2026-01-06,56
2026-01-07,58
2026-01-08,60
2026-01-09,61
2026-01-10,46
2026-01-11,41
2026-01-12,62
2026-01-13,63
2026-01-14,65
2026-01-15,70
2026-01-16,71
2026-01-17,47
2026-01-18,43
2026-01-19,46
2026-01-20,58
2026-01-21,66
2026-01-22,67
2026-01-23,63
2026-01-24,46
2026-01-25,46
2026-01-26,51
2026-01-27,58
2026-01-28,60
2026-01-29,65
2026-01-30,67
2026-01-31,48
2026-02-01,49
2026-02-02,61
2026-02-03,60
2026-02-04,66
2026-02-05,64
2026-02-06,68
2026-02-07,49
2026-02-08,48
2026-02-09,60
2026-02-10,67
2026-02-11,68
2026-02-12,66
2026-02-13,67
2026-02-14,50
2026-02-15,50
2026-02-16,52
2026-02-17,61
2026-02-18,61
2026-02-19,61
2026-02-20,62
2026-02-21,53
2026-02-22,49
2026-02-23,66
2026-02-24,64
2026-02-25,65
2026-02-26,68
2026-02-27,69
2026-02-28,49
2026-03-01,44
2026-03-02,63
2026-03-03,64
2026-03-04,64
2026-03-05,65
2026-03-06,62
2026-03-07,46
2026-03-08,44
2026-03-09,57
2026-03-10,59
2026-03-11,58
2026-03-12,59
2026-03-13,57
2026-03-14,47
2026-03-15,46
2026-03-16,57
2026-03-17,60
2026-03-18,68
2026-03-19,64
2026-03-20,61
2026-03-21,47
2026-03-22,44
2026-03-23,59
2026-03-24,58
2026-03-25,63
2026-03-26,58
2026-03-27,60
2026-03-28,48
2026-03-29,45
2026-03-30,53
2026-03-31,55
2026-04-01,56
2026-04-02,55
2026-04-03,51
2026-04-04,41
2026-04-05,43
2026-04-06,54
2026-04-07,53
2026-04-08,56
2026-04-09,55
2026-04-10,57
2026-04-11,43
2026-04-12,44
2026-04-13,53
2026-04-14,59
2026-04-15,54
2026-04-16,63
2026-04-17,68
2026-04-18,46
2026-04-19,45
2026-04-20,59
2026-04-21,60
2026-04-22,58
2026-04-23,61
2026-04-24,61
2026-04-25,44
2026-04-26,46
2026-04-27,58
2026-04-28,58
2026-04-29,64
2026-04-30,65
2026-05-01,67
2026-05-02,45
2026-05-03,46
2026-05-04,59
2026-05-05,63
2026-05-06,57
2026-05-07,60
2026-05-08,60
2026-05-09,44
2026-05-10,41
2026-05-11,58
2026-05-12,84
2026-05-13,71
2026-05-14,75
2026-05-15,100
2026-05-16,76
2026-05-17,63
2026-05-18,72
2026-05-19,76
2026-05-20,66
2026-05-21,65
2026-05-22,65
2026-05-23,53
2026-05-24,50
2026-05-25,47
2026-05-26,56
2026-05-27,59
2026-05-28,60
2026-05-29,61
2026-05-30,48
2026-05-31,48
