Time,spotify
2023-12-22,66
2023-12-23,58
2023-12-24,59
2023-12-25,69
2023-12-26,62
2023-12-27,63
2023-12-28,59
2023-12-29,59
2023-12-30,55
2023-12-31,58
2024-01-01,57
2024-01-02,63
2024-01-03,73
2024-01-04,73
2024-01-05,76
2024-01-06,57
2024-01-07,55
2024-01-08,72
2024-01-09,69
2024-01-10,77
2024-01-11,80
2024-01-12,80
2024-01-13,58
2024-01-14,52
2024-01-15,55
2024-01-16,73
2024-01-17,79
2024-01-18,82
2024-01-19,77
2024-01-20,61
2024-01-21,55
2024-01-22,73
2024-01-23,80
2024-01-24,79
2024-01-25,82
2024-01-26,83
2024-01-27,59
2024-01-28,55
2024-01-29,78
2024-01-30,82
2024-01-31,87
2024-02-01,85
2024-02-02,87
2024-02-03,60
2024-02-04,60
2024-02-05,76
2024-02-06,90
2024-02-07,82
2024-02-08,83
2024-02-09,90
2024-02-10,69
2024-02-11,59
2024-02-12,73
2024-02-13,83
2024-02-14,84
2024-02-15,84
2024-02-16,82
2024-02-17,61
2024-02-18,58
2024-02-19,62
2024-02-20,75
2024-02-21,76
2024-02-22,79
2024-02-23,77
2024-02-24,57
2024-02-25,56
2024-02-26,75
2024-02-27,72
2024-02-28,77
2024-02-29,79
2024-03-01,85
2024-03-02,63
2024-03-03,59
2024-03-04,77
2024-03-05,74
2024-03-06,76
2024-03-07,77
2024-03-08,81
2024-03-09,57
2024-03-10,53
2024-03-11,69
2024-03-12,67
2024-03-13,70
2024-03-14,69
2024-03-15,70
2024-03-16,57
2024-03-17,53
2024-03-18,70
2024-03-19,73
2024-03-20,75
2024-03-21,75
2024-03-22,78
2024-03-23,57
2024-03-24,55
2024-03-25,69
2024-03-26,78
2024-03-27,75
2024-03-28,71
2024-03-29,67
2024-03-30,57
2024-03-31,51
2024-04-01,62
2024-04-02,71
2024-04-03,73
2024-04-04,73
2024-04-05,75
2024-04-06,56
2024-04-07,54
2024-04-08,65
2024-04-09,73
2024-04-10,74
2024-04-11,75
2024-04-12,79
2024-04-13,56
2024-04-14,57
2024-04-15,74
2024-04-16,78
2024-04-17,80
2024-04-18,82
2024-04-19,100
2024-04-20,65
2024-04-21,64
2024-04-22,79
2024-04-23,84
2024-04-24,89
2024-04-25,82
2024-04-26,79
2024-04-27,56
2024-04-28,58
2024-04-29,78
2024-04-30,73
2024-05-01,80
2024-05-02,84
2024-05-03,83
2024-05-04,58
2024-05-05,57
2024-05-06,76
2024-05-07,77
2024-05-08,78
2024-05-09,83
2024-05-10,83
2024-05-11,58
2024-05-12,55
2024-05-13,77
2024-05-14,77
2024-05-15,77
2024-05-16,75
2024-05-17,76
2024-05-18,58
2024-05-19,55
2024-05-20,74
2024-05-21,76
2024-05-22,77
2024-05-23,85
2024-05-24,82
2024-05-25,63
2024-05-26,56
2024-05-27,63
2024-05-28,70
2024-05-29,71
2024-05-30,71
2024-05-31,71
2024-06-01,56
2024-06-02,54
2024-06-03,73
2024-06-04,73
2024-06-05,72
2024-06-06,67
2024-06-07,66
2024-06-08,57
2024-06-09,52
2024-06-10,64
2024-06-11,65
2024-06-12,62
2024-06-13,60
2024-06-14,59
2024-06-15,53
2024-06-16,51
2024-06-17,59
2024-06-18,57
2024-06-19,54
2024-06-20,56
2024-06-21,72
2024-06-22,57
2024-06-23,53
2024-06-24,58
2024-06-25,58
2024-06-26,61
2024-06-27,59
2024-06-28,58
2024-06-29,51
2024-06-30,51
2024-07-01,59
2024-07-02,58
2024-07-03,59
2024-07-04,55
2024-07-05,48
2024-07-06,52
2024-07-07,51
2024-07-08,55
2024-07-09,57
2024-07-10,57
2024-07-11,58
2024-07-12,59
2024-07-13,53
2024-07-14,46
2024-07-15,54
2024-07-16,57
2024-07-17,58
2024-07-18,58
2024-07-19,59
2024-07-20,53
2024-07-21,48
2024-07-22,58
2024-07-23,60
2024-07-24,64
2024-07-25,61
2024-07-26,62
2024-07-27,53
2024-07-28,53
2024-07-29,58
2024-07-30,60
2024-07-31,64
2024-08-01,61
2024-08-02,64
2024-08-03,58
2024-08-04,52
2024-08-05,59
2024-08-06,60
2024-08-07,71
2024-08-08,64
2024-08-09,65
2024-08-10,52
2024-08-11,51
2024-08-12,65
2024-08-13,66
2024-08-14,72
2024-08-15,78
2024-08-16,82
2024-08-17,64
2024-08-18,59
2024-08-19,80
2024-08-20,84
2024-08-21,84
2024-08-22,84
2024-08-23,88
2024-08-24,61
2024-08-25,61
2024-08-26,78
2024-08-27,80
2024-08-28,84
2024-08-29,83
2024-08-30,84
2024-08-31,56
2024-09-01,57
2024-09-02,62
2024-09-03,84
2024-09-04,85
2024-09-05,88
2024-09-06,88
2024-09-07,60
2024-09-08,57
2024-09-09,81
2024-09-10,86
2024-09-11,84
2024-09-12,96
2024-09-13,94
2024-09-14,57
2024-09-15,53
2024-09-16,82
