Time,justin bieber
2023-12-22,16
2023-12-23,20
2023-12-24,19
2023-12-25,19
2023-12-26,15
2023-12-27,13
2023-12-28,13
2023-12-29,14
2023-12-30,14
2023-12-31,14
2024-01-01,14
2024-01-02,12
2024-01-03,13
2024-01-04,14
2024-01-05,14
2024-01-06,15
2024-01-07,14
2024-01-08,13
2024-01-09,13
2024-01-10,12
2024-01-11,12
2024-01-12,14
2024-01-13,14
2024-01-14,14
2024-01-15,12
2024-01-16,12
2024-01-17,21
2024-01-18,17
2024-01-19,17
2024-01-20,20
2024-01-21,15
2024-01-22,12
2024-01-23,12
2024-01-24,13
2024-01-25,12
2024-01-26,13
2024-01-27,13
2024-01-28,15
2024-01-29,12
2024-01-30,12
2024-01-31,11
2024-02-01,11
2024-02-02,18
2024-02-03,30
2024-02-04,26
2024-02-05,24
2024-02-06,18
2024-02-07,16
2024-02-08,19
2024-02-09,24
2024-02-10,30
2024-02-11,54
2024-02-12,91
2024-02-13,27
2024-02-14,18
2024-02-15,18
2024-02-16,19
2024-02-17,21
2024-02-18,21
2024-02-19,17
2024-02-20,16
2024-02-21,14
2024-02-22,14
2024-02-23,15
2024-02-24,18
2024-02-25,18
2024-02-26,17
2024-02-27,17
2024-02-28,14
2024-02-29,29
2024-03-01,45
2024-03-02,54
2024-03-03,39
2024-03-04,19
2024-03-05,18
2024-03-06,17
2024-03-07,16
2024-03-08,16
2024-03-09,23
2024-03-10,32
2024-03-11,22
2024-03-12,21
2024-03-13,15
2024-03-14,13
2024-03-15,16
2024-03-16,23
2024-03-17,29
2024-03-18,27
2024-03-19,23
2024-03-20,18
2024-03-21,14
2024-03-22,15
2024-03-23,21
2024-03-24,33
2024-03-25,16
2024-03-26,21
2024-03-27,24
2024-03-28,36
2024-03-29,45
2024-03-30,50
2024-03-31,49
2024-04-01,41
2024-04-02,34
2024-04-03,30
2024-04-04,32
2024-04-05,31
2024-04-06,32
2024-04-07,30
2024-04-08,26
2024-04-09,21
2024-04-10,23
2024-04-11,20
2024-04-12,19
2024-04-13,20
2024-04-14,30
2024-04-15,29
2024-04-16,25
2024-04-17,23
2024-04-18,25
2024-04-19,23
2024-04-20,22
2024-04-21,25
2024-04-22,18
2024-04-23,19
2024-04-24,18
2024-04-25,18
2024-04-26,21
2024-04-27,22
2024-04-28,37
2024-04-29,35
2024-04-30,29
2024-05-01,23
2024-05-02,21
2024-05-03,17
2024-05-04,17
2024-05-05,17
2024-05-06,14
2024-05-07,16
2024-05-08,14
2024-05-09,68
2024-05-10,100
2024-05-11,47
2024-05-12,31
2024-05-13,21
2024-05-14,17
2024-05-15,18
2024-05-16,18
2024-05-17,18
2024-05-18,20
2024-05-19,20
2024-05-20,17
2024-05-21,15
2024-05-22,15
2024-05-23,14
2024-05-24,15
2024-05-25,17
2024-05-26,17
2024-05-27,16
2024-05-28,14
2024-05-29,14
2024-05-30,14
2024-05-31,14
2024-06-01,15
2024-06-02,16
2024-06-03,13
2024-06-04,13
2024-06-05,13
2024-06-06,15
2024-06-07,15
2024-06-08,15
2024-06-09,14
2024-06-10,12
2024-06-11,11
2024-06-12,12
2024-06-13,13
2024-06-14,12
2024-06-15,14
2024-06-16,13
2024-06-17,10
2024-06-18,13
2024-06-19,11
2024-06-20,12
2024-06-21,13
2024-06-22,14
2024-06-23,12
2024-06-24,12
2024-06-25,12
2024-06-26,12
2024-06-27,11
2024-06-28,10
2024-06-29,12
2024-06-30,12
2024-07-01,11
2024-07-02,11
2024-07-03,10
2024-07-04,13
2024-07-05,13
2024-07-06,16
2024-07-07,18
2024-07-08,14
2024-07-09,13
2024-07-10,11
2024-07-11,11
2024-07-12,13
2024-07-13,14
2024-07-14,11
2024-07-15,10
2024-07-16,10
2024-07-17,10
2024-07-18,9
2024-07-19,10
2024-07-20,16
2024-07-21,21
2024-07-22,16
2024-07-23,12
2024-07-24,10
2024-07-25,12
2024-07-26,11
2024-07-27,13
2024-07-28,12
2024-07-29,10
2024-07-30,10
2024-07-31,9
2024-08-01,10
2024-08-02,11
2024-08-03,14
2024-08-04,12
2024-08-05,9
2024-08-06,9
2024-08-07,9
2024-08-08,9
2024-08-09,10
2024-08-10,12
2024-08-11,12
2024-08-12,9
2024-08-13,9
2024-08-14,9
2024-08-15,10
2024-08-16,10
2024-08-17,13
2024-08-18,14
2024-08-19,10
2024-08-20,11
2024-08-21,10
2024-08-22,9
2024-08-23,11
2024-08-24,69
2024-08-25,36
2024-08-26,24
2024-08-27,19
2024-08-28,17
2024-08-29,14
2024-08-30,14
2024-08-31,14
2024-09-01,14
2024-09-02,15
2024-09-03,13
2024-09-04,14
2024-09-05,19
2024-09-06,32
2024-09-07,37
2024-09-08,37
2024-09-09,30
2024-09-10,32
2024-09-11,24
2024-09-12,19
2024-09-13,15
2024-09-14,18
2024-09-15,13
2024-09-16,12
