Time,justin bieber
2023-04-26,31
2023-04-27,31
2023-04-28,30
2023-04-29,33
2023-04-30,39
2023-05-01,36
2023-05-02,41
2023-05-03,33
2023-05-04,30
2023-05-05,33
2023-05-06,36
2023-05-07,36
2023-05-08,30
2023-05-09,29
2023-05-10,29
2023-05-11,29
2023-05-12,30
2023-05-13,32
2023-05-14,33
2023-05-15,33
2023-05-16,30
2023-05-17,29
2023-05-18,30
2023-05-19,31
2023-05-20,33
2023-05-21,31
2023-05-22,28
2023-05-23,28
2023-05-24,29
2023-05-25,29
2023-05-26,28
2023-05-27,33
2023-05-28,32
2023-05-29,35
2023-05-30,31
2023-05-31,28
2023-06-01,39
2023-06-02,30
2023-06-03,32
2023-06-04,34
2023-06-05,29
2023-06-06,29
2023-06-07,34
2023-06-08,33
2023-06-09,31
2023-06-10,34
2023-06-11,34
2023-06-12,29
2023-06-13,25
2023-06-14,28
2023-06-15,28
2023-06-16,29
2023-06-17,34
2023-06-18,37
2023-06-19,29
2023-06-20,30
2023-06-21,30
2023-06-22,27
2023-06-23,30
2023-06-24,32
2023-06-25,34
2023-06-26,30
2023-06-27,29
2023-06-28,25
2023-06-29,26
2023-06-30,26
2023-07-01,29
2023-07-02,33
2023-07-03,31
2023-07-04,31
2023-07-05,26
2023-07-06,26
2023-07-07,33
2023-07-08,34
2023-07-09,31
2023-07-10,28
2023-07-11,28
2023-07-12,26
2023-07-13,27
2023-07-14,29
2023-07-15,31
2023-07-16,32
2023-07-17,26
2023-07-18,28
2023-07-19,28
2023-07-20,28
2023-07-21,26
2023-07-22,34
2023-07-23,35
2023-07-24,26
2023-07-25,28
2023-07-26,26
2023-07-27,28
2023-07-28,28
2023-07-29,33
2023-07-30,35
2023-07-31,28
2023-08-01,27
2023-08-02,27
2023-08-03,28
2023-08-04,28
2023-08-05,37
2023-08-06,37
2023-08-07,31
2023-08-08,29
2023-08-09,28
2023-08-10,27
2023-08-11,29
2023-08-12,32
2023-08-13,32
2023-08-14,25
2023-08-15,28
2023-08-16,27
2023-08-17,26
2023-08-18,34
2023-08-19,64
2023-08-20,54
2023-08-21,29
2023-08-22,48
2023-08-23,53
2023-08-24,33
2023-08-25,44
2023-08-26,62
2023-08-27,55
2023-08-28,40
2023-08-29,38
2023-08-30,39
2023-08-31,37
2023-09-01,34
2023-09-02,45
2023-09-03,41
2023-09-04,38
2023-09-05,30
2023-09-06,30
2023-09-07,31
2023-09-08,29
2023-09-09,32
2023-09-10,32
2023-09-11,25
2023-09-12,24
2023-09-13,36
2023-09-14,35
2023-09-15,33
2023-09-16,37
2023-09-17,36
2023-09-18,29
2023-09-19,30
2023-09-20,27
2023-09-21,28
2023-09-22,25
2023-09-23,32
2023-09-24,35
2023-09-25,25
2023-09-26,26
2023-09-27,27
2023-09-28,25
2023-09-29,25
2023-09-30,29
2023-10-01,29
2023-10-02,24
2023-10-03,27
2023-10-04,25
2023-10-05,24
2023-10-06,31
2023-10-07,31
2023-10-08,31
2023-10-09,29
2023-10-10,32
2023-10-11,32
2023-10-12,33
2023-10-13,30
2023-10-14,33
2023-10-15,34
2023-10-16,29
2023-10-17,30
2023-10-18,30
2023-10-19,32
2023-10-20,36
2023-10-21,36
2023-10-22,34
2023-10-23,29
2023-10-24,28
2023-10-25,32
2023-10-26,39
2023-10-27,39
2023-10-28,47
2023-10-29,44
2023-10-30,36
2023-10-31,34
2023-11-01,30
2023-11-02,32
2023-11-03,39
2023-11-04,40
2023-11-05,37
2023-11-06,29
2023-11-07,34
2023-11-08,30
2023-11-09,27
2023-11-10,30
2023-11-11,35
2023-11-12,32
2023-11-13,28
2023-11-14,27
2023-11-15,29
2023-11-16,27
2023-11-17,29
2023-11-18,37
2023-11-19,36
2023-11-20,30
2023-11-21,28
2023-11-22,29
2023-11-23,34
2023-11-24,33
2023-11-25,36
2023-11-26,56
2023-11-27,32
2023-11-28,32
2023-11-29,36
2023-11-30,38
2023-12-01,37
2023-12-02,42
2023-12-03,34
2023-12-04,29
2023-12-05,39
2023-12-06,44
2023-12-07,40
2023-12-08,45
2023-12-09,65
2023-12-10,100
2023-12-11,77
2023-12-12,31
2023-12-13,32
2023-12-14,31
2023-12-15,38
2023-12-16,41
2023-12-17,43
2023-12-18,38
2023-12-19,41
2023-12-20,34
2023-12-21,35
2023-12-22,38
2023-12-23,45
2023-12-24,45
2023-12-25,43
2023-12-26,35
2023-12-27,31
2023-12-28,31
2023-12-29,33
2023-12-30,33
2023-12-31,32
2024-01-01,33
2024-01-02,27
2024-01-03,31
2024-01-04,33
2024-01-05,32
2024-01-06,34
2024-01-07,32
2024-01-08,29
2024-01-09,29
2024-01-10,27
2024-01-11,29
2024-01-12,31
2024-01-13,32
2024-01-14,32
2024-01-15,29
2024-01-16,27
2024-01-17,48
2024-01-18,39
2024-01-19,40
2024-01-20,47
