Time,etsy
2023-12-22,89
2023-12-23,86
2023-12-24,75
2023-12-25,88
2023-12-26,88
2023-12-27,94
2023-12-28,89
2023-12-29,95
2023-12-30,88
2023-12-31,87
2024-01-01,84
2024-01-02,89
2024-01-03,92
2024-01-04,91
2024-01-05,83
2024-01-06,92
2024-01-07,100
2024-01-08,84
2024-01-09,85
2024-01-10,85
2024-01-11,83
2024-01-12,82
2024-01-13,86
2024-01-14,91
2024-01-15,89
2024-01-16,86
2024-01-17,90
2024-01-18,83
2024-01-19,83
2024-01-20,93
2024-01-21,98
2024-01-22,88
2024-01-23,87
2024-01-24,89
2024-01-25,85
2024-01-26,84
2024-01-27,88
2024-01-28,94
2024-01-29,89
2024-01-30,90
2024-01-31,82
2024-02-01,85
2024-02-02,88
2024-02-03,89
2024-02-04,96
2024-02-05,86
2024-02-06,86
2024-02-07,82
2024-02-08,78
2024-02-09,79
2024-02-10,80
2024-02-11,86
2024-02-12,78
2024-02-13,85
2024-02-14,75
2024-02-15,73
2024-02-16,75
2024-02-17,81
2024-02-18,87
2024-02-19,82
2024-02-20,81
2024-02-21,84
2024-02-22,83
2024-02-23,83
2024-02-24,84
2024-02-25,86
2024-02-26,81
2024-02-27,82
2024-02-28,77
2024-02-29,76
2024-03-01,77
2024-03-02,84
2024-03-03,91
2024-03-04,82
2024-03-05,81
2024-03-06,81
2024-03-07,77
2024-03-08,77
2024-03-09,82
2024-03-10,86
2024-03-11,78
2024-03-12,77
2024-03-13,77
2024-03-14,74
2024-03-15,78
2024-03-16,79
2024-03-17,86
2024-03-18,81
2024-03-19,82
2024-03-20,80
2024-03-21,74
2024-03-22,72
2024-03-23,78
2024-03-24,78
2024-03-25,79
2024-03-26,76
2024-03-27,75
2024-03-28,74
2024-03-29,72
2024-03-30,74
2024-03-31,73
2024-04-01,79
2024-04-02,78
2024-04-03,77
2024-04-04,77
2024-04-05,76
2024-04-06,78
2024-04-07,80
2024-04-08,72
2024-04-09,77
2024-04-10,79
2024-04-11,79
2024-04-12,78
2024-04-13,77
2024-04-14,86
2024-04-15,79
2024-04-16,77
2024-04-17,80
2024-04-18,82
2024-04-19,79
2024-04-20,81
2024-04-21,85
2024-04-22,88
2024-04-23,85
2024-04-24,82
2024-04-25,81
2024-04-26,79
2024-04-27,82
2024-04-28,85
2024-04-29,86
2024-04-30,85
2024-05-01,85
2024-05-02,80
2024-05-03,80
2024-05-04,79
2024-05-05,87
2024-05-06,90
2024-05-07,84
2024-05-08,84
2024-05-09,79
2024-05-10,78
2024-05-11,76
2024-05-12,74
2024-05-13,78
2024-05-14,77
2024-05-15,72
2024-05-16,78
2024-05-17,77
2024-05-18,75
2024-05-19,76
2024-05-20,77
2024-05-21,78
2024-05-22,77
2024-05-23,72
2024-05-24,69
2024-05-25,71
2024-05-26,72
2024-05-27,83
2024-05-28,80
2024-05-29,79
2024-05-30,73
2024-05-31,73
2024-06-01,76
2024-06-02,82
2024-06-03,78
2024-06-04,78
2024-06-05,78
2024-06-06,78
2024-06-07,76
2024-06-08,69
2024-06-09,78
2024-06-10,83
2024-06-11,81
2024-06-12,78
2024-06-13,76
2024-06-14,67
2024-06-15,70
2024-06-16,72
2024-06-17,75
2024-06-18,73
2024-06-19,75
2024-06-20,73
2024-06-21,72
2024-06-22,70
2024-06-23,78
2024-06-24,75
2024-06-25,75
2024-06-26,74
2024-06-27,72
2024-06-28,69
2024-06-29,71
2024-06-30,76
2024-07-01,77
2024-07-02,76
2024-07-03,71
2024-07-04,67
2024-07-05,67
2024-07-06,74
2024-07-07,77
2024-07-08,78
2024-07-09,79
2024-07-10,83
2024-07-11,77
2024-07-12,75
2024-07-13,71
2024-07-14,72
2024-07-15,75
2024-07-16,79
2024-07-17,78
2024-07-18,77
2024-07-19,74
2024-07-20,76
2024-07-21,85
2024-07-22,82
2024-07-23,82
2024-07-24,75
2024-07-25,75
2024-07-26,77
2024-07-27,74
2024-07-28,80
2024-07-29,83
2024-07-30,81
2024-07-31,77
2024-08-01,77
2024-08-02,78
2024-08-03,77
2024-08-04,89
2024-08-05,79
2024-08-06,81
2024-08-07,82
2024-08-08,79
2024-08-09,78
2024-08-10,75
2024-08-11,83
2024-08-12,80
2024-08-13,83
2024-08-14,77
2024-08-15,79
2024-08-16,77
2024-08-17,82
2024-08-18,86
2024-08-19,82
2024-08-20,82
2024-08-21,78
2024-08-22,76
2024-08-23,76
2024-08-24,81
2024-08-25,86
2024-08-26,80
2024-08-27,79
2024-08-28,79
2024-08-29,76
2024-08-30,76
2024-08-31,77
2024-09-01,83
2024-09-02,86
2024-09-03,83
2024-09-04,76
2024-09-05,75
2024-09-06,71
2024-09-07,79
2024-09-08,88
2024-09-09,75
2024-09-10,75
2024-09-11,75
2024-09-12,75
2024-09-13,74
2024-09-14,78
2024-09-15,79
2024-09-16,79
