Time,etsy
2025-12-11,96
2025-12-12,96
2025-12-13,100
2025-12-14,99
2025-12-15,96
2025-12-16,90
2025-12-17,85
2025-12-18,83
2025-12-19,77
2025-12-20,70
2025-12-21,72
2025-12-22,75
2025-12-23,64
2025-12-24,60
2025-12-25,59
2025-12-26,72
2025-12-27,73
2025-12-28,69
2025-12-29,76
2025-12-30,77
2025-12-31,65
2026-01-01,59
2026-01-02,75
2026-01-03,76
2026-01-04,76
2026-01-05,70
2026-01-06,70
2026-01-07,70
2026-01-08,66
2026-01-09,68
2026-01-10,71
2026-01-11,76
2026-01-12,70
2026-01-13,70
2026-01-14,65
2026-01-15,66
2026-01-16,67
2026-01-17,69
2026-01-18,72
2026-01-19,74
2026-01-20,70
2026-01-21,68
2026-01-22,64
2026-01-23,64
2026-01-24,68
2026-01-25,76
2026-01-26,72
2026-01-27,72
2026-01-28,70
2026-01-29,70
2026-01-30,68
2026-01-31,72
2026-02-01,78
2026-02-02,72
2026-02-03,71
2026-02-04,70
2026-02-05,65
2026-02-06,65
2026-02-07,68
2026-02-08,69
2026-02-09,60
2026-02-10,66
2026-02-11,66
2026-02-12,59
2026-02-13,59
2026-02-14,55
2026-02-15,65
2026-02-16,68
2026-02-17,63
2026-02-18,62
2026-02-19,66
2026-02-20,69
2026-02-21,75
2026-02-22,73
2026-02-23,77
2026-02-24,69
2026-02-25,63
2026-02-26,70
2026-02-27,66
2026-02-28,62
2026-03-01,74
2026-03-02,73
2026-03-03,78
2026-03-04,70
2026-03-05,73
2026-03-06,67
2026-03-07,75
2026-03-08,77
2026-03-09,76
2026-03-10,73
2026-03-11,69
2026-03-12,69
2026-03-13,69
2026-03-14,71
2026-03-15,75
2026-03-16,67
2026-03-17,70
2026-03-18,72
2026-03-19,72
2026-03-20,65
2026-03-21,66
2026-03-22,73
2026-03-23,80
2026-03-24,73
2026-03-25,74
2026-03-26,67
2026-03-27,66
2026-03-28,66
2026-03-29,77
2026-03-30,72
2026-03-31,72
2026-04-01,70
2026-04-02,67
2026-04-03,62
2026-04-04,56
2026-04-05,61
2026-04-06,72
2026-04-07,71
2026-04-08,71
2026-04-09,68
2026-04-10,66
2026-04-11,66
2026-04-12,69
2026-04-13,70
2026-04-14,71
2026-04-15,73
2026-04-16,70
2026-04-17,72
2026-04-18,69
2026-04-19,71
2026-04-20,71
2026-04-21,73
2026-04-22,70
2026-04-23,68
2026-04-24,67
2026-04-25,68
2026-04-26,74
2026-04-27,75
2026-04-28,73
2026-04-29,75
2026-04-30,67
2026-05-01,69
2026-05-02,71
2026-05-03,71
2026-05-04,74
2026-05-05,73
2026-05-06,73
2026-05-07,71
2026-05-08,67
2026-05-09,63
2026-05-10,65
2026-05-11,67
2026-05-12,70
2026-05-13,65
2026-05-14,67
2026-05-15,62
2026-05-16,62
2026-05-17,66
2026-05-18,67
2026-05-19,65
2026-05-20,69
2026-05-21,70
2026-05-22,66
2026-05-23,68
2026-05-24,69
2026-05-25,72
2026-05-26,72
2026-05-27,70
2026-05-28,68
2026-05-29,71
2026-05-30,75
2026-05-31,76
