Time,gimkit join
2022-01-01,0
2022-01-02,0
2022-01-03,2
2022-01-04,3
2022-01-05,5
2022-01-06,6
2022-01-07,7
2022-01-08,0
2022-01-09,0
2022-01-10,5
2022-01-11,7
2022-01-12,8
2022-01-13,9
2022-01-14,9
2022-01-15,1
2022-01-16,0
2022-01-17,0
2022-01-18,7
2022-01-19,7
2022-01-20,8
2022-01-21,11
2022-01-22,0
2022-01-23,0
2022-01-24,6
2022-01-25,6
2022-01-26,8
2022-01-27,10
2022-01-28,13
2022-01-29,0
2022-01-30,0
2022-01-31,9
2022-02-01,9
2022-02-02,8
2022-02-03,9
2022-02-04,9
2022-02-05,1
2022-02-06,0
2022-02-07,8
2022-02-08,8
2022-02-09,9
2022-02-10,9
2022-02-11,12
2022-02-12,0
2022-02-13,0
2022-02-14,7
2022-02-15,8
2022-02-16,9
2022-02-17,11
2022-02-18,9
2022-02-19,2
2022-02-20,0
2022-02-21,2
2022-02-22,5
2022-02-23,7
2022-02-24,8
2022-02-25,11
2022-02-26,1
2022-02-27,0
2022-02-28,8
2022-03-01,8
2022-03-02,11
2022-03-03,11
2022-03-04,14
2022-03-05,1
2022-03-06,1
2022-03-07,8
2022-03-08,12
2022-03-09,14
2022-03-10,15
2022-03-11,15
2022-03-12,2
2022-03-13,1
2022-03-14,7
2022-03-15,8
2022-03-16,10
2022-03-17,10
2022-03-18,11
2022-03-19,1
2022-03-20,0
2022-03-21,7
2022-03-22,10
2022-03-23,10
2022-03-24,12
2022-03-25,59
2022-03-26,2
2022-03-27,2
2022-03-28,35
2022-03-29,42
2022-03-30,10
2022-03-31,52
2022-04-01,62
2022-04-02,1
2022-04-03,1
2022-04-04,36
2022-04-05,35
2022-04-06,43
2022-04-07,50
2022-04-08,60
2022-04-09,2
2022-04-10,1
2022-04-11,37
2022-04-12,42
2022-04-13,48
2022-04-14,57
2022-04-15,22
2022-04-16,1
2022-04-17,0
2022-04-18,27
2022-04-19,40
2022-04-20,46
2022-04-21,52
2022-04-22,60
2022-04-23,3
2022-04-24,2
2022-04-25,52
2022-04-26,52
2022-04-27,53
2022-04-28,64
2022-04-29,75
2022-04-30,2
2022-05-01,2
2022-05-02,57
2022-05-03,65
2022-05-04,72
2022-05-05,74
2022-05-06,92
2022-05-07,4
2022-05-08,2
2022-05-09,63
2022-05-10,63
2022-05-11,66
2022-05-12,78
2022-05-13,83
2022-05-14,3
2022-05-15,2
2022-05-16,63
2022-05-17,65
2022-05-18,72
2022-05-19,76
2022-05-20,74
2022-05-21,3
2022-05-22,2
2022-05-23,57
2022-05-24,56
2022-05-25,53
2022-05-26,49
2022-05-27,35
2022-05-28,2
2022-05-29,1
2022-05-30,0
2022-05-31,27
2022-06-01,27
2022-06-02,27
2022-06-03,24
2022-06-04,2
2022-06-05,0
2022-06-06,18
2022-06-07,21
2022-06-08,21
2022-06-09,21
2022-06-10,17
2022-06-11,2
2022-06-12,1
2022-06-13,16
2022-06-14,14
2022-06-15,14
2022-06-16,12
2022-06-17,9
2022-06-18,0
2022-06-19,0
2022-06-20,4
2022-06-21,8
2022-06-22,6
2022-06-23,7
2022-06-24,3
2022-06-25,0
2022-06-26,0
2022-06-27,4
2022-06-28,3
2022-06-29,3
2022-06-30,4
2022-07-01,1
2022-07-02,0
2022-07-03,0
2022-07-04,0
2022-07-05,1
2022-07-06,2
2022-07-07,2
2022-07-08,1
2022-07-09,0
2022-07-10,0
2022-07-11,2
2022-07-12,3
2022-07-13,2
2022-07-14,2
2022-07-15,1
2022-07-16,0
2022-07-17,0
2022-07-18,0
2022-07-19,2
2022-07-20,2
2022-07-21,2
2022-07-22,1
2022-07-23,0
2022-07-24,0
2022-07-25,1
2022-07-26,1
2022-07-27,2
2022-07-28,2
2022-07-29,2
2022-07-30,0
2022-07-31,0
2022-08-01,0
2022-08-02,1
2022-08-03,2
2022-08-04,4
2022-08-05,6
2022-08-06,0
2022-08-07,0
2022-08-08,4
2022-08-09,7
2022-08-10,9
2022-08-11,16
2022-08-12,21
2022-08-13,1
2022-08-14,2
2022-08-15,14
2022-08-16,18
2022-08-17,23
2022-08-18,31
2022-08-19,50
2022-08-20,1
2022-08-21,1
2022-08-22,26
2022-08-23,30
2022-08-24,42
2022-08-25,50
2022-08-26,65
2022-08-27,1
2022-08-28,1
2022-08-29,37
2022-08-30,45
2022-08-31,57
2022-09-01,72
2022-09-02,74
2022-09-03,2
2022-09-04,1
2022-09-05,1
2022-09-06,46
2022-09-07,59
2022-09-08,69
2022-09-09,94
2022-09-10,2
2022-09-11,1
2022-09-12,53
2022-09-13,63
2022-09-14,75
2022-09-15,89
2022-09-16,100
2022-09-17,4
2022-09-18,2
2022-09-19,58
2022-09-20,65
2022-09-21,88
2022-09-22,84
2022-09-23,99
2022-09-24,3
2022-09-25,2
2022-09-26,46
2022-09-27,61
