Time,poki
2023-12-22,82
2023-12-23,67
2023-12-24,67
2023-12-25,61
2023-12-26,53
2023-12-27,49
2023-12-28,50
2023-12-29,51
2023-12-30,45
2023-12-31,47
2024-01-01,52
2024-01-02,50
2024-01-03,58
2024-01-04,67
2024-01-05,72
2024-01-06,50
2024-01-07,49
2024-01-08,64
2024-01-09,73
2024-01-10,74
2024-01-11,81
2024-01-12,92
2024-01-13,58
2024-01-14,55
2024-01-15,52
2024-01-16,63
2024-01-17,79
2024-01-18,78
2024-01-19,81
2024-01-20,59
2024-01-21,53
2024-01-22,67
2024-01-23,76
2024-01-24,85
2024-01-25,85
2024-01-26,100
2024-01-27,58
2024-01-28,52
2024-01-29,76
2024-01-30,83
2024-01-31,82
2024-02-01,84
2024-02-02,83
2024-02-03,58
2024-02-04,55
2024-02-05,67
2024-02-06,73
2024-02-07,81
2024-02-08,87
2024-02-09,91
2024-02-10,61
2024-02-11,55
2024-02-12,64
2024-02-13,73
2024-02-14,75
2024-02-15,79
2024-02-16,86
2024-02-17,58
2024-02-18,54
2024-02-19,55
2024-02-20,66
2024-02-21,68
2024-02-22,74
2024-02-23,81
2024-02-24,56
2024-02-25,52
2024-02-26,65
2024-02-27,72
2024-02-28,77
2024-02-29,79
2024-03-01,84
2024-03-02,56
2024-03-03,52
2024-03-04,68
2024-03-05,77
2024-03-06,76
2024-03-07,84
2024-03-08,87
2024-03-09,61
2024-03-10,55
2024-03-11,64
2024-03-12,66
2024-03-13,72
2024-03-14,77
2024-03-15,80
2024-03-16,53
2024-03-17,53
2024-03-18,63
2024-03-19,79
2024-03-20,68
2024-03-21,79
2024-03-22,80
2024-03-23,58
2024-03-24,50
2024-03-25,66
2024-03-26,70
2024-03-27,76
2024-03-28,73
2024-03-29,57
2024-03-30,49
2024-03-31,48
2024-04-01,54
2024-04-02,60
2024-04-03,64
2024-04-04,64
2024-04-05,71
2024-04-06,48
2024-04-07,47
2024-04-08,56
2024-04-09,67
2024-04-10,67
2024-04-11,74
2024-04-12,87
2024-04-13,49
2024-04-14,47
2024-04-15,64
2024-04-16,66
2024-04-17,69
2024-04-18,78
2024-04-19,81
2024-04-20,53
2024-04-21,49
2024-04-22,65
2024-04-23,76
2024-04-24,72
2024-04-25,78
2024-04-26,84
2024-04-27,54
2024-04-28,53
2024-04-29,67
2024-04-30,73
2024-05-01,77
2024-05-02,77
2024-05-03,84
2024-05-04,49
2024-05-05,49
2024-05-06,73
2024-05-07,74
2024-05-08,79
2024-05-09,77
2024-05-10,88
2024-05-11,52
2024-05-12,50
2024-05-13,78
2024-05-14,79
2024-05-15,80
2024-05-16,83
2024-05-17,91
2024-05-18,53
2024-05-19,52
2024-05-20,76
2024-05-21,82
2024-05-22,78
2024-05-23,86
2024-05-24,85
2024-05-25,53
2024-05-26,50
2024-05-27,48
2024-05-28,62
2024-05-29,70
2024-05-30,81
2024-05-31,72
2024-06-01,48
2024-06-02,46
2024-06-03,59
2024-06-04,63
2024-06-05,61
2024-06-06,61
2024-06-07,60
2024-06-08,48
2024-06-09,46
2024-06-10,53
2024-06-11,53
2024-06-12,53
2024-06-13,54
2024-06-14,54
2024-06-15,42
2024-06-16,42
2024-06-17,45
2024-06-18,45
2024-06-19,42
2024-06-20,45
2024-06-21,47
2024-06-22,42
2024-06-23,39
2024-06-24,43
2024-06-25,44
2024-06-26,45
2024-06-27,44
2024-06-28,44
2024-06-29,41
2024-06-30,40
2024-07-01,38
2024-07-02,42
2024-07-03,43
2024-07-04,40
2024-07-05,40
2024-07-06,37
2024-07-07,36
2024-07-08,39
2024-07-09,39
2024-07-10,39
2024-07-11,42
2024-07-12,42
2024-07-13,38
2024-07-14,38
2024-07-15,39
2024-07-16,38
2024-07-17,39
2024-07-18,40
2024-07-19,38
2024-07-20,40
2024-07-21,36
2024-07-22,37
2024-07-23,38
2024-07-24,38
2024-07-25,43
2024-07-26,40
2024-07-27,38
2024-07-28,40
2024-07-29,38
2024-07-30,39
2024-07-31,36
2024-08-01,40
2024-08-02,42
2024-08-03,40
2024-08-04,40
2024-08-05,38
2024-08-06,40
2024-08-07,44
2024-08-08,43
2024-08-09,52
2024-08-10,40
2024-08-11,39
2024-08-12,42
2024-08-13,48
2024-08-14,50
2024-08-15,53
2024-08-16,60
2024-08-17,42
2024-08-18,43
2024-08-19,52
2024-08-20,59
2024-08-21,65
2024-08-22,69
2024-08-23,75
2024-08-24,49
2024-08-25,44
2024-08-26,60
2024-08-27,66
2024-08-28,69
2024-08-29,73
2024-08-30,82
2024-08-31,47
2024-09-01,49
2024-09-02,46
2024-09-03,60
2024-09-04,68
2024-09-05,70
2024-09-06,80
2024-09-07,49
2024-09-08,47
2024-09-09,66
2024-09-10,70
2024-09-11,72
2024-09-12,79
2024-09-13,98
2024-09-14,52
2024-09-15,49
2024-09-16,74
