Time,angela bassett
2023-12-22,9
2023-12-23,34
2023-12-24,21
2023-12-25,19
2023-12-26,13
2023-12-27,13
2023-12-28,11
2023-12-29,16
2023-12-30,14
2023-12-31,14
2024-01-01,14
2024-01-02,10
2024-01-03,10
2024-01-04,7
2024-01-05,9
2024-01-06,11
2024-01-07,11
2024-01-08,55
2024-01-09,18
2024-01-10,100
2024-01-11,93
2024-01-12,51
2024-01-13,46
2024-01-14,30
2024-01-15,29
2024-01-16,16
2024-01-17,14
2024-01-18,11
2024-01-19,12
2024-01-20,16
2024-01-21,13
2024-01-22,9
2024-01-23,8
2024-01-24,11
2024-01-25,10
2024-01-26,9
2024-01-27,11
2024-01-28,11
2024-01-29,8
2024-01-30,7
2024-01-31,8
2024-02-01,10
2024-02-02,11
2024-02-03,14
2024-02-04,13
2024-02-05,10
2024-02-06,9
2024-02-07,7
2024-02-08,9
2024-02-09,8
2024-02-10,11
2024-02-11,13
2024-02-12,8
2024-02-13,11
2024-02-14,9
2024-02-15,8
2024-02-16,9
2024-02-17,9
2024-02-18,13
2024-02-19,10
2024-02-20,10
2024-02-21,9
2024-02-22,12
2024-02-23,12
2024-02-24,14
2024-02-25,14
2024-02-26,11
2024-02-27,16
2024-02-28,11
2024-02-29,10
2024-03-01,13
2024-03-02,21
2024-03-03,28
2024-03-04,19
2024-03-05,21
2024-03-06,17
2024-03-07,14
2024-03-08,19
2024-03-09,41
2024-03-10,46
2024-03-11,61
2024-03-12,36
2024-03-13,52
2024-03-14,51
2024-03-15,45
2024-03-16,39
2024-03-17,38
2024-03-18,20
2024-03-19,16
2024-03-20,16
2024-03-21,22
2024-03-22,22
2024-03-23,21
2024-03-24,22
2024-03-25,19
2024-03-26,13
2024-03-27,14
2024-03-28,16
2024-03-29,21
2024-03-30,17
2024-03-31,15
2024-04-01,14
2024-04-02,15
2024-04-03,10
2024-04-04,12
2024-04-05,16
2024-04-06,12
2024-04-07,14
2024-04-08,11
2024-04-09,10
2024-04-10,11
2024-04-11,13
2024-04-12,11
2024-04-13,11
2024-04-14,12
2024-04-15,10
2024-04-16,17
2024-04-17,12
2024-04-18,9
2024-04-19,12
2024-04-20,11
2024-04-21,10
2024-04-22,12
2024-04-23,9
2024-04-24,8
2024-04-25,11
2024-04-26,9
2024-04-27,12
2024-04-28,13
2024-04-29,10
2024-04-30,8
2024-05-01,9
2024-05-02,12
2024-05-03,13
2024-05-04,13
2024-05-05,14
2024-05-06,11
2024-05-07,9
2024-05-08,10
2024-05-09,11
2024-05-10,11
2024-05-11,14
2024-05-12,14
2024-05-13,10
2024-05-14,12
2024-05-15,14
2024-05-16,10
2024-05-17,12
2024-05-18,14
2024-05-19,16
2024-05-20,13
2024-05-21,11
2024-05-22,10
2024-05-23,12
2024-05-24,15
2024-05-25,14
2024-05-26,14
2024-05-27,13
2024-05-28,10
2024-05-29,17
2024-05-30,11
2024-05-31,15
2024-06-01,13
2024-06-02,14
2024-06-03,8
2024-06-04,9
2024-06-05,8
2024-06-06,10
2024-06-07,9
2024-06-08,12
2024-06-09,14
2024-06-10,13
2024-06-11,9
2024-06-12,10
2024-06-13,10
2024-06-14,9
2024-06-15,10
2024-06-16,8
2024-06-17,12
2024-06-18,7
2024-06-19,11
2024-06-20,9
2024-06-21,13
2024-06-22,12
2024-06-23,10
2024-06-24,10
2024-06-25,7
2024-06-26,9
2024-06-27,8
2024-06-28,6
2024-06-29,11
2024-06-30,10
2024-07-01,10
2024-07-02,11
2024-07-03,7
2024-07-04,9
2024-07-05,9
2024-07-06,8
2024-07-07,10
2024-07-08,8
2024-07-09,7
2024-07-10,4
2024-07-11,10
2024-07-12,7
2024-07-13,9
2024-07-14,8
2024-07-15,7
2024-07-16,8
2024-07-17,7
2024-07-18,13
2024-07-19,7
2024-07-20,7
2024-07-21,11
2024-07-22,7
2024-07-23,6
2024-07-24,8
2024-07-25,7
2024-07-26,7
2024-07-27,7
2024-07-28,9
2024-07-29,8
2024-07-30,6
2024-07-31,7
2024-08-01,5
2024-08-02,5
2024-08-03,9
2024-08-04,7
2024-08-05,6
2024-08-06,7
2024-08-07,6
2024-08-08,6
2024-08-09,9
2024-08-10,11
2024-08-11,10
2024-08-12,20
2024-08-13,18
2024-08-14,12
2024-08-15,12
2024-08-16,17
2024-08-17,22
2024-08-18,22
2024-08-19,9
2024-08-20,7
2024-08-21,8
2024-08-22,8
2024-08-23,14
2024-08-24,13
2024-08-25,11
2024-08-26,9
2024-08-27,11
2024-08-28,8
2024-08-29,5
2024-08-30,6
2024-08-31,7
2024-09-01,10
2024-09-02,9
2024-09-03,7
2024-09-04,9
2024-09-05,5
2024-09-06,7
2024-09-07,7
2024-09-08,19
2024-09-09,13
2024-09-10,11
2024-09-11,9
2024-09-12,6
2024-09-13,6
2024-09-14,10
2024-09-15,10
2024-09-16,14
