Time,go
2025-12-11,79
2025-12-12,77
2025-12-13,79
2025-12-14,78
2025-12-15,76
2025-12-16,75
2025-12-17,76
2025-12-18,77
2025-12-19,76
2025-12-20,78
2025-12-21,80
2025-12-22,75
2025-12-23,72
2025-12-24,74
2025-12-25,74
2025-12-26,76
2025-12-27,81
2025-12-28,79
2025-12-29,86
2025-12-30,87
2025-12-31,81
2026-01-01,82
2026-01-02,84
2026-01-03,88
2026-01-04,86
2026-01-05,80
2026-01-06,83
2026-01-07,84
2026-01-08,80
2026-01-09,84
2026-01-10,90
2026-01-11,86
2026-01-12,81
2026-01-13,80
2026-01-14,81
2026-01-15,78
2026-01-16,79
2026-01-17,82
2026-01-18,83
2026-01-19,83
2026-01-20,88
2026-01-21,83
2026-01-22,77
2026-01-23,79
2026-01-24,83
2026-01-25,83
2026-01-26,80
2026-01-27,80
2026-01-28,81
2026-01-29,82
2026-01-30,81
2026-01-31,82
2026-02-01,85
2026-02-02,82
2026-02-03,79
2026-02-04,81
2026-02-05,84
2026-02-06,76
2026-02-07,83
2026-02-08,81
2026-02-09,74
2026-02-10,78
2026-02-11,81
2026-02-12,79
2026-02-13,84
2026-02-14,85
2026-02-15,81
2026-02-16,83
2026-02-17,81
2026-02-18,80
2026-02-19,88
2026-02-20,83
2026-02-21,85
2026-02-22,83
2026-02-23,87
2026-02-24,86
2026-02-25,86
2026-02-26,83
2026-02-27,86
2026-02-28,91
2026-03-01,87
2026-03-02,88
2026-03-03,91
2026-03-04,83
2026-03-05,83
2026-03-06,84
2026-03-07,93
2026-03-08,100
2026-03-09,91
2026-03-10,87
2026-03-11,83
2026-03-12,85
2026-03-13,84
2026-03-14,95
2026-03-15,89
2026-03-16,87
2026-03-17,86
2026-03-18,82
2026-03-19,84
2026-03-20,90
2026-03-21,87
2026-03-22,92
2026-03-23,86
2026-03-24,88
2026-03-25,86
2026-03-26,82
2026-03-27,85
2026-03-28,87
2026-03-29,91
2026-03-30,85
2026-03-31,87
2026-04-01,92
2026-04-02,90
2026-04-03,86
2026-04-04,91
2026-04-05,90
2026-04-06,90
2026-04-07,88
2026-04-08,88
2026-04-09,86
2026-04-10,88
2026-04-11,97
2026-04-12,99
2026-04-13,89
2026-04-14,88
2026-04-15,89
2026-04-16,86
2026-04-17,90
2026-04-18,94
2026-04-19,91
2026-04-20,89
2026-04-21,85
2026-04-22,87
2026-04-23,86
2026-04-24,86
2026-04-25,87
2026-04-26,93
2026-04-27,87
2026-04-28,87
2026-04-29,85
2026-04-30,89
2026-05-01,89
2026-05-02,90
2026-05-03,89
2026-05-04,87
2026-05-05,88
2026-05-06,87
2026-05-07,91
2026-05-08,87
2026-05-09,90
2026-05-10,85
2026-05-11,88
2026-05-12,87
2026-05-13,94
2026-05-14,93
2026-05-15,94
2026-05-16,96
2026-05-17,93
2026-05-18,88
2026-05-19,92
2026-05-20,91
2026-05-21,88
2026-05-22,90
2026-05-23,97
2026-05-24,98
2026-05-25,95
2026-05-26,88
2026-05-27,88
2026-05-28,89
2026-05-29,91
2026-05-30,96
2026-05-31,95
