Time,go
2022-01-01,86
2022-01-02,90
2022-01-03,85
2022-01-04,89
2022-01-05,88
2022-01-06,72
2022-01-07,85
2022-01-08,87
2022-01-09,89
2022-01-10,81
2022-01-11,81
2022-01-12,82
2022-01-13,91
2022-01-14,68
2022-01-15,85
2022-01-16,80
2022-01-17,76
2022-01-18,74
2022-01-19,79
2022-01-20,74
2022-01-21,77
2022-01-22,85
2022-01-23,89
2022-01-24,96
2022-01-25,67
2022-01-26,73
2022-01-27,76
2022-01-28,80
2022-01-29,88
2022-01-30,90
2022-01-31,78
2022-02-01,82
2022-02-02,81
2022-02-03,83
2022-02-04,81
2022-02-05,89
2022-02-06,92
2022-02-07,86
2022-02-08,84
2022-02-09,81
2022-02-10,71
2022-02-11,81
2022-02-12,88
2022-02-13,86
2022-02-14,83
2022-02-15,81
2022-02-16,82
2022-02-17,79
2022-02-18,82
2022-02-19,91
2022-02-20,90
2022-02-21,84
2022-02-22,91
2022-02-23,82
2022-02-24,83
2022-02-25,87
2022-02-26,98
2022-02-27,96
2022-02-28,90
2022-03-01,83
2022-03-02,88
2022-03-03,83
2022-03-04,83
2022-03-05,88
2022-03-06,86
2022-03-07,82
2022-03-08,86
2022-03-09,85
2022-03-10,83
2022-03-11,85
2022-03-12,89
2022-03-13,96
2022-03-14,83
2022-03-15,85
2022-03-16,85
2022-03-17,87
2022-03-18,86
2022-03-19,86
2022-03-20,91
2022-03-21,83
2022-03-22,80
2022-03-23,83
2022-03-24,85
2022-03-25,84
2022-03-26,84
2022-03-27,87
2022-03-28,81
2022-03-29,80
2022-03-30,80
2022-03-31,83
2022-04-01,85
2022-04-02,85
2022-04-03,88
2022-04-04,82
2022-04-05,82
2022-04-06,82
2022-04-07,84
2022-04-08,85
2022-04-09,85
2022-04-10,86
2022-04-11,85
2022-04-12,85
2022-04-13,82
2022-04-14,83
2022-04-15,82
2022-04-16,86
2022-04-17,86
2022-04-18,81
2022-04-19,82
2022-04-20,83
2022-04-21,81
2022-04-22,82
2022-04-23,88
2022-04-24,95
2022-04-25,87
2022-04-26,84
2022-04-27,80
2022-04-28,88
2022-04-29,86
2022-04-30,86
2022-05-01,88
2022-05-02,87
2022-05-03,85
2022-05-04,82
2022-05-05,81
2022-05-06,84
2022-05-07,86
2022-05-08,84
2022-05-09,84
2022-05-10,84
2022-05-11,85
2022-05-12,87
2022-05-13,85
2022-05-14,87
2022-05-15,86
2022-05-16,84
2022-05-17,80
2022-05-18,85
2022-05-19,87
2022-05-20,83
2022-05-21,88
2022-05-22,82
2022-05-23,84
2022-05-24,86
2022-05-25,80
2022-05-26,93
2022-05-27,83
2022-05-28,86
2022-05-29,91
2022-05-30,91
2022-05-31,84
2022-06-01,85
2022-06-02,87
2022-06-03,85
2022-06-04,96
2022-06-05,100
2022-06-06,84
2022-06-07,87
2022-06-08,88
2022-06-09,83
2022-06-10,84
2022-06-11,88
2022-06-12,89
2022-06-13,84
2022-06-14,84
2022-06-15,86
2022-06-16,85
2022-06-17,88
2022-06-18,96
2022-06-19,90
2022-06-20,85
2022-06-21,88
2022-06-22,87
2022-06-23,85
2022-06-24,84
2022-06-25,95
2022-06-26,89
2022-06-27,85
2022-06-28,84
2022-06-29,82
2022-06-30,88
2022-07-01,90
2022-07-02,94
2022-07-03,89
2022-07-04,93
2022-07-05,81
2022-07-06,86
2022-07-07,87
2022-07-08,85
2022-07-09,95
2022-07-10,92
2022-07-11,88
2022-07-12,86
2022-07-13,83
2022-07-14,84
2022-07-15,84
2022-07-16,91
2022-07-17,94
2022-07-18,84
2022-07-19,85
2022-07-20,87
2022-07-21,89
2022-07-22,85
2022-07-23,91
2022-07-24,92
2022-07-25,86
2022-07-26,91
2022-07-27,83
2022-07-28,87
2022-07-29,88
2022-07-30,87
2022-07-31,94
2022-08-01,85
2022-08-02,84
2022-08-03,88
2022-08-04,82
2022-08-05,80
2022-08-06,84
2022-08-07,90
2022-08-08,82
2022-08-09,81
2022-08-10,84
2022-08-11,86
2022-08-12,85
2022-08-13,88
2022-08-14,90
2022-08-15,84
2022-08-16,81
2022-08-17,82
2022-08-18,84
2022-08-19,84
2022-08-20,89
2022-08-21,88
2022-08-22,82
2022-08-23,85
2022-08-24,80
2022-08-25,84
2022-08-26,83
2022-08-27,97
2022-08-28,93
2022-08-29,82
2022-08-30,83
2022-08-31,80
2022-09-01,79
2022-09-02,80
2022-09-03,86
2022-09-04,85
2022-09-05,90
2022-09-06,80
2022-09-07,82
2022-09-08,79
2022-09-09,77
2022-09-10,83
2022-09-11,77
2022-09-12,76
2022-09-13,81
2022-09-14,87
2022-09-15,80
2022-09-16,83
2022-09-17,83
2022-09-18,85
2022-09-19,86
2022-09-20,83
2022-09-21,82
2022-09-22,79
2022-09-23,79
2022-09-24,85
2022-09-25,81
2022-09-26,78
2022-09-27,81
