Time,ncaa scores
2022-08-29,1
2022-08-30,0
2022-08-31,0
2022-09-01,1
2022-09-02,9
2022-09-03,29
2022-09-04,31
2022-09-05,8
2022-09-06,4
2022-09-07,1
2022-09-08,1
2022-09-09,1
2022-09-10,36
2022-09-11,27
2022-09-12,2
2022-09-13,1
2022-09-14,1
2022-09-15,1
2022-09-16,2
2022-09-17,41
2022-09-18,34
2022-09-19,2
2022-09-20,1
2022-09-21,1
2022-09-22,1
2022-09-23,2
2022-09-24,34
2022-09-25,25
2022-09-26,2
2022-09-27,1
2022-09-28,1
2022-09-29,1
2022-09-30,2
2022-10-01,32
2022-10-02,29
2022-10-03,2
2022-10-04,1
2022-10-05,1
2022-10-06,1
2022-10-07,1
2022-10-08,37
2022-10-09,30
2022-10-10,2
2022-10-11,1
2022-10-12,1
2022-10-13,1
2022-10-14,2
2022-10-15,41
2022-10-16,28
2022-10-17,2
2022-10-18,1
2022-10-19,1
2022-10-20,1
2022-10-21,2
2022-10-22,36
2022-10-23,27
2022-10-24,2
2022-10-25,1
2022-10-26,1
2022-10-27,1
2022-10-28,2
2022-10-29,35
2022-10-30,28
2022-10-31,2
2022-11-01,1
2022-11-02,1
2022-11-03,1
2022-11-04,2
2022-11-05,38
2022-11-06,39
2022-11-07,3
2022-11-08,3
2022-11-09,2
2022-11-10,2
2022-11-11,3
2022-11-12,33
2022-11-13,33
2022-11-14,3
2022-11-15,2
2022-11-16,3
2022-11-17,3
2022-11-18,3
2022-11-19,33
2022-11-20,34
2022-11-21,4
2022-11-22,2
2022-11-23,4
2022-11-24,5
2022-11-25,12
2022-11-26,46
2022-11-27,34
2022-11-28,4
2022-11-29,2
2022-11-30,3
2022-12-01,3
2022-12-02,4
2022-12-03,37
2022-12-04,33
2022-12-05,3
2022-12-06,2
2022-12-07,2
2022-12-08,2
2022-12-09,2
2022-12-10,8
2022-12-11,6
2022-12-12,2
2022-12-13,2
2022-12-14,2
2022-12-15,2
2022-12-16,3
2022-12-17,10
2022-12-18,8
2022-12-19,2
2022-12-20,3
2022-12-21,4
2022-12-22,4
2022-12-23,5
2022-12-24,5
2022-12-25,4
2022-12-26,4
2022-12-27,4
2022-12-28,7
2022-12-29,11
2022-12-30,14
2022-12-31,36
2023-01-01,41
2023-01-02,11
2023-01-03,6
2023-01-04,3
2023-01-05,3
2023-01-06,3
2023-01-07,5
2023-01-08,5
2023-01-09,3
2023-01-10,15
2023-01-11,3
2023-01-12,2
2023-01-13,2
2023-01-14,4
2023-01-15,4
2023-01-16,2
2023-01-17,1
2023-01-18,2
2023-01-19,2
2023-01-20,2
2023-01-21,4
2023-01-22,4
2023-01-23,1
2023-01-24,2
2023-01-25,2
2023-01-26,2
2023-01-27,2
2023-01-28,5
2023-01-29,5
2023-01-30,1
2023-01-31,2
2023-02-01,2
2023-02-02,2
2023-02-03,2
2023-02-04,5
2023-02-05,5
2023-02-06,1
2023-02-07,2
2023-02-08,2
2023-02-09,2
2023-02-10,2
2023-02-11,6
2023-02-12,5
2023-02-13,1
2023-02-14,2
2023-02-15,2
2023-02-16,3
2023-02-17,3
2023-02-18,6
2023-02-19,6
2023-02-20,2
2023-02-21,2
2023-02-22,3
2023-02-23,3
2023-02-24,2
2023-02-25,6
2023-02-26,6
2023-02-27,2
2023-02-28,2
2023-03-01,3
2023-03-02,3
2023-03-03,3
2023-03-04,6
2023-03-05,7
2023-03-06,2
2023-03-07,3
2023-03-08,3
2023-03-09,7
2023-03-10,8
2023-03-11,12
2023-03-12,13
2023-03-13,3
2023-03-14,3
2023-03-15,9
2023-03-16,42
2023-03-17,81
2023-03-18,97
2023-03-19,100
2023-03-20,48
2023-03-21,9
2023-03-22,4
2023-03-23,10
2023-03-24,48
2023-03-25,68
2023-03-26,73
2023-03-27,15
2023-03-28,6
2023-03-29,3
2023-03-30,2
2023-03-31,3
2023-04-01,17
2023-04-02,35
2023-04-03,5
2023-04-04,15
2023-04-05,1
2023-04-06,1
2023-04-07,2
2023-04-08,1
2023-04-09,2
2023-04-10,0
2023-04-11,0
2023-04-12,0
2023-04-13,0
2023-04-14,0
2023-04-15,1
2023-04-16,1
2023-04-17,0
2023-04-18,0
2023-04-19,0
2023-04-20,0
2023-04-21,0
2023-04-22,1
2023-04-23,1
2023-04-24,0
2023-04-25,0
2023-04-26,0
2023-04-27,0
2023-04-28,0
2023-04-29,1
2023-04-30,1
2023-05-01,0
2023-05-02,0
2023-05-03,0
2023-05-04,0
2023-05-05,0
2023-05-06,1
2023-05-07,1
2023-05-08,0
2023-05-09,0
2023-05-10,0
2023-05-11,0
2023-05-12,1
2023-05-13,1
2023-05-14,2
2023-05-15,1
2023-05-16,0
2023-05-17,0
2023-05-18,0
2023-05-19,1
2023-05-20,3
2023-05-21,5
2023-05-22,1
2023-05-23,0
2023-05-24,1
2023-05-25,1
