Time,olivia dunne
2022-08-29,2
2022-08-30,2
2022-08-31,3
2022-09-01,2
2022-09-02,1
2022-09-03,1
2022-09-04,2
2022-09-05,4
2022-09-06,4
2022-09-07,2
2022-09-08,1
2022-09-09,1
2022-09-10,1
2022-09-11,1
2022-09-12,1
2022-09-13,2
2022-09-14,3
2022-09-15,2
2022-09-16,2
2022-09-17,1
2022-09-18,1
2022-09-19,1
2022-09-20,1
2022-09-21,2
2022-09-22,3
2022-09-23,6
2022-09-24,5
2022-09-25,3
2022-09-26,1
2022-09-27,1
2022-09-28,1
2022-09-29,2
2022-09-30,4
2022-10-01,14
2022-10-02,20
2022-10-03,9
2022-10-04,8
2022-10-05,5
2022-10-06,3
2022-10-07,7
2022-10-08,11
2022-10-09,9
2022-10-10,6
2022-10-11,8
2022-10-12,13
2022-10-13,7
2022-10-14,3
2022-10-15,4
2022-10-16,8
2022-10-17,8
2022-10-18,5
2022-10-19,2
2022-10-20,1
2022-10-21,1
2022-10-22,2
2022-10-23,4
2022-10-24,9
2022-10-25,6
2022-10-26,2
2022-10-27,1
2022-10-28,1
2022-10-29,1
2022-10-30,1
2022-10-31,3
2022-11-01,2
2022-11-02,1
2022-11-03,1
2022-11-04,2
2022-11-05,3
2022-11-06,2
2022-11-07,2
2022-11-08,9
2022-11-09,17
2022-11-10,51
2022-11-11,28
2022-11-12,34
2022-11-13,16
2022-11-14,6
2022-11-15,12
2022-11-16,6
2022-11-17,3
2022-11-18,21
2022-11-19,9
2022-11-20,7
2022-11-21,17
2022-11-22,6
2022-11-23,4
2022-11-24,3
2022-11-25,3
2022-11-26,4
2022-11-27,4
2022-11-28,2
2022-11-29,4
2022-11-30,3
2022-12-01,2
2022-12-02,3
2022-12-03,4
2022-12-04,3
2022-12-05,3
2022-12-06,2
2022-12-07,3
2022-12-08,3
2022-12-09,5
2022-12-10,6
2022-12-11,7
2022-12-12,3
2022-12-13,2
2022-12-14,3
2022-12-15,3
2022-12-16,3
2022-12-17,3
2022-12-18,6
2022-12-19,5
2022-12-20,4
2022-12-21,3
2022-12-22,3
2022-12-23,3
2022-12-24,2
2022-12-25,3
2022-12-26,5
2022-12-27,7
2022-12-28,4
2022-12-29,3
2022-12-30,2
2022-12-31,3
2023-01-01,3
2023-01-02,3
2023-01-03,3
2023-01-04,2
2023-01-05,2
2023-01-06,2
2023-01-07,5
2023-01-08,6
2023-01-09,27
2023-01-10,63
2023-01-11,42
2023-01-12,27
2023-01-13,100
2023-01-14,90
2023-01-15,38
2023-01-16,21
2023-01-17,21
2023-01-18,36
2023-01-19,31
2023-01-20,42
2023-01-21,51
2023-01-22,28
2023-01-23,11
2023-01-24,11
2023-01-25,11
2023-01-26,9
2023-01-27,8
2023-01-28,11
2023-01-29,9
2023-01-30,10
2023-01-31,9
2023-02-01,9
2023-02-02,10
2023-02-03,9
2023-02-04,33
2023-02-05,25
2023-02-06,13
2023-02-07,7
2023-02-08,5
2023-02-09,5
2023-02-10,5
2023-02-11,7
2023-02-12,6
2023-02-13,5
2023-02-14,4
2023-02-15,6
2023-02-16,6
2023-02-17,7
2023-02-18,9
2023-02-19,24
2023-02-20,20
2023-02-21,9
2023-02-22,6
2023-02-23,4
2023-02-24,4
2023-02-25,6
2023-02-26,14
2023-02-27,7
2023-02-28,15
2023-03-01,13
2023-03-02,7
2023-03-03,11
2023-03-04,16
2023-03-05,7
2023-03-06,8
2023-03-07,7
2023-03-08,6
2023-03-09,8
2023-03-10,5
2023-03-11,5
2023-03-12,4
2023-03-13,3
2023-03-14,5
2023-03-15,5
2023-03-16,5
2023-03-17,4
2023-03-18,4
2023-03-19,5
2023-03-20,3
2023-03-21,5
2023-03-22,6
2023-03-23,5
2023-03-24,4
2023-03-25,4
2023-03-26,4
2023-03-27,11
2023-03-28,9
2023-03-29,7
2023-03-30,6
2023-03-31,4
2023-04-01,5
2023-04-02,5
2023-04-03,8
2023-04-04,5
2023-04-05,4
2023-04-06,4
2023-04-07,4
2023-04-08,4
2023-04-09,4
2023-04-10,4
2023-04-11,5
2023-04-12,4
2023-04-13,5
2023-04-14,5
2023-04-15,7
2023-04-16,8
2023-04-17,4
2023-04-18,3
2023-04-19,3
2023-04-20,4
2023-04-21,5
2023-04-22,4
2023-04-23,3
2023-04-24,5
2023-04-25,4
2023-04-26,6
2023-04-27,17
2023-04-28,29
2023-04-29,37
2023-04-30,29
2023-05-01,8
2023-05-02,12
2023-05-03,42
2023-05-04,7
2023-05-05,8
2023-05-06,6
2023-05-07,6
2023-05-08,5
2023-05-09,6
2023-05-10,5
2023-05-11,5
2023-05-12,5
2023-05-13,4
2023-05-14,3
2023-05-15,6
2023-05-16,8
2023-05-17,7
2023-05-18,10
2023-05-19,9
2023-05-20,7
2023-05-21,6
2023-05-22,4
2023-05-23,3
2023-05-24,5
2023-05-25,6
