Time,ufc
2023-04-26,4
2023-04-27,4
2023-04-28,5
2023-04-29,14
2023-04-30,12
2023-05-01,4
2023-05-02,4
2023-05-03,5
2023-05-04,5
2023-05-05,7
2023-05-06,23
2023-05-07,58
2023-05-08,7
2023-05-09,5
2023-05-10,5
2023-05-11,5
2023-05-12,5
2023-05-13,23
2023-05-14,10
2023-05-15,4
2023-05-16,4
2023-05-17,8
2023-05-18,6
2023-05-19,6
2023-05-20,16
2023-05-21,15
2023-05-22,5
2023-05-23,4
2023-05-24,4
2023-05-25,4
2023-05-26,5
2023-05-27,10
2023-05-28,7
2023-05-29,5
2023-05-30,4
2023-05-31,4
2023-06-01,5
2023-06-02,6
2023-06-03,14
2023-06-04,20
2023-06-05,5
2023-06-06,4
2023-06-07,4
2023-06-08,5
2023-06-09,7
2023-06-10,22
2023-06-11,54
2023-06-12,8
2023-06-13,4
2023-06-14,4
2023-06-15,4
2023-06-16,5
2023-06-17,13
2023-06-18,22
2023-06-19,5
2023-06-20,5
2023-06-21,4
2023-06-22,4
2023-06-23,6
2023-06-24,21
2023-06-25,10
2023-06-26,5
2023-06-27,5
2023-06-28,4
2023-06-29,5
2023-06-30,6
2023-07-01,18
2023-07-02,18
2023-07-03,5
2023-07-04,6
2023-07-05,6
2023-07-06,7
2023-07-07,11
2023-07-08,33
2023-07-09,76
2023-07-10,9
2023-07-11,6
2023-07-12,6
2023-07-13,5
2023-07-14,6
2023-07-15,14
2023-07-16,23
2023-07-17,6
2023-07-18,6
2023-07-19,5
2023-07-20,8
2023-07-21,7
2023-07-22,22
2023-07-23,12
2023-07-24,7
2023-07-25,7
2023-07-26,7
2023-07-27,8
2023-07-28,12
2023-07-29,39
2023-07-30,84
2023-07-31,9
2023-08-01,5
2023-08-02,5
2023-08-03,5
2023-08-04,6
2023-08-05,16
2023-08-06,27
2023-08-07,5
2023-08-08,5
2023-08-09,5
2023-08-10,5
2023-08-11,6
2023-08-12,16
2023-08-13,16
2023-08-14,6
2023-08-15,5
2023-08-16,7
2023-08-17,7
2023-08-18,10
2023-08-19,30
2023-08-20,81
2023-08-21,9
2023-08-22,6
2023-08-23,5
2023-08-24,5
2023-08-25,7
2023-08-26,22
2023-08-27,10
2023-08-28,5
2023-08-29,5
2023-08-30,5
2023-08-31,5
2023-09-01,6
2023-09-02,23
2023-09-03,11
2023-09-04,7
2023-09-05,6
2023-09-06,7
2023-09-07,8
2023-09-08,9
2023-09-09,28
2023-09-10,68
2023-09-11,7
2023-09-12,7
2023-09-13,6
2023-09-14,7
2023-09-15,7
2023-09-16,19
2023-09-17,36
2023-09-18,5
2023-09-19,5
2023-09-20,4
2023-09-21,7
2023-09-22,6
2023-09-23,19
2023-09-24,16
2023-09-25,5
2023-09-26,4
2023-09-27,4
2023-09-28,4
2023-09-29,5
2023-09-30,12
2023-10-01,10
2023-10-02,4
2023-10-03,4
2023-10-04,4
2023-10-05,4
2023-10-06,5
2023-10-07,15
2023-10-08,13
2023-10-09,4
2023-10-10,4
2023-10-11,12
2023-10-12,9
2023-10-13,7
2023-10-14,19
2023-10-15,14
2023-10-16,6
2023-10-17,6
2023-10-18,7
2023-10-19,9
2023-10-20,15
2023-10-21,83
2023-10-22,19
2023-10-23,8
2023-10-24,7
2023-10-25,9
2023-10-26,6
2023-10-27,6
2023-10-28,10
2023-10-29,6
2023-10-30,4
2023-10-31,5
2023-11-01,4
2023-11-02,4
2023-11-03,5
2023-11-04,16
2023-11-05,20
2023-11-06,5
2023-11-07,6
2023-11-08,5
2023-11-09,6
2023-11-10,8
2023-11-11,24
2023-11-12,56
2023-11-13,7
2023-11-14,5
2023-11-15,4
2023-11-16,4
2023-11-17,5
2023-11-18,15
2023-11-19,12
2023-11-20,4
2023-11-21,4
2023-11-22,4
2023-11-23,5
2023-11-24,5
2023-11-25,8
2023-11-26,7
2023-11-27,4
2023-11-28,4
2023-11-29,4
2023-11-30,4
2023-12-01,5
2023-12-02,16
2023-12-03,21
2023-12-04,4
2023-12-05,4
2023-12-06,4
2023-12-07,4
2023-12-08,5
2023-12-09,12
2023-12-10,20
2023-12-11,5
2023-12-12,5
2023-12-13,5
2023-12-14,8
2023-12-15,11
2023-12-16,31
2023-12-17,100
2023-12-18,9
2023-12-19,6
2023-12-20,5
2023-12-21,5
2023-12-22,7
2023-12-23,7
2023-12-24,6
2023-12-25,5
2023-12-26,4
2023-12-27,4
2023-12-28,4
2023-12-29,5
2023-12-30,6
2023-12-31,6
2024-01-01,5
2024-01-02,4
2024-01-03,4
2024-01-04,4
2024-01-05,4
2024-01-06,7
2024-01-07,6
2024-01-08,5
2024-01-09,4
2024-01-10,4
2024-01-11,5
2024-01-12,6
2024-01-13,16
2024-01-14,18
2024-01-15,5
2024-01-16,4
2024-01-17,7
2024-01-18,7
2024-01-19,9
2024-01-20,24
