Time,ufc
2022-08-29,4
2022-08-30,4
2022-08-31,4
2022-09-01,4
2022-09-02,6
2022-09-03,24
2022-09-04,11
2022-09-05,5
2022-09-06,5
2022-09-07,6
2022-09-08,6
2022-09-09,21
2022-09-10,34
2022-09-11,64
2022-09-12,7
2022-09-13,5
2022-09-14,4
2022-09-15,4
2022-09-16,4
2022-09-17,13
2022-09-18,13
2022-09-19,3
2022-09-20,3
2022-09-21,4
2022-09-22,4
2022-09-23,4
2022-09-24,9
2022-09-25,7
2022-09-26,3
2022-09-27,3
2022-09-28,4
2022-09-29,4
2022-09-30,4
2022-10-01,11
2022-10-02,9
2022-10-03,3
2022-10-04,3
2022-10-05,4
2022-10-06,4
2022-10-07,4
2022-10-08,9
2022-10-09,6
2022-10-10,3
2022-10-11,3
2022-10-12,3
2022-10-13,4
2022-10-14,4
2022-10-15,11
2022-10-16,10
2022-10-17,4
2022-10-18,5
2022-10-19,5
2022-10-20,8
2022-10-21,12
2022-10-22,72
2022-10-23,17
2022-10-24,5
2022-10-25,4
2022-10-26,4
2022-10-27,3
2022-10-28,4
2022-10-29,10
2022-10-30,9
2022-10-31,3
2022-11-01,3
2022-11-02,3
2022-11-03,3
2022-11-04,4
2022-11-05,10
2022-11-06,8
2022-11-07,4
2022-11-08,4
2022-11-09,4
2022-11-10,6
2022-11-11,8
2022-11-12,23
2022-11-13,73
2022-11-14,7
2022-11-15,5
2022-11-16,3
2022-11-17,4
2022-11-18,4
2022-11-19,12
2022-11-20,7
2022-11-21,3
2022-11-22,3
2022-11-23,4
2022-11-24,4
2022-11-25,4
2022-11-26,6
2022-11-27,5
2022-11-28,3
2022-11-29,3
2022-11-30,3
2022-12-01,3
2022-12-02,4
2022-12-03,11
2022-12-04,28
2022-12-05,4
2022-12-06,3
2022-12-07,4
2022-12-08,4
2022-12-09,7
2022-12-10,19
2022-12-11,60
2022-12-12,6
2022-12-13,4
2022-12-14,3
2022-12-15,3
2022-12-16,4
2022-12-17,10
2022-12-18,13
2022-12-19,3
2022-12-20,3
2022-12-21,3
2022-12-22,3
2022-12-23,3
2022-12-24,4
2022-12-25,4
2022-12-26,3
2022-12-27,3
2022-12-28,3
2022-12-29,3
2022-12-30,3
2022-12-31,4
2023-01-01,4
2023-01-02,3
2023-01-03,3
2023-01-04,3
2023-01-05,3
2023-01-06,4
2023-01-07,5
2023-01-08,5
2023-01-09,3
2023-01-10,3
2023-01-11,3
2023-01-12,3
2023-01-13,4
2023-01-14,10
2023-01-15,15
2023-01-16,5
2023-01-17,4
2023-01-18,4
2023-01-19,5
2023-01-20,7
2023-01-21,16
2023-01-22,44
2023-01-23,5
2023-01-24,4
2023-01-25,3
2023-01-26,3
2023-01-27,4
2023-01-28,9
2023-01-29,6
2023-01-30,3
2023-01-31,4
2023-02-01,3
2023-02-02,4
2023-02-03,5
2023-02-04,12
2023-02-05,24
2023-02-06,5
2023-02-07,4
2023-02-08,4
2023-02-09,5
2023-02-10,8
2023-02-11,24
2023-02-12,66
2023-02-13,5
2023-02-14,4
2023-02-15,4
2023-02-16,4
2023-02-17,4
2023-02-18,11
2023-02-19,12
2023-02-20,4
2023-02-21,4
2023-02-22,4
2023-02-23,4
2023-02-24,5
2023-02-25,12
2023-02-26,13
2023-02-27,5
2023-02-28,5
2023-03-01,5
2023-03-02,7
2023-03-03,10
2023-03-04,33
2023-03-05,100
2023-03-06,11
2023-03-07,8
2023-03-08,6
2023-03-09,5
2023-03-10,6
2023-03-11,16
2023-03-12,16
2023-03-13,5
2023-03-14,5
2023-03-15,5
2023-03-16,6
2023-03-17,9
2023-03-18,48
2023-03-19,27
2023-03-20,6
2023-03-21,5
2023-03-22,4
2023-03-23,5
2023-03-24,6
2023-03-25,20
2023-03-26,20
2023-03-27,5
2023-03-28,5
2023-03-29,5
2023-03-30,4
2023-03-31,5
2023-04-01,10
2023-04-02,9
2023-04-03,7
2023-04-04,6
2023-04-05,5
2023-04-06,6
2023-04-07,10
2023-04-08,32
2023-04-09,93
2023-04-10,9
2023-04-11,6
2023-04-12,5
2023-04-13,5
2023-04-14,6
2023-04-15,16
2023-04-16,25
2023-04-17,5
2023-04-18,4
2023-04-19,3
2023-04-20,4
2023-04-21,6
2023-04-22,17
2023-04-23,17
2023-04-24,4
2023-04-25,3
2023-04-26,3
2023-04-27,3
2023-04-28,4
2023-04-29,12
2023-04-30,10
2023-05-01,4
2023-05-02,4
2023-05-03,4
2023-05-04,4
2023-05-05,6
2023-05-06,19
2023-05-07,50
2023-05-08,6
2023-05-09,5
2023-05-10,4
2023-05-11,4
2023-05-12,4
2023-05-13,19
2023-05-14,9
2023-05-15,4
2023-05-16,4
2023-05-17,7
2023-05-18,5
2023-05-19,5
2023-05-20,14
2023-05-21,13
2023-05-22,4
2023-05-23,3
2023-05-24,3
2023-05-25,4
