date,end_period_ts,ticker,price_close,price_open,price_high,price_low,price_mean,yes_bid_close,yes_ask_close,yes_mid_close,volume,open_interest
2024-09-20,1726804800,FED-25SEP-T3.50,,,,,,0.36,0.56,0.46,0.0,0.0
2024-09-21,1726891200,FED-25SEP-T3.50,,,,,,0.32,0.52,0.42000000000000004,0.0,0.0
2024-09-26,1727323200,FED-25SEP-T3.50,,,,,,0.0,1.0,0.5,0.0,0.0
2024-10-02,1727841600,FED-25SEP-T3.50,,,,,,0.39,0.55,0.47000000000000003,0.0,0.0
2024-10-03,1727928000,FED-25SEP-T3.50,,,,,,0.0,1.0,0.5,0.0,0.0
2024-10-05,1728100800,FED-25SEP-T3.50,,,,,,0.31,0.41,0.36,0.0,0.0
2024-10-06,1728187200,FED-25SEP-T3.50,,,,,,0.37,0.47,0.42,0.0,0.0
2024-10-07,1728273600,FED-25SEP-T3.50,,,,,,0.36,0.47,0.415,0.0,0.0
2024-10-08,1728360000,FED-25SEP-T3.50,,,,,,0.41,0.51,0.45999999999999996,0.0,0.0
2024-10-11,1728619200,FED-25SEP-T3.50,,,,,,0.52,0.62,0.5700000000000001,0.0,0.0
2024-10-15,1728964800,FED-25SEP-T3.50,,,,,,0.53,0.63,0.5800000000000001,0.0,0.0
2024-10-16,1729051200,FED-25SEP-T3.50,,,,,,0.53,0.63,0.5800000000000001,0.0,0.0
2024-10-17,1729137600,FED-25SEP-T3.50,,,,,,0.53,0.64,0.585,0.0,0.0
2024-10-18,1729224000,FED-25SEP-T3.50,,,,,,0.53,0.63,0.5800000000000001,0.0,0.0
2024-10-22,1729569600,FED-25SEP-T3.50,,,,,,0.53,0.64,0.585,0.0,0.0
2024-10-23,1729656000,FED-25SEP-T3.50,,,,,,0.53,0.64,0.585,0.0,0.0
2024-10-24,1729742400,FED-25SEP-T3.50,,,,,,0.53,0.64,0.585,0.0,0.0
2024-10-25,1729828800,FED-25SEP-T3.50,,,,,,0.53,0.64,0.585,0.0,0.0
2024-11-07,1730955600,FED-25SEP-T3.50,,,,,,0.01,0.99,0.5,0.0,0.0
2024-11-08,1731042000,FED-25SEP-T3.50,,,,,,0.32,0.83,0.575,0.0,0.0
2024-11-09,1731128400,FED-25SEP-T3.50,,,,,,0.31,0.82,0.565,0.0,0.0
2024-11-10,1731214800,FED-25SEP-T3.50,,,,,,0.32,0.82,0.57,0.0,0.0
2024-11-11,1731301200,FED-25SEP-T3.50,,,,,,0.28,0.8,0.54,0.0,0.0
2024-11-12,1731387600,FED-25SEP-T3.50,,,,,,0.28,0.8,0.54,0.0,0.0
2024-11-13,1731474000,FED-25SEP-T3.50,,,,,,0.28,0.79,0.535,0.0,0.0
2024-11-14,1731560400,FED-25SEP-T3.50,,,,,,0.01,0.99,0.5,0.0,0.0
2024-11-15,1731646800,FED-25SEP-T3.50,,,,,,0.01,0.99,0.5,0.0,0.0
2024-11-16,1731733200,FED-25SEP-T3.50,,,,,,0.0,1.0,0.5,0.0,0.0
2024-11-17,1731819600,FED-25SEP-T3.50,,,,,,0.66,0.81,0.7350000000000001,0.0,0.0
2024-11-22,1732251600,FED-25SEP-T3.50,,,,,,0.23,0.99,0.61,0.0,0.0
2024-11-26,1732597200,FED-25SEP-T3.50,,,,,,0.66,0.72,0.69,0.0,0.0
2024-11-27,1732683600,FED-25SEP-T3.50,,,,,,0.01,0.99,0.5,0.0,0.0
2024-12-07,1733547600,FED-25SEP-T3.50,,,,,,0.61,0.72,0.665,0.0,0.0
2024-12-12,1733979600,FED-25SEP-T3.50,,,,,,0.69,0.77,0.73,0.0,0.0
2024-12-19,1734584400,FED-25SEP-T3.50,,,,,,0.78,0.88,0.8300000000000001,0.0,0.0
2024-12-22,1734843600,FED-25SEP-T3.50,,,,,,0.8,0.88,0.8400000000000001,0.0,0.0
2024-12-27,1735275600,FED-25SEP-T3.50,,,,,,0.8,0.87,0.835,0.0,0.0
2024-12-28,1735362000,FED-25SEP-T3.50,,,,,,0.8,0.85,0.825,0.0,0.0
2025-01-05,1736053200,FED-25SEP-T3.50,,,,,,0.8,0.84,0.8200000000000001,0.0,0.0
2025-01-06,1736139600,FED-25SEP-T3.50,,,,,,0.8,0.83,0.815,0.0,0.0
2025-01-07,1736226000,FED-25SEP-T3.50,,,,,,0.8,0.84,0.8200000000000001,0.0,0.0
2025-01-08,1736312400,FED-25SEP-T3.50,,,,,,0.8,0.85,0.825,0.0,0.0
2025-01-10,1736485200,FED-25SEP-T3.50,,,,,,0.8,0.85,0.825,0.0,0.0
2025-01-11,1736571600,FED-25SEP-T3.50,,,,,,0.8,0.89,0.845,0.0,0.0
2025-01-14,1736830800,FED-25SEP-T3.50,,,,,,0.8,1.0,0.9,0.0,0.0
2025-01-15,1736917200,FED-25SEP-T3.50,,,,,,0.8,0.89,0.845,0.0,0.0
2025-01-16,1737003600,FED-25SEP-T3.50,,,,,,0.8,1.0,0.9,0.0,0.0
2025-01-18,1737176400,FED-25SEP-T3.50,,,,,,0.8,1.0,0.9,0.0,0.0
2025-01-19,1737262800,FED-25SEP-T3.50,,,,,,0.8,0.86,0.8300000000000001,0.0,0.0
2025-01-25,1737781200,FED-25SEP-T3.50,,,,,,0.8,0.86,0.8300000000000001,0.0,0.0
2025-01-28,1738040400,FED-25SEP-T3.50,,,,,,0.8,0.86,0.8300000000000001,0.0,0.0
2025-01-30,1738213200,FED-25SEP-T3.50,0.86,0.86,0.86,0.86,0.86,0.8,0.87,0.835,500.0,500.0
2025-01-31,1738299600,FED-25SEP-T3.50,,,,,,0.8,0.86,0.8300000000000001,0.0,500.0
2025-02-01,1738386000,FED-25SEP-T3.50,,,,,,0.8,0.86,0.8300000000000001,0.0,500.0
2025-02-02,1738472400,FED-25SEP-T3.50,0.86,0.86,0.86,0.86,0.86,0.81,0.86,0.835,50.0,550.0
2025-02-03,1738558800,FED-25SEP-T3.50,,,,,,0.81,0.86,0.835,0.0,550.0
2025-02-04,1738645200,FED-25SEP-T3.50,,,,,,0.81,0.86,0.835,0.0,550.0
2025-02-05,1738731600,FED-25SEP-T3.50,,,,,,0.8,0.87,0.835,0.0,550.0
2025-02-06,1738818000,FED-25SEP-T3.50,,,,,,0.81,0.86,0.835,0.0,550.0
2025-02-07,1738904400,FED-25SEP-T3.50,,,,,,0.81,0.86,0.835,0.0,550.0
2025-02-08,1738990800,FED-25SEP-T3.50,,,,,,0.81,0.87,0.8400000000000001,0.0,550.0
2025-02-09,1739077200,FED-25SEP-T3.50,,,,,,0.81,0.87,0.8400000000000001,0.0,550.0
2025-02-10,1739163600,FED-25SEP-T3.50,,,,,,0.81,0.87,0.8400000000000001,0.0,550.0
2025-02-11,1739250000,FED-25SEP-T3.50,0.88,0.87,0.88,0.87,0.8792,0.81,0.88,0.845,644.0,1194.0
2025-02-12,1739336400,FED-25SEP-T3.50,,,,,,0.81,0.88,0.845,0.0,1194.0
2025-02-13,1739422800,FED-25SEP-T3.50,0.89,0.89,0.89,0.89,0.89,0.81,0.88,0.845,636.0,1830.0
2025-02-14,1739509200,FED-25SEP-T3.50,,,,,,0.82,0.88,0.85,0.0,1830.0
2025-02-15,1739595600,FED-25SEP-T3.50,0.89,0.88,0.89,0.88,0.8859,0.83,1.0,0.915,122.0,1952.0
2025-02-16,1739682000,FED-25SEP-T3.50,0.92,0.92,0.92,0.92,0.92,0.83,0.94,0.885,699.0,2651.0
2025-02-17,1739768400,FED-25SEP-T3.50,,,,,,0.83,0.92,0.875,0.0,2651.0
2025-02-18,1739854800,FED-25SEP-T3.50,,,,,,0.83,0.92,0.875,0.0,2651.0
2025-02-19,1739941200,FED-25SEP-T3.50,,,,,,0.83,0.92,0.875,0.0,2651.0
2025-02-20,1740027600,FED-25SEP-T3.50,,,,,,0.83,0.92,0.875,0.0,2651.0
2025-02-21,1740114000,FED-25SEP-T3.50,,,,,,0.84,0.93,0.885,0.0,2651.0
2025-02-22,1740200400,FED-25SEP-T3.50,,,,,,0.84,0.93,0.885,0.0,2651.0
2025-02-23,1740286800,FED-25SEP-T3.50,,,,,,0.86,0.93,0.895,0.0,2651.0
2025-02-24,1740373200,FED-25SEP-T3.50,0.86,0.86,0.86,0.86,0.86,0.86,0.92,0.89,20.0,2651.0
2025-02-25,1740459600,FED-25SEP-T3.50,,,,,,0.86,0.9,0.88,0.0,2651.0
2025-02-26,1740546000,FED-25SEP-T3.50,,,,,,0.86,0.9,0.88,0.0,2651.0
2025-02-27,1740632400,FED-25SEP-T3.50,,,,,,0.84,0.9,0.87,0.0,2651.0
2025-02-28,1740718800,FED-25SEP-T3.50,,,,,,0.85,0.92,0.885,0.0,2651.0
2025-03-01,1740805200,FED-25SEP-T3.50,,,,,,0.84,0.9,0.87,0.0,2651.0
2025-03-02,1740891600,FED-25SEP-T3.50,,,,,,0.83,0.92,0.875,0.0,2651.0
2025-03-03,1740978000,FED-25SEP-T3.50,,,,,,0.83,0.92,0.875,0.0,2651.0
2025-03-04,1741064400,FED-25SEP-T3.50,0.77,0.83,0.83,0.77,0.8018,0.69,0.77,0.73,570.0,3151.0
2025-03-05,1741150800,FED-25SEP-T3.50,,,,,,0.69,0.77,0.73,0.0,3151.0
2025-03-06,1741237200,FED-25SEP-T3.50,0.78,0.77,0.78,0.77,0.7796,0.71,0.8,0.755,1250.0,4401.0
2025-03-07,1741323600,FED-25SEP-T3.50,,,,,,0.72,0.79,0.755,0.0,4401.0
2025-03-08,1741410000,FED-25SEP-T3.50,0.73,0.73,0.73,0.73,0.73,0.73,0.81,0.77,20.0,4401.0
2025-03-09,1741496400,FED-25SEP-T3.50,0.81,0.81,0.81,0.81,0.81,0.74,0.82,0.78,50.0,4451.0
2025-03-10,1741582800,FED-25SEP-T3.50,0.73,0.73,0.73,0.73,0.73,0.72,0.79,0.755,20.0,4451.0
2025-03-11,1741665600,FED-25SEP-T3.50,,,,,,0.69,0.77,0.73,0.0,4451.0
2025-03-12,1741752000,FED-25SEP-T3.50,,,,,,0.73,0.82,0.7749999999999999,0.0,4451.0
2025-03-13,1741838400,FED-25SEP-T3.50,0.83,0.82,0.83,0.82,0.8297,0.59,1.0,0.7949999999999999,1750.0,6201.0
2025-03-14,1741924800,FED-25SEP-T3.50,,,,,,0.59,1.0,0.7949999999999999,0.0,6201.0
2025-03-15,1742011200,FED-25SEP-T3.50,0.84,0.84,0.84,0.84,0.84,0.77,0.83,0.8,500.0,6701.0
2025-03-16,1742097600,FED-25SEP-T3.50,0.83,0.83,0.83,0.83,0.83,0.76,0.83,0.7949999999999999,60.0,6761.0
2025-03-17,1742184000,FED-25SEP-T3.50,0.83,0.83,0.83,0.83,0.83,0.77,0.84,0.8049999999999999,60.0,6821.0
2025-03-18,1742270400,FED-25SEP-T3.50,0.84,0.84,0.84,0.84,0.84,0.76,0.83,0.7949999999999999,10.0,6831.0
2025-03-19,1742356800,FED-25SEP-T3.50,,,,,,0.76,0.84,0.8,0.0,6831.0
2025-03-20,1742443200,FED-25SEP-T3.50,0.85,0.84,0.85,0.84,0.8407,0.76,0.83,0.7949999999999999,73.0,6899.0
2025-03-21,1742529600,FED-25SEP-T3.50,,,,,,0.77,0.84,0.8049999999999999,0.0,6899.0
2025-03-22,1742616000,FED-25SEP-T3.50,,,,,,0.76,0.83,0.7949999999999999,0.0,6899.0
2025-03-23,1742702400,FED-25SEP-T3.50,,,,,,0.76,0.84,0.8,0.0,6899.0
2025-03-24,1742788800,FED-25SEP-T3.50,,,,,,0.77,0.84,0.8049999999999999,0.0,6899.0
2025-03-25,1742875200,FED-25SEP-T3.50,0.83,0.83,0.83,0.83,0.83,0.78,0.84,0.81,60.0,6959.0
2025-03-26,1742961600,FED-25SEP-T3.50,,,,,,0.69,1.0,0.845,0.0,6959.0
2025-03-27,1743048000,FED-25SEP-T3.50,,,,,,0.76,0.84,0.8,0.0,6959.0
2025-03-28,1743134400,FED-25SEP-T3.50,,,,,,0.76,0.83,0.7949999999999999,0.0,6959.0
2025-03-29,1743220800,FED-25SEP-T3.50,,,,,,0.75,0.83,0.79,0.0,6959.0
2025-03-30,1743307200,FED-25SEP-T3.50,,,,,,0.75,0.84,0.7949999999999999,0.0,6959.0
2025-03-31,1743393600,FED-25SEP-T3.50,,,,,,0.76,0.84,0.8,0.0,6959.0
