Time,geico
2022-08-29,94
2022-08-30,90
2022-08-31,91
2022-09-01,90
2022-09-02,95
2022-09-03,66
2022-09-04,51
2022-09-05,58
2022-09-06,91
2022-09-07,87
2022-09-08,76
2022-09-09,87
2022-09-10,67
2022-09-11,50
2022-09-12,91
2022-09-13,82
2022-09-14,86
2022-09-15,92
2022-09-16,89
2022-09-17,69
2022-09-18,51
2022-09-19,95
2022-09-20,89
2022-09-21,89
2022-09-22,80
2022-09-23,82
2022-09-24,65
2022-09-25,48
2022-09-26,79
2022-09-27,84
2022-09-28,77
2022-09-29,82
2022-09-30,93
2022-10-01,73
2022-10-02,55
2022-10-03,96
2022-10-04,91
2022-10-05,87
2022-10-06,84
2022-10-07,86
2022-10-08,70
2022-10-09,57
2022-10-10,89
2022-10-11,83
2022-10-12,85
2022-10-13,85
2022-10-14,92
2022-10-15,68
2022-10-16,55
2022-10-17,100
2022-10-18,81
2022-10-19,91
2022-10-20,91
2022-10-21,86
2022-10-22,65
2022-10-23,51
2022-10-24,91
2022-10-25,83
2022-10-26,79
2022-10-27,80
2022-10-28,89
2022-10-29,68
2022-10-30,50
2022-10-31,91
2022-11-01,89
2022-11-02,79
2022-11-03,84
2022-11-04,88
2022-11-05,62
2022-11-06,46
2022-11-07,82
2022-11-08,76
2022-11-09,71
2022-11-10,73
2022-11-11,77
2022-11-12,58
2022-11-13,44
2022-11-14,81
2022-11-15,76
2022-11-16,76
2022-11-17,78
2022-11-18,79
2022-11-19,66
2022-11-20,46
2022-11-21,74
2022-11-22,78
2022-11-23,73
2022-11-24,37
2022-11-25,63
2022-11-26,52
2022-11-27,42
2022-11-28,80
2022-11-29,79
2022-11-30,74
2022-12-01,84
2022-12-02,81
2022-12-03,60
2022-12-04,45
2022-12-05,82
2022-12-06,82
2022-12-07,76
2022-12-08,82
2022-12-09,73
2022-12-10,59
2022-12-11,47
2022-12-12,80
2022-12-13,81
2022-12-14,78
2022-12-15,73
2022-12-16,78
2022-12-17,64
2022-12-18,45
2022-12-19,80
2022-12-20,79
2022-12-21,79
2022-12-22,90
2022-12-23,73
2022-12-24,46
2022-12-25,31
2022-12-26,67
2022-12-27,86
2022-12-28,85
2022-12-29,87
2022-12-30,92
2022-12-31,54
2023-01-01,44
2023-01-02,78
2023-01-03,88
2023-01-04,88
2023-01-05,91
2023-01-06,93
2023-01-07,67
2023-01-08,50
2023-01-09,85
2023-01-10,80
2023-01-11,84
2023-01-12,83
2023-01-13,79
2023-01-14,65
2023-01-15,50
2023-01-16,79
2023-01-17,84
2023-01-18,83
2023-01-19,82
2023-01-20,97
2023-01-21,73
2023-01-22,47
2023-01-23,82
2023-01-24,90
2023-01-25,78
2023-01-26,75
2023-01-27,86
2023-01-28,65
2023-01-29,49
2023-01-30,76
2023-01-31,89
2023-02-01,82
2023-02-02,77
2023-02-03,85
2023-02-04,65
2023-02-05,48
2023-02-06,77
2023-02-07,81
2023-02-08,84
2023-02-09,72
2023-02-10,81
2023-02-11,64
2023-02-12,43
2023-02-13,74
2023-02-14,75
2023-02-15,80
2023-02-16,78
2023-02-17,87
2023-02-18,64
2023-02-19,47
2023-02-20,78
2023-02-21,82
2023-02-22,82
2023-02-23,84
2023-02-24,82
2023-02-25,70
2023-02-26,53
2023-02-27,92
2023-02-28,87
2023-03-01,98
2023-03-02,81
2023-03-03,76
2023-03-04,64
2023-03-05,49
2023-03-06,84
2023-03-07,81
2023-03-08,75
2023-03-09,77
2023-03-10,78
2023-03-11,65
2023-03-12,44
2023-03-13,80
2023-03-14,79
2023-03-15,80
2023-03-16,77
2023-03-17,77
2023-03-18,62
2023-03-19,51
2023-03-20,84
2023-03-21,81
2023-03-22,72
2023-03-23,76
2023-03-24,77
2023-03-25,58
2023-03-26,49
2023-03-27,79
2023-03-28,77
2023-03-29,76
2023-03-30,81
2023-03-31,83
2023-04-01,67
2023-04-02,49
2023-04-03,83
2023-04-04,82
2023-04-05,73
2023-04-06,80
2023-04-07,84
2023-04-08,56
2023-04-09,37
2023-04-10,83
2023-04-11,74
2023-04-12,77
2023-04-13,77
2023-04-14,76
2023-04-15,64
2023-04-16,46
2023-04-17,78
2023-04-18,89
2023-04-19,79
2023-04-20,79
2023-04-21,80
2023-04-22,61
2023-04-23,57
2023-04-24,83
2023-04-25,76
2023-04-26,79
2023-04-27,75
2023-04-28,78
2023-04-29,63
2023-04-30,50
2023-05-01,81
2023-05-02,84
2023-05-03,81
2023-05-04,74
2023-05-05,76
2023-05-06,60
2023-05-07,44
2023-05-08,80
2023-05-09,82
2023-05-10,79
2023-05-11,78
2023-05-12,77
2023-05-13,57
2023-05-14,41
2023-05-15,81
2023-05-16,79
2023-05-17,82
2023-05-18,78
2023-05-19,84
2023-05-20,59
2023-05-21,47
2023-05-22,80
2023-05-23,85
2023-05-24,79
2023-05-25,79
