Time,geico
2022-01-01,33
2022-01-02,37
2022-01-03,71
2022-01-04,85
2022-01-05,77
2022-01-06,59
2022-01-07,67
2022-01-08,49
2022-01-09,38
2022-01-10,64
2022-01-11,64
2022-01-12,69
2022-01-13,62
2022-01-14,60
2022-01-15,49
2022-01-16,37
2022-01-17,52
2022-01-18,64
2022-01-19,57
2022-01-20,60
2022-01-21,65
2022-01-22,52
2022-01-23,37
2022-01-24,78
2022-01-25,56
2022-01-26,60
2022-01-27,59
2022-01-28,67
2022-01-29,51
2022-01-30,40
2022-01-31,70
2022-02-01,75
2022-02-02,68
2022-02-03,63
2022-02-04,64
2022-02-05,56
2022-02-06,41
2022-02-07,66
2022-02-08,65
2022-02-09,61
2022-02-10,54
2022-02-11,67
2022-02-12,50
2022-02-13,38
2022-02-14,59
2022-02-15,64
2022-02-16,65
2022-02-17,63
2022-02-18,64
2022-02-19,54
2022-02-20,40
2022-02-21,63
2022-02-22,60
2022-02-23,66
2022-02-24,66
2022-02-25,63
2022-02-26,55
2022-02-27,43
2022-02-28,67
2022-03-01,70
2022-03-02,62
2022-03-03,68
2022-03-04,62
2022-03-05,54
2022-03-06,40
2022-03-07,62
2022-03-08,58
2022-03-09,63
2022-03-10,66
2022-03-11,61
2022-03-12,50
2022-03-13,39
2022-03-14,65
2022-03-15,64
2022-03-16,58
2022-03-17,62
2022-03-18,62
2022-03-19,49
2022-03-20,37
2022-03-21,67
2022-03-22,64
2022-03-23,60
2022-03-24,60
2022-03-25,53
2022-03-26,46
2022-03-27,37
2022-03-28,57
2022-03-29,56
2022-03-30,60
2022-03-31,58
2022-04-01,61
2022-04-02,53
2022-04-03,40
2022-04-04,59
2022-04-05,56
2022-04-06,52
2022-04-07,55
2022-04-08,57
2022-04-09,46
2022-04-10,35
2022-04-11,56
2022-04-12,56
2022-04-13,60
2022-04-14,56
2022-04-15,59
2022-04-16,44
2022-04-17,31
2022-04-18,60
2022-04-19,56
2022-04-20,52
2022-04-21,56
2022-04-22,56
2022-04-23,48
2022-04-24,45
2022-04-25,64
2022-04-26,56
2022-04-27,57
2022-04-28,56
2022-04-29,60
2022-04-30,46
2022-05-01,38
2022-05-02,61
2022-05-03,60
2022-05-04,59
2022-05-05,57
2022-05-06,57
2022-05-07,43
2022-05-08,33
2022-05-09,57
2022-05-10,64
2022-05-11,57
2022-05-12,60
2022-05-13,60
2022-05-14,50
2022-05-15,38
2022-05-16,66
2022-05-17,60
2022-05-18,60
2022-05-19,59
2022-05-20,58
2022-05-21,48
2022-05-22,35
2022-05-23,62
2022-05-24,62
2022-05-25,58
2022-05-26,63
2022-05-27,59
2022-05-28,48
2022-05-29,33
2022-05-30,41
2022-05-31,66
2022-06-01,68
2022-06-02,63
2022-06-03,66
2022-06-04,49
2022-06-05,37
2022-06-06,63
2022-06-07,62
2022-06-08,60
2022-06-09,76
2022-06-10,100
2022-06-11,67
2022-06-12,48
2022-06-13,74
2022-06-14,76
2022-06-15,63
2022-06-16,65
2022-06-17,65
2022-06-18,52
2022-06-19,36
2022-06-20,62
2022-06-21,66
2022-06-22,64
2022-06-23,65
2022-06-24,67
2022-06-25,50
2022-06-26,37
2022-06-27,69
2022-06-28,67
2022-06-29,67
2022-06-30,66
2022-07-01,68
2022-07-02,51
2022-07-03,36
2022-07-04,34
2022-07-05,70
2022-07-06,69
2022-07-07,68
2022-07-08,72
2022-07-09,51
2022-07-10,38
2022-07-11,70
2022-07-12,65
2022-07-13,64
2022-07-14,64
2022-07-15,69
2022-07-16,52
2022-07-17,40
2022-07-18,68
2022-07-19,67
2022-07-20,66
2022-07-21,64
2022-07-22,67
2022-07-23,48
2022-07-24,37
2022-07-25,67
2022-07-26,66
2022-07-27,66
2022-07-28,64
2022-07-29,68
2022-07-30,49
2022-07-31,40
2022-08-01,76
2022-08-02,81
2022-08-03,79
2022-08-04,70
2022-08-05,72
2022-08-06,52
2022-08-07,39
2022-08-08,67
2022-08-09,60
2022-08-10,62
2022-08-11,64
2022-08-12,62
2022-08-13,49
2022-08-14,39
2022-08-15,69
2022-08-16,66
2022-08-17,62
2022-08-18,58
2022-08-19,66
2022-08-20,50
2022-08-21,38
2022-08-22,62
2022-08-23,67
2022-08-24,59
2022-08-25,64
2022-08-26,60
2022-08-27,48
2022-08-28,37
2022-08-29,66
2022-08-30,63
2022-08-31,64
2022-09-01,63
2022-09-02,67
2022-09-03,47
2022-09-04,36
2022-09-05,41
2022-09-06,64
2022-09-07,61
2022-09-08,53
2022-09-09,61
2022-09-10,47
2022-09-11,35
2022-09-12,64
2022-09-13,58
2022-09-14,60
2022-09-15,65
2022-09-16,63
2022-09-17,48
2022-09-18,36
2022-09-19,66
2022-09-20,63
2022-09-21,63
2022-09-22,56
2022-09-23,58
2022-09-24,46
2022-09-25,34
2022-09-26,56
2022-09-27,59
