Time,pizza hut
2025-12-11,49
2025-12-12,57
2025-12-13,73
2025-12-14,68
2025-12-15,47
2025-12-16,44
2025-12-17,54
2025-12-18,55
2025-12-19,62
2025-12-20,69
2025-12-21,70
2025-12-22,53
2025-12-23,59
2025-12-24,94
2025-12-25,91
2025-12-26,67
2025-12-27,64
2025-12-28,69
2025-12-29,54
2025-12-30,54
2025-12-31,84
2026-01-01,89
2026-01-02,66
2026-01-03,61
2026-01-04,63
2026-01-05,47
2026-01-06,45
2026-01-07,43
2026-01-08,45
2026-01-09,52
2026-01-10,73
2026-01-11,61
2026-01-12,45
2026-01-13,43
2026-01-14,40
2026-01-15,45
2026-01-16,50
2026-01-17,73
2026-01-18,68
2026-01-19,50
2026-01-20,42
2026-01-21,42
2026-01-22,42
2026-01-23,53
2026-01-24,65
2026-01-25,65
2026-01-26,55
2026-01-27,48
2026-01-28,46
2026-01-29,48
2026-01-30,55
2026-01-31,67
2026-02-01,71
2026-02-02,42
2026-02-03,41
2026-02-04,53
2026-02-05,72
2026-02-06,62
2026-02-07,71
2026-02-08,100
2026-02-09,42
2026-02-10,40
2026-02-11,42
2026-02-12,49
2026-02-13,58
2026-02-14,78
2026-02-15,67
2026-02-16,45
2026-02-17,39
2026-02-18,39
2026-02-19,45
2026-02-20,50
2026-02-21,60
2026-02-22,57
2026-02-23,42
2026-02-24,44
2026-02-25,44
2026-02-26,50
2026-02-27,57
2026-02-28,69
2026-03-01,63
2026-03-02,42
2026-03-03,47
2026-03-04,46
2026-03-05,46
2026-03-06,57
2026-03-07,71
2026-03-08,64
2026-03-09,41
2026-03-10,45
2026-03-11,43
2026-03-12,60
2026-03-13,58
2026-03-14,84
2026-03-15,75
2026-03-16,46
2026-03-17,49
2026-03-18,46
2026-03-19,44
2026-03-20,55
2026-03-21,66
2026-03-22,58
2026-03-23,42
2026-03-24,45
2026-03-25,44
2026-03-26,45
2026-03-27,53
2026-03-28,63
2026-03-29,65
2026-03-30,41
2026-03-31,49
2026-04-01,47
2026-04-02,44
2026-04-03,59
2026-04-04,64
2026-04-05,62
2026-04-06,47
2026-04-07,42
2026-04-08,47
2026-04-09,45
2026-04-10,53
2026-04-11,63
2026-04-12,58
2026-04-13,39
2026-04-14,41
2026-04-15,41
2026-04-16,44
2026-04-17,50
2026-04-18,73
2026-04-19,61
2026-04-20,42
2026-04-21,41
2026-04-22,45
2026-04-23,49
2026-04-24,54
2026-04-25,65
2026-04-26,57
2026-04-27,44
2026-04-28,52
2026-04-29,48
2026-04-30,47
2026-05-01,60
2026-05-02,70
2026-05-03,67
2026-05-04,45
2026-05-05,43
2026-05-06,41
2026-05-07,45
2026-05-08,50
2026-05-09,59
2026-05-10,59
2026-05-11,39
2026-05-12,44
2026-05-13,41
2026-05-14,47
2026-05-15,57
2026-05-16,70
2026-05-17,62
2026-05-18,47
2026-05-19,53
2026-05-20,51
2026-05-21,51
2026-05-22,60
2026-05-23,78
2026-05-24,76
2026-05-25,65
2026-05-26,47
2026-05-27,47
2026-05-28,50
2026-05-29,59
2026-05-30,72
2026-05-31,66
