Time,pizza hut
2023-04-26,48
2023-04-27,52
2023-04-28,68
2023-04-29,85
2023-04-30,80
2023-05-01,47
2023-05-02,46
2023-05-03,43
2023-05-04,52
2023-05-05,61
2023-05-06,78
2023-05-07,77
2023-05-08,44
2023-05-09,38
2023-05-10,46
2023-05-11,48
2023-05-12,66
2023-05-13,81
2023-05-14,73
2023-05-15,46
2023-05-16,43
2023-05-17,45
2023-05-18,54
2023-05-19,69
2023-05-20,84
2023-05-21,88
2023-05-22,52
2023-05-23,46
2023-05-24,53
2023-05-25,59
2023-05-26,71
2023-05-27,82
2023-05-28,83
2023-05-29,73
2023-05-30,45
2023-05-31,50
2023-06-01,58
2023-06-02,72
2023-06-03,84
2023-06-04,78
2023-06-05,54
2023-06-06,49
2023-06-07,52
2023-06-08,57
2023-06-09,69
2023-06-10,82
2023-06-11,75
2023-06-12,51
2023-06-13,48
2023-06-14,46
2023-06-15,53
2023-06-16,66
2023-06-17,79
2023-06-18,78
2023-06-19,58
2023-06-20,46
2023-06-21,51
2023-06-22,52
2023-06-23,68
2023-06-24,79
2023-06-25,79
2023-06-26,55
2023-06-27,52
2023-06-28,54
2023-06-29,56
2023-06-30,70
2023-07-01,82
2023-07-02,78
2023-07-03,64
2023-07-04,77
2023-07-05,56
2023-07-06,53
2023-07-07,71
2023-07-08,75
2023-07-09,76
2023-07-10,50
2023-07-11,45
2023-07-12,47
2023-07-13,52
2023-07-14,67
2023-07-15,80
2023-07-16,73
2023-07-17,49
2023-07-18,45
2023-07-19,49
2023-07-20,50
2023-07-21,69
2023-07-22,76
2023-07-23,75
2023-07-24,51
2023-07-25,49
2023-07-26,45
2023-07-27,52
2023-07-28,69
2023-07-29,84
2023-07-30,78
2023-07-31,52
2023-08-01,49
2023-08-02,51
2023-08-03,52
2023-08-04,70
2023-08-05,81
2023-08-06,76
2023-08-07,50
2023-08-08,46
2023-08-09,70
2023-08-10,59
2023-08-11,72
2023-08-12,78
2023-08-13,74
2023-08-14,43
2023-08-15,43
2023-08-16,41
2023-08-17,49
2023-08-18,62
2023-08-19,76
2023-08-20,73
2023-08-21,45
2023-08-22,41
2023-08-23,43
2023-08-24,46
2023-08-25,63
2023-08-26,78
2023-08-27,73
2023-08-28,41
2023-08-29,41
2023-08-30,46
2023-08-31,49
2023-09-01,66
2023-09-02,78
2023-09-03,75
2023-09-04,69
2023-09-05,38
2023-09-06,39
2023-09-07,47
2023-09-08,61
2023-09-09,77
2023-09-10,74
2023-09-11,39
2023-09-12,37
2023-09-13,36
2023-09-14,43
2023-09-15,57
2023-09-16,78
2023-09-17,74
2023-09-18,38
2023-09-19,36
2023-09-20,40
2023-09-21,41
2023-09-22,63
2023-09-23,81
2023-09-24,77
2023-09-25,40
2023-09-26,36
2023-09-27,39
2023-09-28,42
2023-09-29,60
2023-09-30,81
2023-10-01,81
2023-10-02,41
2023-10-03,39
2023-10-04,39
2023-10-05,43
2023-10-06,61
2023-10-07,73
2023-10-08,73
2023-10-09,43
2023-10-10,37
2023-10-11,41
2023-10-12,44
2023-10-13,59
2023-10-14,77
2023-10-15,75
2023-10-16,40
2023-10-17,36
2023-10-18,38
2023-10-19,43
2023-10-20,61
2023-10-21,74
2023-10-22,73
2023-10-23,39
2023-10-24,38
2023-10-25,42
2023-10-26,45
2023-10-27,62
2023-10-28,81
2023-10-29,78
2023-10-30,42
2023-10-31,62
2023-11-01,56
2023-11-02,47
2023-11-03,62
2023-11-04,82
2023-11-05,78
2023-11-06,39
2023-11-07,40
2023-11-08,39
2023-11-09,44
2023-11-10,69
2023-11-11,80
2023-11-12,76
2023-11-13,40
2023-11-14,38
2023-11-15,40
2023-11-16,42
2023-11-17,58
2023-11-18,79
2023-11-19,75
2023-11-20,46
2023-11-21,46
2023-11-22,64
2023-11-23,54
2023-11-24,47
2023-11-25,70
2023-11-26,77
2023-11-27,42
2023-11-28,37
2023-11-29,39
2023-11-30,47
2023-12-01,61
2023-12-02,85
2023-12-03,75
2023-12-04,43
2023-12-05,39
2023-12-06,41
2023-12-07,43
2023-12-08,59
2023-12-09,80
2023-12-10,80
2023-12-11,41
2023-12-12,38
2023-12-13,43
2023-12-14,47
2023-12-15,63
2023-12-16,78
2023-12-17,75
2023-12-18,46
2023-12-19,43
2023-12-20,48
2023-12-21,59
2023-12-22,72
2023-12-23,82
2023-12-24,100
2023-12-25,95
2023-12-26,79
2023-12-27,72
2023-12-28,67
2023-12-29,78
2023-12-30,78
2023-12-31,89
2024-01-01,89
2024-01-02,48
2024-01-03,43
2024-01-04,48
2024-01-05,60
2024-01-06,73
2024-01-07,70
2024-01-08,42
2024-01-09,44
2024-01-10,68
2024-01-11,64
2024-01-12,66
2024-01-13,77
2024-01-14,76
2024-01-15,58
2024-01-16,42
2024-01-17,42
2024-01-18,42
2024-01-19,56
2024-01-20,82
