Time,pizza hut
2023-12-22,58
2023-12-23,66
2023-12-24,80
2023-12-25,76
2023-12-26,63
2023-12-27,57
2023-12-28,54
2023-12-29,63
2023-12-30,62
2023-12-31,71
2024-01-01,71
2024-01-02,39
2024-01-03,35
2024-01-04,38
2024-01-05,48
2024-01-06,58
2024-01-07,56
2024-01-08,34
2024-01-09,35
2024-01-10,54
2024-01-11,51
2024-01-12,53
2024-01-13,62
2024-01-14,61
2024-01-15,46
2024-01-16,34
2024-01-17,34
2024-01-18,34
2024-01-19,45
2024-01-20,66
2024-01-21,60
2024-01-22,35
2024-01-23,29
2024-01-24,31
2024-01-25,33
2024-01-26,44
2024-01-27,61
2024-01-28,61
2024-01-29,30
2024-01-30,30
2024-01-31,31
2024-02-01,36
2024-02-02,48
2024-02-03,68
2024-02-04,61
2024-02-05,30
2024-02-06,28
2024-02-07,36
2024-02-08,35
2024-02-09,54
2024-02-10,68
2024-02-11,100
2024-02-12,37
2024-02-13,31
2024-02-14,50
2024-02-15,38
2024-02-16,47
2024-02-17,59
2024-02-18,57
2024-02-19,38
2024-02-20,28
2024-02-21,31
2024-02-22,35
2024-02-23,45
2024-02-24,65
2024-02-25,61
2024-02-26,33
2024-02-27,32
2024-02-28,34
2024-02-29,36
2024-03-01,50
2024-03-02,63
2024-03-03,57
2024-03-04,30
2024-03-05,30
2024-03-06,30
2024-03-07,31
2024-03-08,48
2024-03-09,59
2024-03-10,60
2024-03-11,31
2024-03-12,31
2024-03-13,37
2024-03-14,61
2024-03-15,54
2024-03-16,59
2024-03-17,54
2024-03-18,31
2024-03-19,30
2024-03-20,30
2024-03-21,33
2024-03-22,47
2024-03-23,57
2024-03-24,58
2024-03-25,33
2024-03-26,32
2024-03-27,34
2024-03-28,36
2024-03-29,50
2024-03-30,58
2024-03-31,60
2024-04-01,38
2024-04-02,33
2024-04-03,34
2024-04-04,36
2024-04-05,50
2024-04-06,61
2024-04-07,56
2024-04-08,36
2024-04-09,34
2024-04-10,32
2024-04-11,33
2024-04-12,44
2024-04-13,55
2024-04-14,57
2024-04-15,29
2024-04-16,30
2024-04-17,31
2024-04-18,32
2024-04-19,48
2024-04-20,62
2024-04-21,55
2024-04-22,30
2024-04-23,30
2024-04-24,34
2024-04-25,35
2024-04-26,49
2024-04-27,61
2024-04-28,56
2024-04-29,32
2024-04-30,29
2024-05-01,31
2024-05-02,34
2024-05-03,48
2024-05-04,60
2024-05-05,55
2024-05-06,30
2024-05-07,31
2024-05-08,34
2024-05-09,39
2024-05-10,50
2024-05-11,64
2024-05-12,56
2024-05-13,36
2024-05-14,38
2024-05-15,38
2024-05-16,40
2024-05-17,57
2024-05-18,65
2024-05-19,61
2024-05-20,33
2024-05-21,39
2024-05-22,40
2024-05-23,45
2024-05-24,56
2024-05-25,65
2024-05-26,62
2024-05-27,60
2024-05-28,40
2024-05-29,43
2024-05-30,45
2024-05-31,59
2024-06-01,68
2024-06-02,61
2024-06-03,39
2024-06-04,37
2024-06-05,46
2024-06-06,41
2024-06-07,53
2024-06-08,55
2024-06-09,56
2024-06-10,37
2024-06-11,35
2024-06-12,34
2024-06-13,43
2024-06-14,53
2024-06-15,58
2024-06-16,59
2024-06-17,39
2024-06-18,39
2024-06-19,44
2024-06-20,42
2024-06-21,54
2024-06-22,63
2024-06-23,55
2024-06-24,39
2024-06-25,34
2024-06-26,36
2024-06-27,44
2024-06-28,55
2024-06-29,62
2024-06-30,63
2024-07-01,39
2024-07-02,42
2024-07-03,42
2024-07-04,60
2024-07-05,54
2024-07-06,58
2024-07-07,60
2024-07-08,37
2024-07-09,36
2024-07-10,35
2024-07-11,40
2024-07-12,50
2024-07-13,55
2024-07-14,56
2024-07-15,34
2024-07-16,36
2024-07-17,38
2024-07-18,37
2024-07-19,50
2024-07-20,57
2024-07-21,53
2024-07-22,37
2024-07-23,36
2024-07-24,34
2024-07-25,39
2024-07-26,51
2024-07-27,56
2024-07-28,53
2024-07-29,34
2024-07-30,33
2024-07-31,36
2024-08-01,39
2024-08-02,52
2024-08-03,57
2024-08-04,52
2024-08-05,33
2024-08-06,31
2024-08-07,31
2024-08-08,35
2024-08-09,44
2024-08-10,52
2024-08-11,52
2024-08-12,33
2024-08-13,31
2024-08-14,33
2024-08-15,36
2024-08-16,46
2024-08-17,54
2024-08-18,50
2024-08-19,31
2024-08-20,29
2024-08-21,28
2024-08-22,34
2024-08-23,45
2024-08-24,53
2024-08-25,53
2024-08-26,30
2024-08-27,28
2024-08-28,31
2024-08-29,34
2024-08-30,49
2024-08-31,60
2024-09-01,56
2024-09-02,52
2024-09-03,31
2024-09-04,29
2024-09-05,34
2024-09-06,44
2024-09-07,55
2024-09-08,58
2024-09-09,30
2024-09-10,27
2024-09-11,28
2024-09-12,32
2024-09-13,42
2024-09-14,55
2024-09-15,49
2024-09-16,28
