Time,staples
2022-01-01,63.0
2022-01-02,67.0
2022-01-03,84.0
2022-01-04,100.0
2022-01-05,90.0
2022-01-06,72.0
2022-01-07,69.0
2022-01-08,76.0
2022-01-09,71.0
2022-01-10,79.0
2022-01-11,76.0
2022-01-12,80.0
2022-01-13,92.0
2022-01-14,71.0
2022-01-15,66.0
2022-01-16,60.0
2022-01-17,66.0
2022-01-18,69.0
2022-01-19,73.0
2022-01-20,75.0
2022-01-21,73.0
2022-01-22,67.0
2022-01-23,64.0
2022-01-24,89.0
2022-01-25,72.0
2022-01-26,69.0
2022-01-27,76.0
2022-01-28,74.0
2022-01-29,63.0
2022-01-30,63.0
2022-01-31,74.0
2022-02-01,80.0
2022-02-02,75.0
2022-02-03,81.0
2022-02-04,70.0
2022-02-05,71.0
2022-02-06,75.0
2022-02-07,81.0
2022-02-08,80.0
2022-02-09,79.0
2022-02-10,66.0
2022-02-11,78.0
2022-02-12,68.0
2022-02-13,62.0
2022-02-14,65.0
2022-02-15,75.0
2022-02-16,78.0
2022-02-17,74.0
2022-02-18,66.0
2022-02-19,58.0
2022-02-20,66.0
2022-02-21,70.0
2022-02-22,69.0
2022-02-23,77.0
2022-02-24,59.0
2022-02-25,60.0
2022-02-26,60.0
2022-02-27,64.0
2022-02-28,75.0
2022-03-01,77.0
2022-03-02,75.0
2022-03-03,67.0
2022-03-04,71.0
2022-03-05,64.0
2022-03-06,59.0
2022-03-07,72.0
2022-03-08,72.0
2022-03-09,72.0
2022-03-10,70.0
2022-03-11,72.0
2022-03-12,61.0
2022-03-13,60.0
2022-03-14,69.0
2022-03-15,71.0
2022-03-16,72.0
2022-03-17,66.0
2022-03-18,67.0
2022-03-19,59.0
2022-03-20,57.0
2022-03-21,64.0
2022-03-22,77.0
2022-03-23,73.0
2022-03-24,74.0
2022-03-25,65.0
2022-03-26,58.0
2022-03-27,58.0
2022-03-28,68.0
2022-03-29,71.0
2022-03-30,74.0
2022-03-31,71.0
2022-04-01,66.0
2022-04-02,60.0
2022-04-03,63.0
2022-04-04,73.0
2022-04-05,71.0
2022-04-06,78.0
2022-04-07,79.0
2022-04-08,70.0
2022-04-09,57.0
2022-04-10,61.0
2022-04-11,67.0
2022-04-12,69.0
2022-04-13,68.0
2022-04-14,73.0
2022-04-15,70.0
2022-04-16,55.0
2022-04-17,59.0
2022-04-18,72.0
2022-04-19,72.0
2022-04-20,71.0
2022-04-21,65.0
2022-04-22,62.0
2022-04-23,58.0
2022-04-24,58.0
2022-04-25,67.0
2022-04-26,70.0
2022-04-27,74.0
2022-04-28,74.0
2022-04-29,67.0
2022-04-30,64.0
2022-05-01,55.0
2022-05-02,73.0
2022-05-03,81.0
2022-05-04,78.0
2022-05-05,68.0
2022-05-06,66.0
2022-05-07,60.0
2022-05-08,52.0
2022-05-09,65.0
2022-05-10,67.0
2022-05-11,74.0
2022-05-12,71.0
2022-05-13,66.0
2022-05-14,59.0
2022-05-15,62.0
2022-05-16,67.0
2022-05-17,68.0
2022-05-18,70.0
2022-05-19,67.0
2022-05-20,59.0
2022-05-21,56.0
2022-05-22,65.0
2022-05-23,67.0
2022-05-24,74.0
2022-05-25,66.0
2022-05-26,66.0
2022-05-27,64.0
2022-05-28,59.0
2022-05-29,56.0
2022-05-30,61.0
2022-05-31,67.0
2022-06-01,66.0
2022-06-02,72.0
2022-06-03,70.0
2022-06-04,62.0
2022-06-05,62.0
2022-06-06,71.0
2022-06-07,71.0
2022-06-08,77.0
2022-06-09,73.0
2022-06-10,71.0
2022-06-11,59.0
2022-06-12,66.0
2022-06-13,76.0
2022-06-14,76.0
2022-06-15,74.0
2022-06-16,75.0
2022-06-17,65.0
2022-06-18,60.0
2022-06-19,56.0
2022-06-20,67.0
2022-06-21,72.0
2022-06-22,64.0
2022-06-23,71.0
2022-06-24,62.0
2022-06-25,56.0
2022-06-26,57.0
2022-06-27,70.0
2022-06-28,72.0
2022-06-29,71.0
2022-06-30,68.0
2022-07-01,65.0
2022-07-02,64.0
2022-07-03,57.0
2022-07-04,60.0
2022-07-05,66.0
2022-07-06,73.0
2022-07-07,74.0
2022-07-08,68.0
2022-07-09,65.0
2022-07-10,64.0
2022-07-11,79.0
2022-07-12,83.0
2022-07-13,77.0
2022-07-14,76.0
2022-07-15,73.0
2022-07-16,67.0
2022-07-17,70.0
2022-07-18,78.0
2022-07-19,76.0
2022-07-20,75.0
2022-07-21,77.0
2022-07-22,71.0
2022-07-23,64.0
2022-07-24,64.0
2022-07-25,78.0
2022-07-26,78.0
2022-07-27,79.0
2022-07-28,83.0
2022-07-29,74.0
2022-07-30,71.0
2022-07-31,71.0
2022-08-01,85.0
2022-08-02,86.0
2022-08-03,85.0
2022-08-04,95.0
2022-08-05,78.0
2022-08-06,66.0
2022-08-07,74.0
2022-08-08,90.0
2022-08-09,93.0
2022-08-10,87.0
