Time,international women's day
2023-04-26,53
2023-04-27,54
2023-04-28,51
2023-04-29,36
2023-04-30,29
2023-05-01,76
2023-05-02,74
2023-05-03,48
2023-05-04,48
2023-05-05,40
2023-05-06,46
2023-05-07,30
2023-05-08,75
2023-05-09,56
2023-05-10,30
2023-05-11,43
2023-05-12,42
2023-05-13,25
2023-05-14,58
2023-05-15,48
2023-05-16,32
2023-05-17,42
2023-05-18,42
2023-05-19,41
2023-05-20,20
2023-05-21,22
2023-05-22,36
2023-05-23,48
2023-05-24,52
2023-05-25,34
2023-05-26,32
2023-05-27,24
2023-05-28,21
2023-05-29,28
2023-05-30,44
2023-05-31,35
2023-06-01,36
2023-06-02,31
2023-06-03,21
2023-06-04,35
2023-06-05,19
2023-06-06,43
2023-06-07,43
2023-06-08,25
2023-06-09,29
2023-06-10,0
2023-06-11,0
2023-06-12,23
2023-06-13,0
2023-06-14,0
2023-06-15,0
2023-06-16,27
2023-06-17,27
2023-06-18,28
2023-06-19,27
2023-06-20,25
2023-06-21,22
2023-06-22,0
2023-06-23,27
2023-06-24,24
2023-06-25,0
2023-06-26,22
2023-06-27,30
2023-06-28,31
2023-06-29,18
2023-06-30,18
2023-07-01,0
2023-07-02,0
2023-07-03,0
2023-07-04,0
2023-07-05,0
2023-07-06,0
2023-07-07,0
2023-07-08,22
2023-07-09,0
2023-07-10,19
2023-07-11,22
2023-07-12,0
2023-07-13,0
2023-07-14,20
2023-07-15,0
2023-07-16,0
2023-07-17,25
2023-07-18,0
2023-07-19,0
2023-07-20,22
2023-07-21,20
2023-07-22,23
2023-07-23,0
2023-07-24,20
2023-07-25,22
2023-07-26,0
2023-07-27,23
2023-07-28,22
2023-07-29,0
2023-07-30,0
2023-07-31,20
2023-08-01,33
2023-08-02,0
2023-08-03,36
2023-08-04,28
2023-08-05,22
2023-08-06,0
2023-08-07,100
2023-08-08,20
2023-08-09,46
2023-08-10,26
2023-08-11,0
2023-08-12,0
2023-08-13,24
2023-08-14,23
2023-08-15,18
2023-08-16,0
2023-08-17,0
2023-08-18,0
2023-08-19,29
2023-08-20,27
2023-08-21,0
2023-08-22,28
2023-08-23,0
2023-08-24,0
2023-08-25,0
2023-08-26,26
2023-08-27,0
2023-08-28,21
2023-08-29,30
2023-08-30,33
2023-08-31,19
2023-09-01,23
2023-09-02,0
2023-09-03,0
2023-09-04,0
2023-09-05,0
2023-09-06,18
2023-09-07,0
2023-09-08,0
2023-09-09,0
2023-09-10,0
2023-09-11,26
2023-09-12,0
2023-09-13,18
2023-09-14,21
2023-09-15,0
2023-09-16,0
2023-09-17,0
2023-09-18,23
2023-09-19,18
2023-09-20,22
2023-09-21,0
2023-09-22,0
2023-09-23,0
2023-09-24,0
2023-09-25,20
2023-09-26,0
2023-09-27,28
2023-09-28,0
2023-09-29,0
2023-09-30,0
2023-10-01,0
2023-10-02,20
2023-10-03,18
2023-10-04,0
2023-10-05,0
2023-10-06,25
2023-10-07,0
2023-10-08,0
2023-10-09,19
2023-10-10,0
2023-10-11,18
2023-10-12,0
2023-10-13,0
2023-10-14,0
2023-10-15,22
2023-10-16,20
2023-10-17,24
2023-10-18,22
2023-10-19,0
2023-10-20,20
2023-10-21,0
2023-10-22,0
2023-10-23,20
2023-10-24,22
2023-10-25,30
2023-10-26,22
2023-10-27,0
2023-10-28,0
2023-10-29,19
2023-10-30,20
2023-10-31,22
2023-11-01,28
2023-11-02,0
2023-11-03,36
2023-11-04,0
2023-11-05,0
2023-11-06,20
2023-11-07,0
2023-11-08,20
2023-11-09,21
2023-11-10,18
2023-11-11,0
2023-11-12,0
2023-11-13,0
2023-11-14,20
2023-11-15,24
2023-11-16,0
2023-11-17,28
2023-11-18,0
2023-11-19,21
2023-11-20,45
2023-11-21,19
2023-11-22,0
2023-11-23,0
2023-11-24,0
2023-11-25,22
2023-11-26,0
2023-11-27,0
2023-11-28,18
2023-11-29,23
2023-11-30,26
2023-12-01,0
2023-12-02,0
2023-12-03,24
2023-12-04,21
2023-12-05,0
2023-12-06,33
2023-12-07,0
2023-12-08,17
2023-12-09,18
2023-12-10,0
2023-12-11,18
2023-12-12,24
2023-12-13,23
2023-12-14,22
2023-12-15,23
2023-12-16,0
2023-12-17,0
2023-12-18,24
2023-12-19,32
2023-12-20,21
2023-12-21,24
2023-12-22,0
2023-12-23,0
2023-12-24,0
2023-12-25,0
2023-12-26,0
2023-12-27,21
2023-12-28,0
2023-12-29,0
2023-12-30,0
2023-12-31,0
2024-01-01,0
2024-01-02,37
2024-01-03,44
2024-01-04,32
2024-01-05,0
2024-01-06,0
2024-01-07,24
2024-01-08,47
2024-01-09,62
2024-01-10,61
2024-01-11,57
2024-01-12,43
2024-01-13,0
2024-01-14,21
2024-01-15,0
2024-01-16,62
2024-01-17,65
2024-01-18,72
2024-01-19,53
2024-01-20,0
