Time,you people
2023-12-22,58
2023-12-23,60
2023-12-24,56
2023-12-25,51
2023-12-26,52
2023-12-27,55
2023-12-28,56
2023-12-29,58
2023-12-30,58
2023-12-31,57
2024-01-01,56
2024-01-02,54
2024-01-03,61
2024-01-04,69
2024-01-05,66
2024-01-06,54
2024-01-07,58
2024-01-08,69
2024-01-09,69
2024-01-10,82
2024-01-11,89
2024-01-12,76
2024-01-13,59
2024-01-14,55
2024-01-15,57
2024-01-16,71
2024-01-17,77
2024-01-18,84
2024-01-19,77
2024-01-20,62
2024-01-21,67
2024-01-22,85
2024-01-23,86
2024-01-24,93
2024-01-25,96
2024-01-26,79
2024-01-27,62
2024-01-28,63
2024-01-29,93
2024-01-30,98
2024-01-31,96
2024-02-01,91
2024-02-02,85
2024-02-03,62
2024-02-04,69
2024-02-05,93
2024-02-06,91
2024-02-07,95
2024-02-08,98
2024-02-09,87
2024-02-10,62
2024-02-11,66
2024-02-12,87
2024-02-13,95
2024-02-14,80
2024-02-15,91
2024-02-16,84
2024-02-17,65
2024-02-18,74
2024-02-19,74
2024-02-20,93
2024-02-21,93
2024-02-22,91
2024-02-23,89
2024-02-24,65
2024-02-25,68
2024-02-26,98
2024-02-27,98
2024-02-28,93
2024-02-29,100
2024-03-01,90
2024-03-02,66
2024-03-03,72
2024-03-04,97
2024-03-05,92
2024-03-06,96
2024-03-07,96
2024-03-08,88
2024-03-09,56
2024-03-10,69
2024-03-11,86
2024-03-12,85
2024-03-13,82
2024-03-14,83
2024-03-15,74
2024-03-16,64
2024-03-17,70
2024-03-18,95
2024-03-19,90
2024-03-20,89
2024-03-21,88
2024-03-22,81
2024-03-23,63
2024-03-24,66
2024-03-25,86
2024-03-26,86
2024-03-27,85
2024-03-28,81
2024-03-29,66
2024-03-30,62
2024-03-31,63
2024-04-01,71
2024-04-02,84
2024-04-03,85
2024-04-04,85
2024-04-05,79
2024-04-06,61
2024-04-07,63
2024-04-08,91
2024-04-09,91
2024-04-10,91
2024-04-11,94
2024-04-12,85
2024-04-13,66
2024-04-14,62
2024-04-15,95
2024-04-16,93
2024-04-17,96
2024-04-18,95
2024-04-19,84
2024-04-20,63
2024-04-21,69
2024-04-22,100
2024-04-23,93
2024-04-24,93
2024-04-25,96
2024-04-26,83
2024-04-27,64
2024-04-28,68
2024-04-29,97
2024-04-30,91
2024-05-01,96
2024-05-02,91
2024-05-03,83
2024-05-04,59
2024-05-05,67
2024-05-06,94
2024-05-07,88
2024-05-08,98
2024-05-09,93
2024-05-10,86
2024-05-11,67
2024-05-12,61
2024-05-13,84
2024-05-14,78
2024-05-15,85
2024-05-16,82
2024-05-17,77
2024-05-18,61
2024-05-19,64
2024-05-20,79
2024-05-21,75
2024-05-22,76
2024-05-23,73
2024-05-24,65
2024-05-25,67
2024-05-26,62
2024-05-27,63
2024-05-28,69
2024-05-29,73
2024-05-30,71
2024-05-31,62
2024-06-01,61
2024-06-02,71
2024-06-03,64
2024-06-04,67
2024-06-05,70
2024-06-06,72
2024-06-07,64
2024-06-08,59
2024-06-09,64
2024-06-10,69
2024-06-11,71
2024-06-12,73
2024-06-13,67
2024-06-14,62
2024-06-15,57
2024-06-16,63
2024-06-17,66
2024-06-18,65
2024-06-19,64
2024-06-20,63
2024-06-21,62
2024-06-22,63
2024-06-23,63
2024-06-24,62
2024-06-25,58
2024-06-26,62
2024-06-27,68
2024-06-28,60
2024-06-29,62
2024-06-30,65
2024-07-01,62
2024-07-02,63
2024-07-03,61
2024-07-04,64
2024-07-05,60
2024-07-06,58
2024-07-07,64
2024-07-08,65
2024-07-09,61
2024-07-10,63
2024-07-11,62
2024-07-12,62
2024-07-13,60
2024-07-14,61
2024-07-15,62
2024-07-16,65
2024-07-17,61
2024-07-18,63
2024-07-19,60
2024-07-20,59
2024-07-21,64
2024-07-22,61
2024-07-23,62
2024-07-24,62
2024-07-25,61
2024-07-26,62
2024-07-27,61
2024-07-28,63
2024-07-29,53
2024-07-30,56
2024-07-31,60
2024-08-01,60
2024-08-02,59
2024-08-03,59
2024-08-04,60
2024-08-05,58
2024-08-06,61
2024-08-07,60
2024-08-08,60
2024-08-09,59
2024-08-10,59
2024-08-11,61
2024-08-12,61
2024-08-13,62
2024-08-14,66
2024-08-15,65
2024-08-16,63
2024-08-17,60
2024-08-18,61
2024-08-19,65
2024-08-20,71
2024-08-21,67
2024-08-22,69
2024-08-23,68
2024-08-24,63
2024-08-25,67
2024-08-26,79
2024-08-27,82
2024-08-28,83
2024-08-29,80
2024-08-30,78
2024-08-31,65
2024-09-01,67
2024-09-02,70
2024-09-03,80
2024-09-04,81
2024-09-05,86
2024-09-06,83
2024-09-07,60
2024-09-08,70
2024-09-09,92
2024-09-10,93
2024-09-11,90
2024-09-12,92
2024-09-13,86
2024-09-14,63
2024-09-15,64
2024-09-16,97
