Time,ramsay hunt syndrome
2023-12-22,17
2023-12-23,12
2023-12-24,0
2023-12-25,15
2023-12-26,0
2023-12-27,11
2023-12-28,14
2023-12-29,19
2023-12-30,18
2023-12-31,18
2024-01-01,0
2024-01-02,15
2024-01-03,15
2024-01-04,0
2024-01-05,12
2024-01-06,12
2024-01-07,14
2024-01-08,0
2024-01-09,13
2024-01-10,18
2024-01-11,0
2024-01-12,11
2024-01-13,11
2024-01-14,17
2024-01-15,16
2024-01-16,11
2024-01-17,10
2024-01-18,16
2024-01-19,17
2024-01-20,14
2024-01-21,0
2024-01-22,15
2024-01-23,15
2024-01-24,17
2024-01-25,19
2024-01-26,11
2024-01-27,0
2024-01-28,0
2024-01-29,16
2024-01-30,0
2024-01-31,18
2024-02-01,0
2024-02-02,21
2024-02-03,27
2024-02-04,40
2024-02-05,13
2024-02-06,31
2024-02-07,22
2024-02-08,65
2024-02-09,29
2024-02-10,38
2024-02-11,28
2024-02-12,100
2024-02-13,69
2024-02-14,34
2024-02-15,23
2024-02-16,13
2024-02-17,21
2024-02-18,0
2024-02-19,21
2024-02-20,13
2024-02-21,0
2024-02-22,0
2024-02-23,0
2024-02-24,27
2024-02-25,0
2024-02-26,0
2024-02-27,0
2024-02-28,20
2024-02-29,79
2024-03-01,56
2024-03-02,32
2024-03-03,79
2024-03-04,23
2024-03-05,22
2024-03-06,14
2024-03-07,13
2024-03-08,11
2024-03-09,14
2024-03-10,12
2024-03-11,18
2024-03-12,0
2024-03-13,21
2024-03-14,16
2024-03-15,12
2024-03-16,15
2024-03-17,15
2024-03-18,20
2024-03-19,0
2024-03-20,14
2024-03-21,0
2024-03-22,13
2024-03-23,0
2024-03-24,17
2024-03-25,10
2024-03-26,18
2024-03-27,22
2024-03-28,17
2024-03-29,29
2024-03-30,0
2024-03-31,19
2024-04-01,11
2024-04-02,12
2024-04-03,18
2024-04-04,23
2024-04-05,14
2024-04-06,12
2024-04-07,0
2024-04-08,11
2024-04-09,12
2024-04-10,15
2024-04-11,0
2024-04-12,0
2024-04-13,0
2024-04-14,0
2024-04-15,21
2024-04-16,26
2024-04-17,25
2024-04-18,24
2024-04-19,0
2024-04-20,0
2024-04-21,0
2024-04-22,13
2024-04-23,21
2024-04-24,20
2024-04-25,18
2024-04-26,19
2024-04-27,0
2024-04-28,23
2024-04-29,19
2024-04-30,18
2024-05-01,16
2024-05-02,0
2024-05-03,11
2024-05-04,0
2024-05-05,0
2024-05-06,12
2024-05-07,0
2024-05-08,0
2024-05-09,23
2024-05-10,28
2024-05-11,22
2024-05-12,0
2024-05-13,14
2024-05-14,10
2024-05-15,14
2024-05-16,0
2024-05-17,14
2024-05-18,0
2024-05-19,0
2024-05-20,13
2024-05-21,19
2024-05-22,0
2024-05-23,12
2024-05-24,14
2024-05-25,0
2024-05-26,0
2024-05-27,0
2024-05-28,0
2024-05-29,13
2024-05-30,11
2024-05-31,21
2024-06-01,0
2024-06-02,0
2024-06-03,0
2024-06-04,11
2024-06-05,13
2024-06-06,19
2024-06-07,0
2024-06-08,0
2024-06-09,0
2024-06-10,0
2024-06-11,12
2024-06-12,0
2024-06-13,16
2024-06-14,14
2024-06-15,0
2024-06-16,0
2024-06-17,18
2024-06-18,13
2024-06-19,0
2024-06-20,19
2024-06-21,0
2024-06-22,0
2024-06-23,0
2024-06-24,0
2024-06-25,0
2024-06-26,20
2024-06-27,14
2024-06-28,0
2024-06-29,0
2024-06-30,13
2024-07-01,11
2024-07-02,0
2024-07-03,21
2024-07-04,0
2024-07-05,12
2024-07-06,20
2024-07-07,65
2024-07-08,52
2024-07-09,24
2024-07-10,14
2024-07-11,21
2024-07-12,13
2024-07-13,17
2024-07-14,0
2024-07-15,11
2024-07-16,16
2024-07-17,11
2024-07-18,11
2024-07-19,13
2024-07-20,18
2024-07-21,0
2024-07-22,12
2024-07-23,0
2024-07-24,0
2024-07-25,13
2024-07-26,0
2024-07-27,14
2024-07-28,15
2024-07-29,13
2024-07-30,19
2024-07-31,20
2024-08-01,19
2024-08-02,15
2024-08-03,16
2024-08-04,16
2024-08-05,0
2024-08-06,13
2024-08-07,0
2024-08-08,0
2024-08-09,0
2024-08-10,0
2024-08-11,0
2024-08-12,0
2024-08-13,12
2024-08-14,0
2024-08-15,13
2024-08-16,0
2024-08-17,14
2024-08-18,14
2024-08-19,0
2024-08-20,0
2024-08-21,15
2024-08-22,13
2024-08-23,0
2024-08-24,18
2024-08-25,16
2024-08-26,10
2024-08-27,13
2024-08-28,0
2024-08-29,15
2024-08-30,0
2024-08-31,13
2024-09-01,0
2024-09-02,0
2024-09-03,0
2024-09-04,0
2024-09-05,13
2024-09-06,0
2024-09-07,13
2024-09-08,0
2024-09-09,11
2024-09-10,0
2024-09-11,0
2024-09-12,0
2024-09-13,0
2024-09-14,14
2024-09-15,0
2024-09-16,0
