step,file,overlap_days,valid_ratio_days,overlap_corr,median_ratio_new_over_base,scale_new_to_base,ratio_cv,method
0,gt_the_whale_2022-01-01_2022-09-27.csv,,,,,1.0,,base_chunk
1,gt_the_whale_2022-08-29_2023-05-25.csv,30.0,30.0,0.9998282980763925,1.0,1.0,0.041849041288132036,overlap_ratio
2,gt_the_whale_2023-04-26_2024-01-20.csv,30.0,30.0,0.8384584496276253,10.916666666666668,0.09160305343511449,0.07532732833640468,overlap_ratio
3,gt_the_whale_2023-12-22_2024-09-16.csv,30.0,30.0,0.9955986050655882,12.736111111111114,0.07851690294438383,0.010209695964658967,overlap_ratio
4,gt_the_whale_2024-08-18_2025-05-14.csv,30.0,30.0,0.9985746532696551,14.171450617283956,0.07056440635515238,0.008513701013365902,overlap_ratio
5,gt_the_whale_2025-04-15_2026-01-09.csv,30.0,30.0,0.9997404177545678,14.989034306742646,0.06671543873578042,0.005889951104476193,overlap_ratio
6,gt_the_whale_2025-12-11_2026-05-31.csv,30.0,30.0,0.9977342418824948,18.178190542219806,0.05501097579967859,0.006077565062791758,overlap_ratio
