Time,vince mcmahon
2022-08-29,6
2022-08-30,6
2022-08-31,6
2022-09-01,5
2022-09-02,6
2022-09-03,7
2022-09-04,7
2022-09-05,9
2022-09-06,4
2022-09-07,5
2022-09-08,4
2022-09-09,4
2022-09-10,4
2022-09-11,5
2022-09-12,4
2022-09-13,3
2022-09-14,3
2022-09-15,4
2022-09-16,4
2022-09-17,4
2022-09-18,3
2022-09-19,2
2022-09-20,3
2022-09-21,4
2022-09-22,4
2022-09-23,4
2022-09-24,3
2022-09-25,4
2022-09-26,4
2022-09-27,3
2022-09-28,3
2022-09-29,3
2022-09-30,3
2022-10-01,4
2022-10-02,5
2022-10-03,3
2022-10-04,4
2022-10-05,4
2022-10-06,3
2022-10-07,3
2022-10-08,4
2022-10-09,4
2022-10-10,3
2022-10-11,4
2022-10-12,3
2022-10-13,4
2022-10-14,4
2022-10-15,5
2022-10-16,4
2022-10-17,3
2022-10-18,4
2022-10-19,4
2022-10-20,3
2022-10-21,4
2022-10-22,5
2022-10-23,3
2022-10-24,3
2022-10-25,4
2022-10-26,4
2022-10-27,3
2022-10-28,4
2022-10-29,3
2022-10-30,4
2022-10-31,3
2022-11-01,4
2022-11-02,4
2022-11-03,4
2022-11-04,4
2022-11-05,5
2022-11-06,4
2022-11-07,7
2022-11-08,5
2022-11-09,4
2022-11-10,4
2022-11-11,4
2022-11-12,4
2022-11-13,4
2022-11-14,4
2022-11-15,4
2022-11-16,3
2022-11-17,4
2022-11-18,4
2022-11-19,5
2022-11-20,5
2022-11-21,3
2022-11-22,4
2022-11-23,4
2022-11-24,4
2022-11-25,5
2022-11-26,5
2022-11-27,6
2022-11-28,4
2022-11-29,5
2022-11-30,3
2022-12-01,3
2022-12-02,3
2022-12-03,3
2022-12-04,5
2022-12-05,3
2022-12-06,4
2022-12-07,4
2022-12-08,5
2022-12-09,4
2022-12-10,4
2022-12-11,4
2022-12-12,4
2022-12-13,16
2022-12-14,25
2022-12-15,11
2022-12-16,10
2022-12-17,11
2022-12-18,6
2022-12-19,4
2022-12-20,6
2022-12-21,5
2022-12-22,5
2022-12-23,6
2022-12-24,9
2022-12-25,5
2022-12-26,6
2022-12-27,7
2022-12-28,5
2022-12-29,6
2022-12-30,4
2022-12-31,6
2023-01-01,6
2023-01-02,5
2023-01-03,6
2023-01-04,4
2023-01-05,15
2023-01-06,75
2023-01-07,36
2023-01-08,26
2023-01-09,14
2023-01-10,15
2023-01-11,67
2023-01-12,29
2023-01-13,43
2023-01-14,28
2023-01-15,34
2023-01-16,35
2023-01-17,14
2023-01-18,13
2023-01-19,14
2023-01-20,13
2023-01-21,11
2023-01-22,7
2023-01-23,7
2023-01-24,8
2023-01-25,7
2023-01-26,7
2023-01-27,8
2023-01-28,11
2023-01-29,18
2023-01-30,6
2023-01-31,5
2023-02-01,5
2023-02-02,5
2023-02-03,7
2023-02-04,8
2023-02-05,8
2023-02-06,5
2023-02-07,5
2023-02-08,5
2023-02-09,4
2023-02-10,5
2023-02-11,5
2023-02-12,6
2023-02-13,4
2023-02-14,4
2023-02-15,3
2023-02-16,4
2023-02-17,7
2023-02-18,17
2023-02-19,30
2023-02-20,9
2023-02-21,6
2023-02-22,5
2023-02-23,5
2023-02-24,6
2023-02-25,6
2023-02-26,6
2023-02-27,5
2023-02-28,5
2023-03-01,5
2023-03-02,4
2023-03-03,5
2023-03-04,5
2023-03-05,6
2023-03-06,5
2023-03-07,12
2023-03-08,10
2023-03-09,10
2023-03-10,10
2023-03-11,7
2023-03-12,7
2023-03-13,6
2023-03-14,5
2023-03-15,6
2023-03-16,5
2023-03-17,5
2023-03-18,5
2023-03-19,5
2023-03-20,5
2023-03-21,5
2023-03-22,5
2023-03-23,4
2023-03-24,5
2023-03-25,5
2023-03-26,6
2023-03-27,5
2023-03-28,7
2023-03-29,5
2023-03-30,6
2023-03-31,7
2023-04-01,49
2023-04-02,28
2023-04-03,98
2023-04-04,100
2023-04-05,60
2023-04-06,40
2023-04-07,43
2023-04-08,43
2023-04-09,26
2023-04-10,21
2023-04-11,18
2023-04-12,18
2023-04-13,11
2023-04-14,9
2023-04-15,11
2023-04-16,30
2023-04-17,8
2023-04-18,7
2023-04-19,6
2023-04-20,6
2023-04-21,5
2023-04-22,8
2023-04-23,8
2023-04-24,7
2023-04-25,9
2023-04-26,8
2023-04-27,8
2023-04-28,6
2023-04-29,7
2023-04-30,6
2023-05-01,6
2023-05-02,5
2023-05-03,5
2023-05-04,4
2023-05-05,5
2023-05-06,6
2023-05-07,6
2023-05-08,5
2023-05-09,4
2023-05-10,4
2023-05-11,5
2023-05-12,5
2023-05-13,5
2023-05-14,6
2023-05-15,4
2023-05-16,6
2023-05-17,5
2023-05-18,6
2023-05-19,5
2023-05-20,4
2023-05-21,5
2023-05-22,4
2023-05-23,5
2023-05-24,4
2023-05-25,4
