Time,cheap flights
2023-04-26,78
2023-04-27,72
2023-04-28,67
2023-04-29,72
2023-04-30,77
2023-05-01,72
2023-05-02,78
2023-05-03,78
2023-05-04,76
2023-05-05,68
2023-05-06,70
2023-05-07,75
2023-05-08,77
2023-05-09,78
2023-05-10,79
2023-05-11,75
2023-05-12,75
2023-05-13,70
2023-05-14,72
2023-05-15,73
2023-05-16,86
2023-05-17,80
2023-05-18,83
2023-05-19,75
2023-05-20,77
2023-05-21,81
2023-05-22,80
2023-05-23,84
2023-05-24,79
2023-05-25,81
2023-05-26,73
2023-05-27,76
2023-05-28,70
2023-05-29,76
2023-05-30,79
2023-05-31,79
2023-06-01,78
2023-06-02,73
2023-06-03,74
2023-06-04,80
2023-06-05,76
2023-06-06,100
2023-06-07,88
2023-06-08,84
2023-06-09,78
2023-06-10,73
2023-06-11,76
2023-06-12,87
2023-06-13,85
2023-06-14,82
2023-06-15,79
2023-06-16,78
2023-06-17,74
2023-06-18,73
2023-06-19,77
2023-06-20,83
2023-06-21,80
2023-06-22,80
2023-06-23,75
2023-06-24,74
2023-06-25,78
2023-06-26,81
2023-06-27,92
2023-06-28,86
2023-06-29,81
2023-06-30,72
2023-07-01,72
2023-07-02,74
2023-07-03,71
2023-07-04,76
2023-07-05,74
2023-07-06,84
2023-07-07,73
2023-07-08,77
2023-07-09,78
2023-07-10,76
2023-07-11,79
2023-07-12,80
2023-07-13,75
2023-07-14,72
2023-07-15,72
2023-07-16,75
2023-07-17,73
2023-07-18,80
2023-07-19,77
2023-07-20,73
2023-07-21,70
2023-07-22,64
2023-07-23,68
2023-07-24,72
2023-07-25,75
2023-07-26,71
2023-07-27,72
2023-07-28,68
2023-07-29,70
2023-07-30,65
2023-07-31,70
2023-08-01,77
2023-08-02,73
2023-08-03,73
2023-08-04,67
2023-08-05,64
2023-08-06,66
2023-08-07,68
2023-08-08,73
2023-08-09,70
2023-08-10,69
2023-08-11,65
2023-08-12,61
2023-08-13,65
2023-08-14,68
2023-08-15,67
2023-08-16,70
2023-08-17,65
2023-08-18,63
2023-08-19,62
2023-08-20,62
2023-08-21,63
2023-08-22,69
2023-08-23,71
2023-08-24,60
2023-08-25,64
2023-08-26,60
2023-08-27,61
2023-08-28,61
2023-08-29,63
2023-08-30,63
2023-08-31,62
2023-09-01,61
2023-09-02,59
2023-09-03,59
2023-09-04,66
2023-09-05,63
2023-09-06,63
2023-09-07,63
2023-09-08,58
2023-09-09,59
2023-09-10,62
2023-09-11,62
2023-09-12,64
2023-09-13,62
2023-09-14,61
2023-09-15,56
2023-09-16,59
2023-09-17,59
2023-09-18,65
2023-09-19,67
2023-09-20,61
2023-09-21,63
2023-09-22,57
2023-09-23,59
2023-09-24,60
2023-09-25,61
2023-09-26,64
2023-09-27,63
2023-09-28,67
2023-09-29,58
2023-09-30,59
2023-10-01,60
2023-10-02,62
2023-10-03,67
2023-10-04,70
2023-10-05,63
2023-10-06,59
2023-10-07,59
2023-10-08,59
2023-10-09,63
2023-10-10,62
2023-10-11,61
2023-10-12,59
2023-10-13,54
2023-10-14,55
2023-10-15,58
2023-10-16,59
2023-10-17,63
2023-10-18,60
2023-10-19,57
2023-10-20,55
2023-10-21,57
2023-10-22,59
2023-10-23,58
2023-10-24,61
2023-10-25,60
2023-10-26,61
2023-10-27,53
2023-10-28,49
2023-10-29,52
2023-10-30,54
2023-10-31,57
2023-11-01,60
2023-11-02,62
2023-11-03,61
2023-11-04,58
2023-11-05,59
2023-11-06,64
2023-11-07,68
2023-11-08,63
2023-11-09,61
2023-11-10,60
2023-11-11,57
2023-11-12,59
2023-11-13,60
2023-11-14,65
2023-11-15,65
2023-11-16,62
2023-11-17,56
2023-11-18,59
2023-11-19,56
2023-11-20,55
2023-11-21,57
2023-11-22,55
2023-11-23,49
2023-11-24,57
2023-11-25,59
2023-11-26,62
2023-11-27,66
2023-11-28,81
2023-11-29,73
2023-11-30,60
2023-12-01,57
2023-12-02,62
2023-12-03,58
2023-12-04,60
2023-12-05,67
2023-12-06,61
2023-12-07,56
2023-12-08,54
2023-12-09,60
2023-12-10,61
2023-12-11,56
2023-12-12,59
2023-12-13,58
2023-12-14,55
2023-12-15,51
2023-12-16,52
2023-12-17,52
2023-12-18,52
2023-12-19,57
2023-12-20,55
2023-12-21,54
2023-12-22,52
2023-12-23,51
2023-12-24,49
2023-12-25,52
2023-12-26,70
2023-12-27,71
2023-12-28,63
2023-12-29,65
2023-12-30,62
2023-12-31,53
2024-01-01,58
2024-01-02,69
2024-01-03,79
2024-01-04,73
2024-01-05,69
2024-01-06,69
2024-01-07,71
2024-01-08,67
2024-01-09,69
2024-01-10,69
2024-01-11,66
2024-01-12,67
2024-01-13,63
2024-01-14,64
2024-01-15,65
2024-01-16,67
2024-01-17,67
2024-01-18,63
2024-01-19,60
2024-01-20,67
