"query","search interest","increase percent"
"ramsay hunt syndrome",6,"Breakout"
"justin bieber",5,"450%"
"full moon june 2022",1,"300%"
"britney spears",2,"300%"
"dall e",3,"250%"
"dall e mini",2,"250%"
"ezra miller",2,"180%"
"bitcoin price",5,"170%"
"juneteenth",7,"150%"
"jurassic world dominion",3,"150%"
"jurassic world",9,"120%"
"bath and body works",3,"80%"
"ufc",5,"80%"
"severe thunderstorm warning",1,"70%"
"jurassic park",4,"70%"
"adam sandler",2,"70%"
"dow jones",7,"60%"
"dow jones today",2,"50%"
"fathers day",5,"40%"
"cnbc",1,"20%"
"victoria secret",2,"20%"
"atlanta braves",1,"20%"
"nba finals",11,"20%"
"restaurants near me",8,"10%"
"dicks sporting goods",2,"10%"
"cnn",7,"10%"
"traductor",9,"10%"
"father's day 2022",6,"8%"
"accuweather",2,"7%"
"tesla stock",2,"7%"
"movies near me",1,"6%"
"yahoo",21,"6%"
"weather radar",4,"6%"
"irs",4,"6%"
"mlb",13,"6%"
"phillies",3,"5%"
"nba",36,"5%"
"fox news",10,"5%"
"roblox",8,"4%"
"weather",100,"4%"
"sam's club",3,"4%"
"golden state warriors",3,"4%"
"mlb standings",2,"4%"
"priceline",1,"4%"
"pizza near me",3,"3%"
"yankees",5,"2%"
"credit one",2,"2%"
"craigslist",18,"2%"
"wordle today",4,"2%"
"mcdonalds",4,"1%"
