"query","search interest","increase percent"
"blue ivy",2,"2,300%"
"andrew wiggins",2,"800%"
"yellowstone flooding",3,"400%"
"celtics vs warriors",7,"350%"
"flag day",3,"350%"
"warriors vs celtics",6,"300%"
"celtics",22,"300%"
"warriors",22,"300%"
"nba scores",4,"250%"
"golden state warriors",4,"250%"
"severe thunderstorm warning",2,"250%"
"yellowstone national park flooding",1,"250%"
"flooding yellowstone national park",1,"200%"
"celtics game",3,"200%"
"yellowstone national park",3,"200%"
"warriors game",3,"180%"
"boston celtics",3,"180%"
"excessive heat warning",2,"150%"
"stephen curry",1,"150%"
"jayson tatum",1,"140%"
"severe thunderstorm watch",1,"110%"
"nba playoffs",2,"110%"
"nba finals",11,"100%"
"nba",36,"90%"
"bts",2,"80%"
"powerball",2,"80%"
"atlanta braves",1,"80%"
"mlb scores",2,"50%"
"amber heard",3,"40%"
"jeff hardy",1,"30%"
"espn",5,"30%"
"mlb",7,"20%"
"full moon june 2022",2,"20%"
"news",33,"20%"
"chick fil a",2,"10%"
"ups tracking",2,"10%"
"capital one",3,"10%"
"credit karma",1,"10%"
"spectrum",3,"10%"
"buffalo wild wings",1,"10%"
"wells fargo",4,"9%"
"fedex tracking",2,"9%"
"dow jones today",2,"9%"
"facebook login",2,"7%"
"juneteenth",5,"7%"
"fathers day",4,"7%"
"english to spanish",4,"7%"
"blooket",1,"7%"
"google flights",2,"6%"
"sports",7,"6%"
