"query","search interest","increase percent"
"ramsay hunt syndrome",10,"Breakout"
"cooper noriega",4,"3,750%"
"piety",3,"2,550%"
"justin bieber paralyzed",1,"1,150%"
"britney spears",4,"850%"
"rebel wilson",2,"650%"
"the quarry",2,"450%"
"justin bieber",6,"450%"
"jan 6 hearings",3,"450%"
"hustle",6,"300%"
"jurassic world dominion",5,"300%"
"dall e mini",2,"200%"
"jurassic world",12,"170%"
"steph curry",3,"170%"
"liv golf",7,"130%"
"bath and body works",3,"110%"
"stephen curry",1,"110%"
"phillies",4,"90%"
"boston celtics",5,"90%"
"celtics",29,"80%"
"jurassic park",4,"80%"
"warriors vs celtics",8,"80%"
"popeyes",3,"80%"
"celtics vs warriors",8,"70%"
"yankees",6,"60%"
"nba scores",5,"60%"
"warriors",25,"60%"
"movies near me",2,"60%"
"dodgers",4,"50%"
"golden state warriors",4,"50%"
"nba",46,"50%"
"atlanta braves",1,"50%"
"breakfast near me",2,"40%"
"nba playoffs",4,"40%"
"when is father's day",3,"40%"
"nba finals",12,"40%"
"mlb scores",4,"30%"
"pizza hut",5,"30%"
"nba games",2,"30%"
"dominos",6,"30%"
"pizza near me",4,"20%"
"father's day 2022",7,"20%"
"chick fil a",4,"20%"
"food near me",13,"20%"
"restaurants near me",8,"20%"
"mlb",13,"20%"
"costco",14,"10%"
"espn",8,"10%"
"fathers day",5,"10%"
"hobby lobby",3,"10%"
