"query","search interest","increase percent"
"women’s march madness",13,"Breakout"
"men’s march madness",13,"Breakout"
"val kilmer",14,"Breakout"
"cory booker",5,"4,850%"
"nintendo switch 2",4,"750%"
"copa del rey",1,"600%"
"dodgers vs phillies",1,"550%"
"wisconsin supreme court race",2,"550%"
"minecraft movie",13,"450%"
"dennis rodman",1,"400%"
"stock market",14,"400%"
"stock market today",4,"350%"
"s&p 500",5,"200%"
"sp500",2,"200%"
"premier league",3,"200%"
"nasdaq",3,"200%"
"dow jones",13,"190%"
"djia",2,"180%"
"march madness",35,"140%"
"voo",2,"140%"
"uconn women's basketball",2,"120%"
"dow jones today",4,"120%"
"real madrid",6,"110%"
"cnbc",2,"100%"
"warriors",6,"80%"
"qqq",1,"80%"
"gold price today",2,"70%"
"yahoo finance",3,"70%"
"nvidia stock",2,"70%"
"nba standings",3,"50%"
"white lotus",9,"50%"
"tesla stock",6,"50%"
"bitcoin price",3,"50%"
"trump",26,"50%"
"mobland",1,"50%"
"sephora",4,"40%"
"sydney sweeney",1,"40%"
"women's march madness",2,"40%"
"red sox",4,"40%"
"tsla stock",2,"40%"
"mlb scores",2,"40%"
"dodgers",8,"30%"
"tiktok",11,"30%"
"ticketmaster",2,"30%"
"lakers",8,"30%"
"tesla stock price",2,"30%"
"blooket",9,"30%"
"turbotax",4,"20%"
"detroit tigers",1,"20%"
"cnn",7,"20%"
