"query","search interest","increase percent"
"rosa bonheur",6,"Breakout"
"baker mayfield",2,"1,150%"
"ncaa scores",4,"600%"
"deep water",1,"400%"
"davante adams",1,"400%"
"ncaa basketball scores",2,"350%"
"notre dame basketball",1,"300%"
"first day of spring 2022",1,"250%"
"march madness",14,"250%"
"ncaa tournament",8,"200%"
"deshaun watson",3,"160%"
"ncaa basketball",8,"150%"
"march madness bracket",3,"100%"
"arizona basketball",1,"90%"
"march madness 2022",3,"90%"
"ncaa bracket",5,"80%"
"st patrick's day",4,"70%"
"indian wells",2,"70%"
"ucla basketball",1,"60%"
"espn",8,"50%"
"spider man no way home",1,"40%"
"freddie freeman",1,"40%"
"nhl",3,"30%"
"chicago bears",1,"30%"
"easter 2022",2,"30%"
"duke basketball",1,"30%"
"green bay packers",0,"30%"
"nfl",8,"30%"
"food near me",8,"30%"
"scott hall",2,"20%"
"restaurants near me",5,"20%"
"lowes",8,"20%"
"disney plus",2,"20%"
"ace hardware",1,"20%"
"rockauto",1,"20%"
"dsw",1,"10%"
"subway",2,"10%"
"walmart",21,"10%"
"sports",9,"10%"
"breakfast near me",1,"10%"
"roblox",4,"10%"
"google maps",5,"10%"
"ufc",2,"10%"
"twitter",10,"10%"
"wordle today",4,"10%"
"yahoo",14,"10%"
"autozone",2,"9%"
"target",10,"9%"
"maps",7,"9%"
"nba",13,"8%"
