"query","search interest","increase percent"
"alan jackson",3,"1,850%"
"lainey wilson",2,"1,350%"
"marine corps birthday",1,"500%"
"cma awards 2022",2,"400%"
"lakers",3,"150%"
"veterans day 2022",3,"150%"
"veterans day",10,"150%"
"olivia dunne",1,"130%"
"nba scores",2,"130%"
"black panther",4,"90%"
"hurricane nicole tracker",1,"90%"
"wakanda forever",2,"80%"
"vans",1,"70%"
"love is blind season 3",1,"60%"
"nba",11,"60%"
"nfl scores",1,"40%"
"lauren boebert election results",3,"40%"
"nfl",9,"30%"
"boebert election",5,"30%"
"hurricane nicole",10,"30%"
"restaurants near me",3,"30%"
"abcya",1,"30%"
"dow jones today",2,"30%"
"adam frisch",1,"20%"
"nikita dragun",2,"20%"
"dominos",2,"20%"
"sophia rosing",1,"20%"
"blooket",6,"20%"
"amazon",34,"20%"
"weather",59,"20%"
"lauren boebert",9,"20%"
"walmart",18,"20%"
"food near me",5,"20%"
"t mobile",2,"20%"
"old navy",2,"20%"
"gimkit",1,"10%"
"bitcoin price",2,"10%"
"hurricane tracker",3,"10%"
"bing",1,"10%"
"netflix",7,"10%"
"costco",7,"10%"
"weather channel",2,"10%"
"pizza hut",2,"10%"
"prodigy",2,"10%"
"cool math games",2,"10%"
"chase",6,"10%"
"chick fil a",2,"10%"
"dow jones",4,"10%"
"weather tomorrow",4,"10%"
"target",9,"10%"
