"query","search interest","increase percent"
"weather",100,"4%"
"google",75,"-3%"
"amazon",59,"0%"
"youtube",55,"-5%"
"news",45,"-1%"
"facebook",44,"-3%"
"nba",36,"5%"
"walmart",35,"1%"
"wordle",35,"0%"
"yahoo",21,"6%"
"apple",20,"-10%"
"translate",20,"-10%"
"gmail",19,"-10%"
"home depot",18,"-1%"
"calculator",18,"-5%"
"craigslist",18,"2%"
"instagram",17,"-7%"
"warriors",17,"-8%"
"target",17,"-8%"
"celtics",17,"-20%"
"flights",16,"-5%"
"twitter",15,"-4%"
"netflix",14,"-2%"
"stranger things",14,"-40%"
"costco",14,"-2%"
"mlb",13,"6%"
"maps",12,"-1%"
"food near me",12,"-2%"
"lowes",12,"-6%"
"nba finals",11,"20%"
"ups",10,"-1%"
"top gun",10,"-30%"
"google translate",10,"-8%"
"cvs",10,"-2%"
"chase",10,"-9%"
"fox news",10,"5%"
"walgreens",10,"-6%"
"usps",9,"0%"
"yahoo mail",9,"-3%"
"jurassic world",9,"120%"
"traductor",9,"10%"
"zillow",9,"-3%"
"ebay",9,"-8%"
"roblox",8,"4%"
"amazon prime",8,"-6%"
"google maps",8,"0%"
"restaurants near me",8,"10%"
"juneteenth",7,"150%"
"weather tomorrow",7,"-5%"
"dow jones",7,"60%"
