"query","search interest","increase percent"
"chinese spy balloon",2,"2,300%"
"did the groundhog see his shadow 2023",2,"1,850%"
"punxsutawney phil",3,"1,550%"
"groundhog day 2023",8,"1,350%"
"nathan chasing horse",1,"1,300%"
"groundhog day",13,"1,100%"
"netflix password sharing",1,"500%"
"meta stock",2,"500%"
"tom brady",10,"400%"
"wakanda forever",2,"190%"
"goog stock",1,"160%"
"blooket",11,"90%"
"blooket join",2,"90%"
"dow jones",6,"80%"
"ticketmaster",2,"70%"
"80 for brady",2,"70%"
"unblocked games",4,"60%"
"dow jones today",2,"60%"
"prodigy",3,"60%"
"s&p 500",1,"60%"
"gimkit",3,"60%"
"kahoot",6,"50%"
"yahoo finance",2,"50%"
"cool math games",5,"50%"
"abcya",2,"50%"
"usps tracking",5,"40%"
"mega millions",2,"40%"
"quizlet live",1,"40%"
"capital one",5,"40%"
"fedex tracking",3,"40%"
"hogwarts legacy",3,"40%"
"wells fargo",8,"30%"
"ups tracking",3,"30%"
"chick fil a",3,"30%"
"tesla stock",2,"30%"
"pbs kids",1,"30%"
"google classroom",8,"30%"
"epic",6,"30%"
"google docs",11,"30%"
"where's my refund",6,"30%"
"translate english to spanish",3,"30%"
"snake game",1,"30%"
"fidelity",4,"30%"
"snake",8,"20%"
"chase bank",2,"20%"
"ixl",2,"20%"
"wells fargo login",1,"20%"
"scratch",4,"20%"
"canva",4,"20%"
"google drive",5,"20%"
