"query","search interest","increase percent"
"texas school shooting",9,"Breakout"
"ray liotta",10,"Breakout"
"texas shooting",15,"Breakout"
"uvalde",12,"Breakout"
"salvador ramos",4,"Breakout"
"school shooting",15,"Breakout"
"shooting in texas",3,"4,150%"
"uvalde texas",3,"4,050%"
"uvalde tx",3,"3,900%"
"uvalde shooter",2,"3,900%"
"texas elementary school shooting",2,"3,250%"
"uvalde school shooting",2,"3,100%"
"ray liotta cause of death",1,"2,200%"
"atoll",1,"1,150%"
"josh duggar",1,"550%"
"gorr the god butcher",0,"500%"
"stranger things",14,"450%"
"stranger things season 4",5,"400%"
"obi wan kenobi",2,"350%"
"memorial day",21,"350%"
"champions league",3,"300%"
"french open",3,"300%"
"top gun",11,"300%"
"top gun maverick",3,"250%"
"real madrid",3,"200%"
"thor love and thunder",1,"200%"
"tom cruise",2,"150%"
"texas",45,"120%"
"celtics game",2,"90%"
"memorial day 2022",4,"60%"
"celtics",12,"60%"
"boston celtics",2,"60%"
"celtics vs heat",2,"60%"
"miami heat",3,"50%"
"johnny depp",11,"20%"
"dicks sporting goods",1,"20%"
"cnn",5,"10%"
"disney plus",2,"10%"
"sonic",5,"10%"
"mcdonalds",3,"10%"
"ikea",3,"10%"
"dollar general",2,"10%"
"costco",9,"7%"
"dominos",3,"7%"
"menards",2,"7%"
"best buy",5,"6%"
"paramount plus",1,"6%"
"harbor freight",2,"5%"
"news",32,"5%"
"wordle today",3,"5%"
