"query","search interest","increase percent"
"boebert",8,"Breakout"
"boebert election",3,"Breakout"
"lauren boebert",5,"Breakout"
"arizona election results",4,"Breakout"
"senate election results",5,"Breakout"
"house election results",3,"Breakout"
"nevada election results",2,"4,400%"
"lauren boebert election results",1,"4,000%"
"arizona election results 2022",2,"3,850%"
"kevin conroy",1,"3,650%"
"arizona governor race",3,"3,500%"
"georgia election results",3,"3,000%"
"united states elections, 2022",1,"2,950%"
"colorado election results",2,"2,900%"
"us election results",2,"2,900%"
"election results 2022",28,"2,850%"
"kari lake election results",1,"2,850%"
"2022 election results",29,"2,800%"
"election results",83,"2,350%"
"az election results",1,"2,350%"
"nevada senate race",1,"2,300%"
"who won the election",1,"2,050%"
"az governor race",1,"2,000%"
"fox news election results",2,"1,900%"
"cnn election results",1,"1,800%"
"oregon election results",1,"1,550%"
"michigan election results",2,"1,450%"
"texas election results",2,"1,300%"
"georgia senate race",1,"1,150%"
"midterm results",3,"1,100%"
"midterm election results",1,"1,100%"
"pa election results",1,"1,000%"
"oregon governor race",1,"950%"
"kari lake",5,"900%"
"2022 election",36,"850%"
"midterm elections 2022",4,"850%"
"election",100,"800%"
"veterans day",15,"650%"
"nikita dragun",1,"650%"
"warnock",2,"600%"
"herschel walker",2,"600%"
"midterm elections",6,"550%"
"voting results",3,"550%"
"voting results 2022",1,"500%"
"stacey abrams",1,"450%"
"elections",17,"450%"
"poll results",1,"400%"
"ftx",2,"350%"
"fetterman",3,"300%"
"ron desantis",1,"250%"
