"query","search interest","increase percent"
"chinese balloon",7,"Breakout"
"spy balloon",6,"Breakout"
"chinese spy balloon",3,"3,800%"
"cindy williams",2,"2,550%"
"china spy balloon",2,"1,800%"
"groundhog day 2023",4,"1,550%"
"groundhog day",7,"1,450%"
"pro bowl",5,"950%"
"kyrie irving",3,"450%"
"tom brady",6,"250%"
"sean payton",1,"110%"
"where's my refund",5,"100%"
"80 for brady",2,"80%"
"super bowl 2023",12,"70%"
"when is the super bowl",2,"70%"
"bengals vs chiefs",4,"70%"
"bubble tea",2,"70%"
"hogwarts legacy",3,"70%"
"chiefs vs bengals",4,"70%"
"patrick mahomes",3,"60%"
"kansas city chiefs",3,"60%"
"superbowl",6,"60%"
"chiefs",14,"60%"
"premier league",3,"40%"
"kohl's",3,"30%"
"powerball",7,"30%"
"bengals",13,"20%"
"the last of us",7,"20%"
"tiempo",9,"10%"
"usps tracking",4,"10%"
"cincinnati bengals",1,"10%"
"fedex tracking",2,"10%"
"clima",5,"10%"
"netflix",16,"10%"
"fidelity",3,"9%"
"lakers",7,"9%"
"turbotax",6,"9%"
"nike",10,"8%"
"wells fargo",6,"7%"
"american airlines",4,"7%"
"you people",6,"6%"
"nba",22,"6%"
"nets",2,"6%"
"google docs",9,"6%"
"macys",3,"5%"
"victoria secret",2,"4%"
"irs",7,"3%"
"craigslist",14,"3%"
"chat gpt",3,"3%"
"youtube",58,"3%"
