"query","search interest","increase percent"
"artistic swimming olympics",37,"Breakout"
"capisce",3,"4,850%"
"capisce meaning",1,"2,400%"
"stock market today",4,"2,050%"
"dow jones",7,"1,950%"
"stock market",15,"1,800%"
"natación artística olimpiadas",1,"1,700%"
"dow",11,"1,550%"
"dow jones today",2,"1,300%"
"stock market crash",2,"1,250%"
"djia",1,"1,100%"
"japan stock market",1,"1,100%"
"adin ross",1,"1,050%"
"guadalajara la galaxy",1,"1,050%"
"nasdaq",2,"900%"
"nvda stock",2,"750%"
"nvda",3,"700%"
"s&p 500",3,"700%"
"nvidia stock",3,"600%"
"sp500",1,"500%"
"yahoo finance",2,"500%"
"charles schwab",2,"450%"
"apple stock",1,"400%"
"amazon stock",1,"350%"
"bangladesh",2,"300%"
"google finance",1,"300%"
"house of the dragon",7,"250%"
"fidelity",4,"250%"
"bitcoin price",4,"250%"
"btc",2,"200%"
"chivas vs galaxy",1,"200%"
"jordan chiles",2,"200%"
"hurricane debby",10,"200%"
"bitcoin",6,"190%"
"btc price",1,"160%"
"outlook",5,"160%"
"hurricane debby path",1,"150%"
"ups tracking",2,"140%"
"linkedin",4,"120%"
"tim walz",2,"110%"
"usps",7,"100%"
"iran",4,"90%"
"msn",3,"90%"
"usps tracking",2,"80%"
"chat gpt",2,"70%"
"gabby thomas",1,"70%"
"bank of america",3,"60%"
"google docs",2,"60%"
"wells fargo",4,"60%"
"google maps",4,"60%"
