"query","search interest","increase percent"
"tornado watch",2,"650%"
"mavericks vs warriors",2,"650%"
"severe thunderstorm warning",3,"600%"
"obi wan kenobi",5,"400%"
"kenobi",9,"300%"
"golden state warriors",5,"250%"
"warriors",21,"200%"
"stranger things",25,"200%"
"mavs",5,"200%"
"stranger things season 4",9,"190%"
"dallas mavericks",2,"170%"
"warriors vs mavs",2,"170%"
"liga mx",2,"170%"
"johnny depp amber heard",8,"120%"
"camille vasquez",2,"120%"
"top gun",17,"100%"
"top gun maverick",5,"100%"
"johnny depp",25,"80%"
"memorial day",19,"70%"
"amber heard",17,"60%"
"millie bobby brown",1,"60%"
"dodgers",3,"50%"
"texas roadhouse",2,"40%"
"ray liotta cause of death",5,"40%"
"disney plus",4,"40%"
"french open 2022",1,"30%"
"red sox",3,"30%"
"dominos",5,"30%"
"french open",4,"30%"
"nhl scores",2,"30%"
"memorial day 2022",4,"30%"
"restaurants near me",7,"30%"
"netflix",14,"30%"
"andy fletcher",2,"30%"
"harbor freight",3,"20%"
"weather tomorrow",9,"20%"
"pizza hut",4,"20%"
"wells fargo",7,"20%"
"gamestop",2,"20%"
"tiempo mañana",1,"20%"
"sam's club",3,"20%"
"food near me",11,"20%"
"nba playoffs",6,"20%"
"taco bell",5,"20%"
"nhl",8,"10%"
"mcdonalds",4,"10%"
"home depot",17,"10%"
"walmart near me",3,"10%"
"lowes",11,"10%"
"target",14,"10%"
