"query","search interest","increase percent"
"hurricane ian tracker",13,"3,950%"
"ned fulmer",2,"2,600%"
"national sons day 2022",2,"2,150%"
"hurricane ian update",3,"2,050%"
"national daughters day",3,"2,000%"
"hurricane ian",47,"1,900%"
"ian hurricane",45,"1,900%"
"cowboys vs giants",3,"1,900%"
"tropical storm warning",2,"1,700%"
"ian path",6,"1,550%"
"ian",62,"1,200%"
"monday night football",4,"1,100%"
"bills vs dolphins",1,"600%"
"cowboys",19,"550%"
"broncos",7,"500%"
"nfl scores",19,"400%"
"49ers",7,"400%"
"denver broncos",2,"400%"
"tampa bay buccaneers",2,"400%"
"hurricane tracker",20,"400%"
"packers",9,"350%"
"giants",12,"350%"
"dallas cowboys",6,"350%"
"dolphins",7,"300%"
"hurricane",85,"250%"
"nfl games today",2,"250%"
"miami dolphins",3,"250%"
"green bay packers",3,"250%"
"nfl games",8,"250%"
"chicago bears",2,"250%"
"nfl standings",2,"200%"
"buffalo bills",3,"190%"
"raiders",5,"190%"
"florida hurricane",15,"180%"
"eagles",8,"180%"
"house of the dragon",4,"170%"
"nfl",66,"170%"
"hurricane florida",15,"170%"
"rosh hashanah",6,"170%"
"detroit lions",2,"160%"
"bears",7,"150%"
"weather channel",7,"140%"
"noaa hurricane",4,"130%"
"noaa",7,"130%"
"national hurricane center",4,"130%"
"nfl schedule",6,"100%"
"rosh hashanah 2022",2,"100%"
"tom brady",3,"90%"
"dahmer",44,"50%"
"jeffrey dahmer",28,"40%"
