"query","search interest","increase percent"
"feliz dia de la madre",1,"1,300%"
"happy mothers day images",2,"700%"
"happy mothers day",7,"650%"
"bivol",6,"400%"
"candy hulu",1,"350%"
"ja morant",2,"350%"
"mothers day quotes",2,"350%"
"tony ferguson",1,"350%"
"vicky white",2,"300%"
"canelo",10,"300%"
"grizzlies vs warriors",1,"300%"
"canelo vs bivol",4,"300%"
"liga mx",2,"250%"
"warriors",7,"190%"
"casey white",1,"160%"
"golden state warriors",1,"150%"
"mother's day",21,"150%"
"chris paul",1,"140%"
"ufc 274",2,"140%"
"ufc",6,"110%"
"bitcoin price",2,"90%"
"yankees",3,"60%"
"celtics",4,"50%"
"memorial day 2022",1,"50%"
"google flights",2,"40%"
"russia",3,"30%"
"milwaukee bucks",1,"30%"
"southwest airlines",2,"30%"
"airbnb",3,"30%"
"home depot",11,"30%"
"google",58,"30%"
"nba scores",4,"30%"
"costco",9,"30%"
"wordle",29,"30%"
"hulu",3,"30%"
"shein",3,"30%"
"google docs",5,"30%"
"docs",6,"30%"
"indeed",4,"30%"
"wordle today",4,"30%"
"flights",9,"30%"
"google slides",2,"30%"
"google drive",3,"20%"
"nba",25,"20%"
"google classroom",5,"20%"
"snake game",2,"20%"
"united airlines",1,"20%"
"target",10,"20%"
"linkedin",4,"20%"
"dodgers",2,"20%"
