"query","search interest","increase percent"
"men’s march madness",38,"Breakout"
"dire wolf",10,"Breakout"
"siobhan",3,"1,900%"
"arsenal vs real madrid",3,"1,350%"
"uefa champions league",2,"750%"
"champions league",9,"700%"
"freeze warning",2,"500%"
"houston vs florida",5,"400%"
"masters",16,"130%"
"sp500",4,"120%"
"dow",35,"120%"
"dow jones today",8,"120%"
"s&p 500",9,"100%"
"djia",4,"100%"
"google classroom",4,"100%"
"clever",4,"100%"
"dow jones",24,"90%"
"s and p 500",2,"90%"
"tpt",1,"90%"
"stock market today",8,"90%"
"dow jones industrial average",2,"90%"
"yahoo finance",4,"90%"
"kahoot",6,"90%"
"nasdaq",5,"80%"
"nvda stock",3,"80%"
"khan academy",1,"80%"
"spy stock",2,"80%"
"white lotus",15,"70%"
"google finance",2,"70%"
"cnbc",3,"70%"
"stock market",22,"70%"
"nvidia stock",4,"70%"
"tsla",4,"70%"
"quizlet",5,"60%"
"google docs",8,"60%"
"apple stock",3,"60%"
"blooket",12,"50%"
"crumbl cookies",2,"50%"
"gimkit",5,"50%"
"outlook",9,"50%"
"timer",6,"50%"
"canva",10,"50%"
"spy",5,"50%"
"tesla stock",8,"40%"
"chat gpt",14,"40%"
"tesla stock price",2,"30%"
"charles schwab",2,"30%"
"google drive",3,"30%"
"math playground",2,"30%"
"real madrid",9,"30%"
