"query","search interest","increase percent"
"shirk",3,"2,900%"
"did the groundhog see his shadow",6,"2,350%"
"did the groundhog see his shadow 2023",4,"2,050%"
"punxsutawney phil",6,"1,000%"
"wind chill warning",1,"800%"
"groundhog day 2023",18,"750%"
"groundhog",42,"600%"
"groundhog day",28,"550%"
"ilhan omar",1,"300%"
"powerball numbers",4,"250%"
"real madrid",3,"250%"
"celtics",4,"170%"
"comet tonight",2,"150%"
"powerball",9,"140%"
"warriors",5,"110%"
"meta stock",3,"90%"
"green comet",7,"80%"
"twitch",3,"20%"
"blooket",10,"20%"
"ncedcloud",1,"20%"
"cool math games",5,"20%"
"tesla stock",2,"10%"
"bitcoin price",2,"10%"
"facebook",48,"10%"
"yahoo mail",9,"10%"
"usps tracking",5,"10%"
"prodigy",3,"10%"
"gimkit",3,"10%"
"snake",8,"10%"
"fedex tracking",3,"10%"
"urban dictionary",2,"10%"
"epic",6,"10%"
"restaurants near me",4,"10%"
"chatgpt",6,"10%"
"scratch",3,"10%"
"tsla stock",1,"10%"
"hogwarts legacy",3,"10%"
"kahoot",6,"9%"
"chat gpt",4,"9%"
"calculator",32,"9%"
"cnn",7,"9%"
"abcya",2,"8%"
"zillow",8,"8%"
"solitaire",5,"7%"
"timer",5,"7%"
"michaels",2,"7%"
"youtube",61,"6%"
"nba standings",2,"6%"
"food near me",8,"6%"
"traductor",12,"6%"
