"query","search interest","increase percent"
"saute",5,"2,750%"
"saute definition",1,"950%"
"st peters college",2,"750%"
"st peter's university",1,"500%"
"lia thomas",2,"500%"
"kentucky basketball",6,"400%"
"juju smith schuster",1,"350%"
"saint peter's basketball",1,"300%"
"murray state basketball",2,"200%"
"creighton basketball",2,"200%"
"ucla basketball",2,"180%"
"auburn basketball",2,"180%"
"aaron rodgers",2,"180%"
"davante adams",7,"180%"
"arnold schwarzenegger",2,"160%"
"alabama basketball",2,"130%"
"packers",3,"100%"
"deshaun watson",10,"100%"
"duke basketball",2,"90%"
"cleveland browns",2,"90%"
"ncaa basketball scores",6,"80%"
"ncaa scores",9,"80%"
"holi",5,"80%"
"texas tech basketball",1,"70%"
"green bay packers",1,"60%"
"baker mayfield",3,"40%"
"college basketball scores",2,"40%"
"google maps",9,"20%"
"dominos",4,"20%"
"nfl",14,"20%"
"zawe ashton",1,"20%"
"pizza near me",4,"20%"
"ncaa basketball",16,"20%"
"cheesecake factory",1,"20%"
"mcdonalds",5,"20%"
"pizza hut",4,"20%"
"food near me",11,"20%"
"maps",14,"10%"
"weather channel",2,"10%"
"mayim bialik",1,"10%"
"college basketball",7,"10%"
"restaurants near me",7,"10%"
"weather",100,"10%"
"bank of america",6,"10%"
"harbor freight",3,"10%"
"burger king",2,"8%"
"batman",9,"7%"
"nfl news",2,"6%"
"cvs",9,"6%"
"wells fargo",7,"4%"
