"query","search interest","increase percent"
"you",100,"3%"
"weather",56,"-5%"
"google",48,"0%"
"news",35,"-5%"
"amazon",34,"4%"
"youtube",31,"2%"
"wordle",31,"-2%"
"facebook",28,"1%"
"walmart",21,"10%"
"yahoo",14,"10%"
"march madness",14,"250%"
"nba",13,"8%"
"ukraine",13,"-30%"
"apple",13,"-4%"
"calculator",13,"7%"
"translate",12,"1%"
"craigslist",11,"0%"
"gmail",11,"3%"
"instagram",11,"7%"
"twitter",10,"10%"
"target",10,"9%"
"flights",9,"-8%"
"home depot",9,"4%"
"sports",9,"10%"
"netflix",9,"7%"
"espn",8,"50%"
"ncaa tournament",8,"200%"
"ncaa basketball",8,"150%"
"food near me",8,"30%"
"toyota",8,"7%"
"nfl",8,"30%"
"costco",8,"-9%"
"lowes",8,"20%"
"russia",7,"-30%"
"maps",7,"9%"
"batman",7,"-30%"
"fox news",7,"-1%"
"ebay",6,"-2%"
"google translate",6,"2%"
"chase",6,"6%"
"nike",6,"5%"
"yahoo mail",6,"0%"
"rosa bonheur",6,"Breakout"
"zillow",6,"8%"
"ups",6,"0%"
"cnn",5,"-8%"
"usps",5,"-6%"
"irs",5,"-10%"
"walgreens",5,"0%"
"restaurants near me",5,"20%"
