"query","search interest","increase percent"
"weather",100,"-2%"
"google",78,"-5%"
"amazon",63,"8%"
"youtube",59,"-1%"
"facebook",52,"9%"
"news",49,"1%"
"nba",40,"10%"
"walmart",37,"1%"
"wordle",35,"-8%"
"father's day",26,"170%"
"apple",22,"-8%"
"yahoo",22,"3%"
"gmail",21,"-7%"
"translate",21,"-3%"
"warriors",21,"10%"
"juneteenth",21,"450%"
"home depot",20,"10%"
"craigslist",19,"-4%"
"instagram",18,"2%"
"calculator",18,"0%"
"celtics",17,"-20%"
"flights",17,"3%"
"target",17,"-10%"
"netflix",15,"2%"
"twitter",15,"0%"
"fathers day",15,"200%"
"mlb",14,"8%"
"costco",14,"-2%"
"stranger things",14,"-30%"
"maps",13,"2%"
"lowes",13,"6%"
"food near me",13,"-4%"
"bitcoin",12,"250%"
"us open",12,"850%"
"google translate",12,"4%"
"amanda aldridge",11,"Breakout"
"nba finals",11,"9%"
"chase",11,"10%"
"walgreens",11,"10%"
"dow",11,"60%"
"cvs",10,"1%"
"nike",10,"10%"
"top gun",10,"-20%"
"ebay",10,"2%"
"usps",10,"-1%"
"yahoo mail",10,"-1%"
"fox news",9,"-4%"
"zillow",9,"-3%"
"traductor",9,"2%"
"roblox",9,"10%"
