"query","search interest","increase percent"
"oscar winners 2023",10,"Breakout"
"oscar winners",12,"4,750%"
"oscars 2023 winners",3,"1,900%"
"ke huy quan",6,"1,800%"
"lady gaga oscars 2023",2,"1,650%"
"ashley johnson",2,"1,100%"
"brendan fraser",7,"1,050%"
"jamie lee curtis",9,"1,050%"
"jamie lee curtis parents",1,"850%"
"dow jones",5,"800%"
"jimmy garoppolo",1,"750%"
"lady gaga",5,"650%"
"michelle yeoh",4,"650%"
"nit bracket",2,"550%"
"first republic bank stock",1,"550%"
"angela bassett",4,"500%"
"gimkit",1,"500%"
"the little mermaid 2023",1,"500%"
"harrison ford",2,"450%"
"blooket",4,"450%"
"stock market today",1,"450%"
"google classroom",4,"400%"
"everything everywhere all at once",17,"400%"
"all quiet on the western front",3,"400%"
"willow project",1,"350%"
"kahoot",2,"300%"
"the whale",6,"300%"
"yahoo finance",2,"250%"
"hugh grant",1,"250%"
"clever",2,"200%"
"tesla stock",1,"200%"
"nfl free agency",2,"200%"
"nit tournament",2,"200%"
"mexico baseball",2,"200%"
"cool math games",2,"180%"
"john travolta",1,"160%"
"google slides",1,"150%"
"aaron rodgers",5,"150%"
"winter storm warning",3,"150%"
"first republic bank",3,"140%"
"cnbc",1,"140%"
"ups tracking",2,"140%"
"prodigy",1,"140%"
"oscars",46,"140%"
"fedex tracking",1,"120%"
"signature bank",4,"120%"
"outlook",5,"110%"
"last of us",12,"100%"
"oscars 2023",25,"100%"
"the last of us",8,"100%"
