"query","search interest","increase percent"
"men’s march madness",19,"Breakout"
"women’s march madness",15,"Breakout"
"dire wolf",4,"Breakout"
"houston vs florida",3,"2,300%"
"florida vs houston",3,"2,250%"
"siobhan",1,"1,750%"
"arsenal vs real madrid",1,"1,400%"
"freeze warning",1,"1,200%"
"houston basketball",3,"1,050%"
"march madness",43,"900%"
"uconn vs south carolina",1,"600%"
"champions league",3,"400%"
"cooper flagg",2,"350%"
"duke basketball",4,"350%"
"florida basketball",4,"350%"
"march madness 2025",2,"200%"
"white lotus season 3",2,"200%"
"white lotus",8,"190%"
"paige bueckers",1,"140%"
"ncaa",15,"120%"
"women's march madness",2,"110%"
"ncaa basketball",6,"100%"
"ncaa men's basketball",1,"100%"
"crumbl cookies",1,"70%"
"college basketball",3,"70%"
"real madrid",4,"50%"
"ncaa tournament",2,"50%"
"turbotax",3,"30%"
"espn",4,"30%"
"f1",2,"30%"
"paramount plus",1,"20%"
"epic",3,"20%"
"dow",12,"10%"
"mlb standings",1,"10%"
"chatgpt",11,"10%"
"easter",8,"10%"
"airbnb",2,"10%"
"s&p 500",3,"10%"
"zoom",2,"10%"
"ipl",2,"10%"
"cnbc",1,"10%"
"yahoo",9,"9%"
"bitcoin price",2,"9%"
"wordle",9,"9%"
"chat gpt",5,"9%"
"h&r block",1,"9%"
"paypal",2,"8%"
"sp500",1,"7%"
"ufc",2,"7%"
"google drive",1,"7%"
