"query","search interest","increase percent"
"weather",100,"-10%"
"google",99,"3%"
"youtube",62,"9%"
"amazon",54,"-1%"
"news",51,"8%"
"facebook",42,"1%"
"calculator",31,"20%"
"translate",28,"20%"
"walmart",28,"8%"
"nba",23,"10%"
"yahoo",22,"20%"
"gmail",22,"9%"
"wordle",20,"3%"
"instagram",15,"-8%"
"netflix",15,"7%"
"google translate",14,"9%"
"target",14,"-6%"
"craigslist",13,"-6%"
"twitter",13,"-8%"
"groundhog day",13,"1,100%"
"maps",13,"10%"
"traductor",12,"9%"
"home depot",11,"-1%"
"nfl",11,"-90%"
"costco",11,"-7%"
"google docs",11,"30%"
"chase",11,"20%"
"blooket",11,"90%"
"nike",10,"2%"
"tom brady",10,"400%"
"yahoo mail",10,"10%"
"english to spanish",9,"20%"
"spanish to english",9,"20%"
"ebay",9,"-7%"
"food near me",9,"-7%"
"fox news",9,"0%"
"cvs",9,"1%"
"usps",9,"-1%"
"tiempo",8,"-10%"
"lowes",8,"3%"
"delta",8,"-1%"
"super bowl 2023",8,"-50%"
"google maps",8,"9%"
"google classroom",8,"30%"
"indeed",8,"2%"
"groundhog day 2023",8,"1,350%"
"wells fargo",8,"30%"
"amazon prime",8,"0%"
"weather tomorrow",8,"-20%"
"snake",8,"20%"
