"query","search interest","increase percent"
"kevin conroy",4,"Breakout"
"gallagher",3,"750%"
"veterans day",44,"750%"
"lainey wilson",1,"750%"
"black panther 2",5,"600%"
"college football scores",2,"450%"
"día de los veteranos",0,"450%"
"wakanda forever",8,"350%"
"black panther",11,"350%"
"falcons",3,"300%"
"ufc 281",1,"300%"
"veterans day 2022",8,"300%"
"vans",4,"250%"
"ohio state football",2,"250%"
"nevada senate race",4,"250%"
"alabama football",3,"250%"
"ufc",5,"200%"
"michigan football",3,"200%"
"ftx",5,"190%"
"boebert election",6,"180%"
"premier league",3,"170%"
"lauren boebert election results",3,"160%"
"clemson football",1,"150%"
"nevada election results",5,"150%"
"boebert",15,"130%"
"notre dame football",1,"130%"
"lauren boebert",9,"120%"
"lsu football",2,"120%"
"az governor race",2,"90%"
"breakfast near me",2,"80%"
"arizona election results",8,"80%"
"college football",7,"70%"
"restaurants near me",5,"70%"
"bitcoin price",3,"60%"
"pizza near me",3,"60%"
"nikita dragun",1,"60%"
"chick fil a",4,"50%"
"dominos",3,"50%"
"food near me",10,"50%"
"nba scores",3,"50%"
"pizza hut",3,"50%"
"world cup 2022",4,"50%"
"arizona governor race",5,"50%"
"kari lake",8,"40%"
"arizona election results 2022",3,"40%"
"walmart near me",2,"40%"
"petsmart",2,"30%"
"bed bath and beyond",1,"30%"
"ikea",3,"30%"
"hobby lobby",4,"30%"
