"query","search interest","increase percent"
"jesse williams",3,"2,800%"
"fred ward",2,"1,600%"
"rico charge",1,"1,150%"
"feliz dia de la madre",1,"650%"
"kendrick lamar",4,"600%"
"candy hulu",2,"500%"
"happy mothers day",6,"450%"
"bivol",5,"250%"
"vicky white",2,"200%"
"canelo vs bivol",3,"200%"
"bitcoin price",4,"170%"
"canelo",8,"170%"
"bitcoin",8,"130%"
"bruins",3,"70%"
"warriors",12,"60%"
"golden state warriors",3,"50%"
"celtics",9,"40%"
"nhl scores",2,"40%"
"phoenix suns",2,"40%"
"suns vs mavericks",1,"40%"
"nba scores",8,"40%"
"suns",6,"30%"
"liga mx",3,"30%"
"sixers",2,"30%"
"carvana",2,"30%"
"dollar general",3,"30%"
"nba playoffs",7,"30%"
"nhl",9,"20%"
"boston celtics",2,"20%"
"nba",47,"20%"
"doordash",3,"20%"
"hulu",7,"20%"
"blooket",7,"20%"
"yankees",5,"20%"
"premier league",4,"20%"
"jack harlow",2,"20%"
"snake game",3,"20%"
"nba games today",2,"20%"
"restaurants near me",8,"10%"
"nba games",5,"10%"
"espn",8,"10%"
"dow jones",6,"10%"
"facebook",50,"10%"
"lowes",14,"10%"
"mother's day",17,"10%"
"gmail",24,"10%"
"olive garden",3,"10%"
"texas roadhouse",2,"10%"
"nba schedule",2,"10%"
"wordle today",5,"10%"
