"query","search interest","increase percent"
"hurricane ian",56,"Breakout"
"hurricane ian tracker",14,"Breakout"
"ian path",7,"Breakout"
"hurricane ian update",6,"Breakout"
"ian",76,"Breakout"
"coolio",9,"Breakout"
"florida hurricane",17,"3,600%"
"hurrican ian",3,"3,550%"
"hurricane florida",17,"3,300%"
"ned fulmer",2,"2,550%"
"ryan grantham",4,"2,550%"
"hurricane tracker",21,"2,350%"
"national sons day 2022",2,"2,200%"
"tropical storm warning",2,"1,900%"
"hurricane",100,"1,150%"
"cowboys vs giants",1,"900%"
"diary of a wimpy kid",2,"650%"
"dahmer",40,"600%"
"glenda cleveland",1,"550%"
"jeffrey dahmer",26,"550%"
"noaa hurricane",3,"500%"
"evan peters",3,"450%"
"national hurricane center",4,"400%"
"the weather channel",2,"400%"
"weather channel",7,"350%"
"noaa",6,"300%"
"dahmer netflix",4,"250%"
"steelers vs browns",1,"200%"
"rosh hashanah",4,"200%"
"don't worry darling",3,"120%"
"rosh hashanah 2022",1,"100%"
"aaron judge",4,"90%"
"hocus pocus 2",2,"90%"
"dolphins",5,"70%"
"ime udoka",2,"70%"
"yankees",9,"50%"
"weather radar",3,"50%"
"miami dolphins",2,"50%"
"netflix",17,"40%"
"disney world",2,"40%"
"nia long",2,"30%"
"weather",96,"30%"
"cowboys",10,"30%"
"new york yankees",1,"20%"
"steelers",6,"20%"
"news",49,"20%"
"clemson football",1,"10%"
"andor",2,"10%"
"dow jones today",2,"10%"
"fox news",9,"10%"
