"query","search interest","increase percent"
"ramsay hunt syndrome",5,"Breakout"
"dall e mini",2,"1,250%"
"hustle",5,"600%"
"liv golf",5,"500%"
"justin bieber",4,"450%"
"jurassic world dominion",3,"450%"
"britney spears",2,"450%"
"ezra miller",1,"400%"
"matthew mcconaughey",2,"300%"
"jurassic world",9,"300%"
"adam sandler",2,"190%"
"fathers day",5,"100%"
"ufc",5,"90%"
"bath and body works",3,"90%"
"juneteenth",4,"70%"
"father's day 2022",6,"70%"
"bitcoin price",3,"60%"
"southwest airlines",4,"40%"
"spotify",6,"30%"
"celtics",17,"30%"
"dow jones",6,"30%"
"dominos",5,"30%"
"phillies",3,"20%"
"boston celtics",3,"20%"
"warriors",15,"20%"
"netflix",15,"20%"
"best buy",8,"20%"
"powerball",3,"20%"
"movies near me",1,"20%"
"ikea",4,"20%"
"celtics vs warriors",4,"20%"
"dollar general",3,"20%"
"amazon prime",9,"20%"
"warriors vs celtics",4,"20%"
"food near me",12,"20%"
"target",17,"20%"
"restaurants near me",7,"20%"
"weather",100,"20%"
"nba finals",9,"20%"
"dow jones today",2,"20%"
"gmail",23,"20%"
"nba",32,"20%"
"breakfast near me",2,"20%"
"yankees",5,"20%"
"frontier airlines",1,"10%"
"mlb standings",2,"10%"
"airbnb",5,"10%"
"google maps",8,"10%"
"cnbc",1,"10%"
"accuweather",2,"10%"
